"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.779919700E-2,2.254559898E1,-1.986159897E1,-6.269579697E1
5.780969500E-2,2.263099861E1,-1.994700050E1,-6.248839951E1
6.779944100E-2,2.194779968E1,-1.956879997E1,-6.223220062E1
7.781018300E-2,2.263099861E1,-1.909300041E1,-6.241519928E1
8.780359200E-2,2.281399918E1,-1.973959923E1,-6.189059830E1
9.781018300E-2,2.261879921E1,-1.983720016E1,-6.209799957E1
1.077979760E-1,2.292379951E1,-2.003240013E1,-6.247620010E1
1.177984650E-1,2.292379951E1,-2.003240013E1,-6.247620010E1
1.278179960E-1,2.261879921E1,-2.003240013E1,-6.198819733E1
1.378101830E-1,2.292379951E1,-1.965419960E1,-6.228099823E1
1.478062770E-1,2.272859955E1,-1.947119904E1,-6.219559860E1
1.578099390E-1,2.241139984E1,-1.955660057E1,-6.161000061E1
1.678101830E-1,2.300919914E1,-1.983720016E1,-6.207359695E1
1.777984650E-1,2.261879921E1,-2.003240013E1,-6.208580017E1
1.878099390E-1,2.222839928E1,-1.880019951E1,-6.184180069E1
1.977955350E-1,2.202099991E1,-1.964200020E1,-6.152459717E1
2.078101830E-1,2.271640015E1,-1.983720016E1,-6.198819733E1
2.177987090E-1,2.204539871E1,-1.938579941E1,-6.232979965E1
2.278101830E-1,2.241139984E1,-1.945899963E1,-6.151239777E1
2.377982210E-1,2.232600021E1,-1.947119904E1,-6.201259995E1
2.478101830E-1,2.261879921E1,-1.945899963E1,-6.180519867E1
2.577989530E-1,2.174040031E1,-1.928820038E1,-6.214679718E1
2.678099390E-1,2.242359924E1,-1.945899963E1,-6.201259995E1
2.777979760E-1,2.235039902E1,-1.958099937E1,-6.272019958E1
2.877950470E-1,2.204539871E1,-1.966639900E1,-6.252499771E1
2.978004180E-1,2.213080025E1,-1.947119904E1,-6.192720032E1
3.078101830E-1,2.185019875E1,-1.976399994E1,-6.232979965E1
3.178101830E-1,2.253339958E1,-1.975180054E1,-6.240299988E1
3.277982210E-1,2.186240005E1,-1.948340034E1,-6.274459839E1
3.378099390E-1,2.242359924E1,-1.927599907E1,-6.211019897E1
3.478099390E-1,2.175259972E1,-1.986159897E1,-6.242739868E1
3.578101830E-1,2.214299965E1,-2.022760010E1,-6.240299988E1
3.677982210E-1,2.215519905E1,-1.948340034E1,-6.282999802E1
3.778101830E-1,2.205760002E1,-1.976399994E1,-6.262260056E1
3.877984650E-1,2.205760002E1,-1.986159897E1,-6.291539764E1
3.978101830E-1,2.214299965E1,-1.966639900E1,-6.241519928E1
4.077984650E-1,2.195999908E1,-2.005679893E1,-6.272019958E1
4.178099390E-1,2.204539871E1,-2.023979950E1,-6.251279831E1
4.278013940E-1,2.215519905E1,-1.995919991E1,-6.281779861E1
4.378101830E-1,2.252120018E1,-1.975180054E1,-6.209799957E1
4.477930940E-1,2.225279999E1,-2.005679893E1,-6.280559921E1
4.578099390E-1,2.215519905E1,-1.967860031E1,-6.292759705E1
4.678028590E-1,2.186240005E1,-1.939799881E1,-6.293980026E1
4.778101830E-1,2.195999908E1,-1.986159897E1,-6.282999802E1
4.878101830E-1,2.195999908E1,-2.005679893E1,-6.291539764E1
4.978101830E-1,2.197220039E1,-2.043499947E1,-6.311059952E1
5.078101830E-1,2.185019875E1,-1.966639900E1,-6.253719711E1
5.178099390E-1,2.197220039E1,-2.053260040E1,-6.330579758E1
5.278101830E-1,2.188679886E1,-1.987380028E1,-6.342779922E1
5.378057890E-1,2.236260033E1,-2.043499947E1,-6.298859787E1
5.478101830E-1,2.226499939E1,-2.081320000E1,-6.329359818E1
5.577984650E-1,2.235039902E1,-2.052039909E1,-6.279339981E1
5.678101830E-1,2.265539932E1,-2.071559906E1,-6.297639847E1
5.777979760E-1,2.281399918E1,-2.059359932E1,-6.215900040E1
5.878101830E-1,2.233819962E1,-2.060579872E1,-6.248839951E1
5.977977320E-1,2.289939880E1,-2.011779976E1,-6.176860046E1
6.078101830E-1,2.271640015E1,-2.021539879E1,-6.207359695E1
6.177979760E-1,2.330200005E1,-2.077659988E1,-6.213459778E1
6.277982210E-1,2.349720001E1,-2.095960045E1,-6.181739807E1
6.377987090E-1,2.270419884E1,-2.031299973E1,-6.176860046E1
6.478101830E-1,2.308239937E1,-2.056920052E1,-6.114640045E1
6.578101830E-1,2.386319923E1,-2.066679955E1,-6.130500031E1
6.677982210E-1,2.429019928E1,-2.058139992E1,-6.209799957E1
6.778099390E-1,2.376560020E1,-2.075219917E1,-6.101219940E1
6.877979760E-1,2.396080017E1,-2.075219917E1,-6.100000000E1
6.978096950E-1,2.435120010E1,-2.065460014E1,-6.098780060E1
7.077979760E-1,2.397299957E1,-1.981279945E1,-6.142699814E1
7.178101830E-1,2.396080017E1,-1.980060005E1,-6.092679977E1
7.277982210E-1,2.464399910E1,-1.914179993E1,-6.110979843E1
7.378099390E-1,2.454640007E1,-1.961759949E1,-6.110979843E1
7.477991970E-1,2.463179970E1,-1.950779915E1,-6.070719910E1
7.578101830E-1,2.454640007E1,-1.922719955E1,-6.101219940E1
