"Time (s)","Pressure (hPa)"
6.676208800E-2,1.016420166E3
8.672302500E-2,1.016387878E3
1.067699000E-1,1.016393677E3
1.267237580E-1,1.016412415E3
1.468831820E-1,1.016418396E3
1.670741000E-1,1.016422607E3
1.871026640E-1,1.016424194E3
2.071969020E-1,1.016407837E3
2.272786890E-1,1.016417358E3
2.474105250E-1,1.016426392E3
2.675294220E-1,1.016439514E3
2.879294220E-1,1.016419861E3
3.067384060E-1,1.016422729E3
3.267149690E-1,1.016394409E3
3.467283960E-1,1.016416504E3
3.667222930E-1,1.016420776E3
3.867240020E-1,1.016428040E3
4.067608670E-1,1.016431274E3
4.267108180E-1,1.016422424E3
4.467342560E-1,1.016437439E3
4.667230250E-1,1.016416809E3
4.868311800E-1,1.016445801E3
5.071173120E-1,1.016466125E3
5.269666780E-1,1.016452820E3
5.471615020E-1,1.016446838E3
5.672264430E-1,1.016459778E3
5.874119900E-1,1.016441406E3
6.074691190E-1,1.016454651E3
6.276278100E-1,1.016447083E3
6.467552520E-1,1.016438110E3
6.667462190E-1,1.016430725E3
6.867237580E-1,1.016441895E3
7.067237580E-1,1.016476135E3
7.267237580E-1,1.016428040E3
7.467230250E-1,1.016431213E3
7.667281520E-1,1.016456116E3
7.867237580E-1,1.016462341E3
8.067240020E-1,1.016447327E3
8.269222440E-1,1.016449463E3
8.469908480E-1,1.016434082E3
8.670064730E-1,1.016456360E3
8.870701930E-1,1.016429749E3
9.071795680E-1,1.016459595E3
9.273055450E-1,1.016450073E3
9.474097930E-1,1.016442566E3
9.676690700E-1,1.016437500E3
9.877183870E-1,1.016434631E3
1.006731082E0,1.016436951E3
1.026745975E0,1.016467957E3
1.046723269E0,1.016461975E3
1.067123269E0,1.016453369E3
1.086722781E0,1.016463989E3
1.106723269E0,1.016454407E3
1.126723269E0,1.016466797E3
1.146745486E0,1.016445007E3
1.167145486E0,1.016453796E3
1.186940555E0,1.016434875E3
1.206793094E0,1.016462708E3
1.226984744E0,1.016447205E3
1.247275271E0,1.016452026E3
1.267247195E0,1.016467285E3
1.287425662E0,1.016453186E3
1.307525760E0,1.016446411E3
1.327718631E0,1.016450195E3
1.346755496E0,1.016413147E3
1.366729373E0,1.016401245E3
1.386723025E0,1.016403992E3
1.406723758E0,1.016400208E3
1.426765262E0,1.016372620E3
1.446770389E0,1.016361816E3
1.466758426E0,1.016368835E3
1.486723269E0,1.016346497E3
1.506724246E0,1.016323792E3
1.526886844E0,1.016312683E3
1.546897098E0,1.016315491E3
1.566983035E0,1.016313232E3
1.587138064E0,1.016301208E3
1.607220584E0,1.016283997E3
1.627369754E0,1.016282959E3
1.647468142E0,1.016251282E3
1.667669314E0,1.016250732E3
1.687951297E0,1.016249390E3
1.706731814E0,1.016252319E3
1.726723758E0,1.016243286E3
1.746723758E0,1.016222839E3
1.766722537E0,1.016212585E3
1.787054080E0,1.016190857E3
1.806723514E0,1.016193787E3
1.826755496E0,1.016182373E3
1.846723025E0,1.016170715E3
1.866845828E0,1.016150452E3
1.886720584E0,1.016173523E3
1.906887820E0,1.016166809E3
1.927287820E0,1.016163147E3
1.947177615E0,1.016153992E3
1.967338016E0,1.016150452E3
1.987448367E0,1.016146790E3
2.007636111E0,1.016134094E3
2.027873172E0,1.016139160E3
2.047855350E0,1.016122131E3
2.066750613E0,1.016122620E3
2.086723514E0,1.016131348E3
2.106723025E0,1.016106628E3
2.126723025E0,1.016090881E3
2.146723514E0,1.016089905E3
2.166699832E0,1.016085632E3
2.186723758E0,1.016068909E3
2.206775760E0,1.016060608E3
2.226748904E0,1.016073364E3
2.246837771E0,1.016074951E3
2.266956912E0,1.016088196E3
2.287110232E0,1.016069702E3
2.307510232E0,1.016054077E3
2.327328494E0,1.016051941E3
2.347553348E0,1.016028870E3
2.367839725E0,1.016061707E3
2.387675174E0,1.016051270E3
2.406735476E0,1.016053772E3
2.426724246E0,1.016043945E3
2.446759646E0,1.016019409E3
2.466723269E0,1.016014221E3
2.486723758E0,1.016025330E3
2.506766971E0,1.016017639E3
2.526764285E0,1.015994202E3
2.546739627E0,1.016022034E3
2.566712039E0,1.016012329E3
2.586776004E0,1.015987427E3
2.607176004E0,1.015983276E3
2.627046023E0,1.015988770E3
2.647435916E0,1.015977661E3
2.667318728E0,1.015968994E3
2.687535525E0,1.015952454E3
2.707780154E0,1.015963623E3
2.727775516E0,1.015948242E3
2.747843631E0,1.015969360E3
2.766737674E0,1.015983276E3
2.786740115E0,1.015955383E3
2.806723514E0,1.015950256E3
2.826723269E0,1.015932434E3
2.846723025E0,1.015919678E3
2.866722781E0,1.015916382E3
2.886718631E0,1.015918762E3
2.906740359E0,1.015909485E3
2.926705447E0,1.015903748E3
2.946841678E0,1.015896606E3
2.966996219E0,1.015882507E3
2.987269168E0,1.015900452E3
3.007243045E0,1.015888062E3
3.027432742E0,1.015882507E3
3.047740848E0,1.015883240E3
3.067600223E0,1.015880920E3
3.087911014E0,1.015884766E3
3.106756473E0,1.015874390E3
3.126748172E0,1.015881592E3
