"Time (s)","Temperature (°C)"
7.637341500E-2,2.541796875E1
9.426355200E-2,2.542578125E1
1.121398340E-1,2.539453125E1
1.300448630E-1,2.543750000E1
1.479227930E-1,2.538281250E1
1.658273340E-1,2.538671875E1
1.837182030E-1,2.538671875E1
2.016092550E-1,2.537890625E1
2.194884670E-1,2.533203125E1
2.373912990E-1,2.538671875E1
2.552823510E-1,2.543359375E1
2.731732810E-1,2.542578125E1
2.910643340E-1,2.543750000E1
3.089429960E-1,2.544140625E1
3.268444850E-1,2.542968750E1
3.447370020E-1,2.540234375E1
3.626281150E-1,2.541015625E1
3.805189840E-1,2.539453125E1
3.984099760E-1,2.540234375E1
4.163010280E-1,2.540234375E1
4.341920190E-1,2.539453125E1
4.520831930E-1,2.541796875E1
4.699740020E-1,2.540234375E1
4.878619410E-1,2.537109375E1
5.057560450E-1,2.542578125E1
5.236497830E-1,2.541796875E1
5.415410180E-1,2.538671875E1
5.594288360E-1,2.542578125E1
5.773201930E-1,2.541015625E1
5.952111230E-1,2.542578125E1
6.130975980E-1,2.541015625E1
6.309926780E-1,2.538671875E1
6.488693270E-1,2.541015625E1
6.667694120E-1,2.541015625E1
6.846536890E-1,2.543750000E1
7.025565210E-1,2.542968750E1
7.204476950E-1,2.540234375E1
7.383387480E-1,2.541015625E1
7.562299830E-1,2.545703125E1
7.741207910E-1,2.546875000E1
7.920115380E-1,2.544140625E1
8.099025290E-1,2.549218750E1
8.277968170E-1,2.544140625E1
8.456844510E-1,2.539843750E1
8.635756250E-1,2.546484375E1
8.814666770E-1,2.542968750E1
8.993579130E-1,2.543359375E1
9.172487210E-1,2.545703125E1
9.351398340E-1,2.542187500E1
9.530306420E-1,2.542578125E1
9.709213280E-1,2.541796875E1
9.888124410E-1,2.543359375E1
1.006702395E0,2.542578125E1
1.024594424E0,2.543359375E1
1.042485537E0,2.547265625E1
1.060373354E0,2.545312500E1
1.078267520E0,2.545312500E1
1.096158328E0,2.550781250E1
1.114049502E0,2.544140625E1
1.131940554E0,2.546875000E1
1.149823123E0,2.547656250E1
1.167710696E0,2.542187500E1
1.185607241E0,2.547265625E1
1.203492251E0,2.546875000E1
1.221395693E0,2.546875000E1
1.239286685E0,2.547656250E1
1.257177676E0,2.545312500E1
1.275068362E0,2.550781250E1
1.292959658E0,2.543359375E1
1.310850283E0,2.543359375E1
1.328744571E0,2.547656250E1
1.346631961E0,2.544140625E1
1.364523867E0,2.544140625E1
1.382414492E0,2.549218750E1
1.400294070E0,2.545312500E1
1.418196719E0,2.544140625E1
1.436087588E0,2.547656250E1
1.453978701E0,2.543359375E1
1.471869570E0,2.546093750E1
1.489760501E0,2.545312500E1
1.507651614E0,2.546875000E1
1.525542605E0,2.547656250E1
1.543430605E0,2.545312500E1
1.561324832E0,2.546875000E1
1.579215518E0,2.550000000E1
1.597107180E0,2.548437500E1
1.614997683E0,2.545312500E1
1.632876650E0,2.546875000E1
1.650779483E0,2.550000000E1
1.668670779E0,2.546875000E1
1.686561648E0,2.550000000E1
1.704452761E0,2.551562500E1
1.722332888E0,2.547656250E1
1.740223513E0,2.551562500E1
1.758122988E0,2.549218750E1
1.776016726E0,2.543359375E1
1.793907900E0,2.549218750E1
1.811799014E0,2.550000000E1
1.829693118E0,2.546093750E1
1.847580996E0,2.548437500E1
1.865471865E0,2.546875000E1
1.883362673E0,2.548437500E1
1.901253848E0,2.548437500E1
1.919144961E0,2.548437500E1
1.937039004E0,2.549218750E1
1.954930178E0,2.548437500E1
1.972818057E0,2.547656250E1
1.990708865E0,2.550000000E1
2.008599978E0,2.552343750E1
2.026490908E0,2.549218750E1
2.044382022E0,2.550000000E1
2.062273074E0,2.551562500E1
2.080152041E0,2.550781250E1
2.098052187E0,2.550781250E1
2.115945986E0,2.552343750E1
2.133837100E0,2.548437500E1
2.151725344E0,2.551562500E1
2.169619387E0,2.549218750E1
2.187510195E0,2.549218750E1
2.205401248E0,2.549218750E1
2.223292178E0,2.550781250E1
2.241183291E0,2.551562500E1
2.259074160E0,2.545312500E1
2.276968448E0,2.551562500E1
2.294856387E0,2.549218750E1
2.312747744E0,2.552343750E1
2.330638064E0,2.550781250E1
2.348531436E0,2.550781250E1
2.366423953E0,2.550000000E1
2.384311465E0,2.550781250E1
2.402188112E0,2.550000000E1
2.420079226E0,2.546875000E1
2.437981875E0,2.550781250E1
2.455879702E0,2.550000000E1
2.473766787E0,2.549218750E1
2.491657900E0,2.553906250E1
2.509548770E0,2.550000000E1
2.527439639E0,2.552343750E1
2.545330996E0,2.552343750E1
2.563221621E0,2.549218750E1
2.581112918E0,2.551562500E1
2.599004153E0,2.554687500E1
2.616897952E0,2.553906250E1
2.634785830E0,2.551562500E1
2.652676943E0,2.553906250E1
2.670568057E0,2.551562500E1
2.688462161E0,2.555468750E1
2.706350222E0,2.552343750E1
2.724241152E0,2.550000000E1
2.742130862E0,2.552343750E1
2.760023440E0,2.551562500E1
2.777913943E0,2.553906250E1
2.795808352E0,2.554687500E1
2.813693545E0,2.550000000E1
2.831587588E0,2.555468750E1
2.849478457E0,2.555468750E1
2.867369631E0,2.551562500E1
2.885260745E0,2.553906250E1
2.903151553E0,2.553906250E1
2.921042605E0,2.551562500E1
2.938933718E0,2.552343750E1
2.956825565E0,2.554687500E1
2.974715762E0,2.552343750E1
2.992606875E0,2.551562500E1
3.010497744E0,2.553906250E1
3.028388797E0,2.552343750E1
3.046279910E0,2.550000000E1
3.064170840E0,2.552343750E1
3.082062258E0,2.553125000E1
3.099950075E0,2.553125000E1
3.117842654E0,2.555468750E1
3.135738040E0,2.550781250E1
3.153623232E0,2.553906250E1
3.171517214E0,2.552343750E1
3.189405398E0,2.551562500E1
3.207299441E0,2.550781250E1
3.225190615E0,2.554687500E1
3.243081240E0,2.553906250E1
3.260972598E0,2.553125000E1
3.278849368E0,2.553125000E1
