"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.419081200E-2,-9.026923180E-1,5.060819983E-1,9.720243454E0
1.638203700E-2,-8.937192559E-1,4.821537733E-1,9.706484795E0
1.857326200E-2,-8.889335990E-1,4.295116663E-1,9.668199539E0
2.076797400E-2,-8.847461939E-1,3.864408433E-1,9.658628464E0
2.295909800E-2,-8.949156404E-1,3.816552162E-1,9.682557106E0
2.515309200E-2,-9.146564603E-1,3.248256743E-1,9.677771568E0
2.738821900E-2,-9.152546525E-1,2.907279432E-1,9.706484795E0
2.961783300E-2,-9.212366939E-1,2.476571500E-1,9.763913155E0
3.185306200E-2,-9.314061999E-1,2.333002090E-1,9.806385040E0
3.408762100E-2,-9.613165259E-1,1.716850251E-1,9.839884758E0
3.632584100E-2,-9.858429432E-1,1.573280841E-1,9.891928673E0
3.856375600E-2,-9.864411354E-1,1.238285750E-1,9.934999466E0
4.079953500E-2,-9.631111026E-1,8.494520187E-2,9.930213928E0
4.303683900E-2,-9.828519225E-1,8.973085135E-2,9.978070259E0
4.527829400E-2,-9.643075466E-1,6.101697683E-2,9.987641335E0
4.750980100E-2,-9.684949517E-1,4.666004330E-2,9.944570541E0
4.974637300E-2,-9.882357717E-1,3.290131316E-2,9.954142570E0
5.198318900E-2,-9.924231768E-1,3.768695518E-2,9.930213928E0
5.422293600E-2,-9.541380405E-1,3.708875179E-2,9.892526627E0
5.647257000E-2,-9.589236975E-1,3.768695518E-2,9.863813400E0
5.870798200E-2,-9.433703423E-1,5.204389244E-2,9.811769485E0
6.094193000E-2,-9.667003751E-1,7.657032460E-2,9.772886276E0
6.316556200E-2,-9.475577474E-1,7.597211748E-2,9.730413437E0
6.541104600E-2,-9.224331379E-1,1.286142170E-1,9.677771568E0
6.765170700E-2,-9.266205430E-1,1.429711580E-1,9.640084267E0
6.989127100E-2,-9.164510965E-1,1.716850251E-1,9.616155624E0
7.212662200E-2,-9.158528447E-1,1.914258152E-1,9.587442398E0
