"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.295909800E-2,-8.216137439E-2,-2.183843218E-2,-4.276056774E-3
2.515309200E-2,-6.597344577E-2,-1.374446787E-2,-4.123340361E-3
2.738821900E-2,-4.993823543E-2,-1.282817032E-2,-2.748893574E-3
2.961783300E-2,-3.023782931E-2,-8.246680722E-3,-2.443460980E-3
3.185306200E-2,-1.420261711E-2,-7.483099122E-3,-1.069014193E-3
3.408762100E-2,6.719517522E-3,-7.788531948E-3,3.054326226E-4
3.632584100E-2,2.657263726E-2,-3.359758761E-3,1.679879380E-3
3.856375600E-2,4.260785133E-2,-1.221730490E-3,4.276056774E-3
4.079953500E-2,5.864306539E-2,4.581489135E-3,5.650503561E-3
4.303683900E-2,7.101308554E-2,5.497787148E-3,8.246680722E-3
4.527829400E-2,8.704829961E-2,5.192354787E-3,8.399397135E-3
4.750980100E-2,9.575312585E-2,1.221730467E-2,7.177666761E-3
4.974637300E-2,1.020144969E-1,1.695151068E-2,1.099557430E-2
5.198318900E-2,1.107193232E-1,2.535090782E-2,9.773843922E-3
5.422293600E-2,1.108720452E-1,3.268129006E-2,7.483099122E-3
5.647257000E-2,1.134682223E-1,3.863722831E-2,6.261368748E-3
5.870798200E-2,1.101084575E-1,5.329799280E-2,7.483099122E-3
6.094193000E-2,1.041525230E-1,6.185010448E-2,5.039638374E-3
6.316556200E-2,9.697485715E-2,7.055493444E-2,5.039638374E-3
6.541104600E-2,8.613199741E-2,8.048149943E-2,3.665191587E-3
6.765170700E-2,7.269296050E-2,8.674286306E-2,3.665191587E-3
6.989127100E-2,6.047565863E-2,9.178250283E-2,1.069014193E-3
7.212662200E-2,4.581489414E-2,9.575312585E-2,-1.527163113E-4
7.436301100E-2,3.237585723E-2,1.021672115E-1,9.162978968E-4
7.659976700E-2,2.015855350E-2,1.035416573E-1,7.635815418E-4
7.883505700E-2,6.719517522E-3,1.111774743E-1,1.985311974E-3
8.107169000E-2,-4.428773187E-3,1.088867337E-1,1.832595794E-3
8.330826300E-2,-1.313360315E-2,1.065959856E-1,6.108652451E-4
8.554562800E-2,-2.290744707E-2,1.044579595E-1,1.679879380E-3
8.778214000E-2,-3.176499158E-2,9.728029370E-2,3.054326226E-4
9.001901700E-2,-3.558290005E-2,9.376781434E-2,2.748893574E-3
9.225674900E-2,-4.062253982E-2,8.781187981E-2,2.748893574E-3
9.449332100E-2,-4.566217586E-2,7.696902007E-2,3.817907767E-3
9.672897800E-2,-4.337143153E-2,7.086037099E-2,3.817907767E-3
9.896542800E-2,-4.108068720E-2,6.230825558E-2,3.817907767E-3
1.012017560E-1,-3.756821156E-2,5.253441259E-2,3.817907767E-3
1.034388170E-1,-3.405573592E-2,4.153883830E-2,2.596177394E-3
1.056754500E-1,-2.565634064E-2,3.405573592E-2,1.374446787E-3
