"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.481753890E-1,-5.068206787E-2,-3.278696537E-2,-7.604789734E-2
1.660676010E-1,4.356610775E-2,-5.689832568E-2,-7.445240021E-2
1.839462630E-1,3.226256371E-2,-2.627083659E-2,-2.666187286E-2
2.018548320E-1,-4.254984856E-2,-1.758414507E-2,2.035236359E-2
2.197482040E-1,-6.178599596E-2,-1.489919424E-2,-1.669883728E-2
2.376446890E-1,-3.347229958E-2,-4.307433963E-2,-5.029392242E-2
2.555353130E-1,-3.744769096E-2,-6.423720717E-2,-6.209278107E-2
2.734288680E-1,-5.754089355E-2,-5.855965614E-2,-6.276035309E-2
2.913143050E-1,-6.893211603E-2,-5.740609765E-2,-5.685138702E-2
3.092041980E-1,-4.052615166E-2,-3.988465667E-2,-4.230403900E-2
3.271094710E-1,-1.081490517E-2,-2.053216100E-2,-1.694107056E-2
3.450033310E-1,3.902912140E-4,-3.365725279E-3,-1.183032990E-2
3.628968860E-1,-1.915484667E-2,9.587556124E-3,-2.050209045E-2
3.807901960E-1,-1.320904493E-2,9.665071964E-3,-3.698253632E-2
3.986838120E-1,-1.864463091E-2,4.907548428E-4,-2.757549286E-2
4.165744980E-1,-2.774721384E-2,-7.883936167E-3,-5.806636810E-2
4.344708600E-1,-3.497582674E-2,-4.636526108E-3,-5.587196350E-2
4.523645980E-1,-3.565150499E-2,-4.763126373E-3,-6.442356110E-2
4.702582140E-1,-4.674941301E-2,-4.342111945E-2,-5.174636841E-2
4.881517680E-1,-2.293348312E-2,-7.775664330E-2,-3.739261627E-2
5.060453840E-1,1.385027170E-2,-1.106476188E-1,-1.583957672E-2
5.239270980E-1,5.206763744E-2,-1.007349193E-1,-9.574890137E-4
5.418324330E-1,5.771547556E-2,-7.740643620E-2,-1.821517944E-3
5.597259870E-1,3.492444754E-2,-2.604451776E-2,-6.561279297E-3
5.776194810E-1,-1.457768679E-2,2.434617281E-2,-3.581047058E-3
5.955130970E-1,-7.983940840E-2,4.846104980E-2,-5.596446991E-2
6.134067120E-1,-1.258034706E-1,4.464974999E-2,-8.761119843E-2
6.313024030E-1,-1.394895315E-1,3.266686201E-2,-1.025924683E-1
6.491920520E-1,-1.388148069E-1,1.193821430E-2,-8.673191071E-2
6.670874980E-1,-1.092640162E-1,-1.725047827E-3,-5.146503448E-2
6.849810530E-1,-8.073860407E-2,-4.626485705E-2,-3.370285034E-2
7.028744860E-1,-3.564482927E-2,-7.928173244E-2,-1.096725464E-2
7.207682240E-1,1.664280891E-3,-8.941355348E-2,-3.376007080E-4
7.386615340E-1,1.841896772E-2,-9.126746655E-2,-1.867008209E-2
7.565546620E-1,1.488924026E-4,-4.097411036E-2,-8.975028992E-3
7.744485210E-1,-3.297781944E-2,-5.831748247E-3,-1.471424103E-2
7.923423810E-1,-7.649755478E-2,1.728847623E-2,-3.419685364E-2
8.102359970E-1,-1.087302566E-1,2.102339268E-2,-5.397510529E-2
8.281211900E-1,-8.624017239E-2,9.913802147E-3,-8.732986450E-2
8.460231670E-1,-7.414412498E-2,1.720160246E-3,-7.617473602E-2
8.639046370E-1,-5.239933729E-2,-1.386559010E-2,-5.099010468E-2
8.818104600E-1,-1.222097874E-2,-4.318559170E-2,-1.601505280E-2
8.997037700E-1,3.426486254E-2,-6.148470938E-2,2.202033997E-3
9.175973250E-1,9.145325422E-2,-9.765115380E-2,7.286071777E-3
9.354911240E-1,5.066668987E-2,-7.405248284E-2,8.351325989E-3
9.533846790E-1,-2.291703224E-2,-2.195554972E-2,-7.179260254E-3
9.712782330E-1,-6.123435497E-2,1.665294170E-2,-5.135250092E-2
9.891717880E-1,-7.071793079E-2,3.793060780E-2,-9.960556030E-2
1.007065282E0,3.273844719E-3,-2.297177911E-2,-1.185398102E-1
1.024958897E0,-2.428400517E-2,-3.048369288E-2,-6.942462921E-2
1.042852452E0,-5.025148392E-2,-9.984612465E-3,1.590919495E-2
1.060746007E0,-3.503447771E-2,1.336908340E-2,6.192874908E-2
1.078639500E0,-3.626149893E-2,4.938757420E-2,1.248645782E-2
1.096533238E0,-4.137873650E-2,5.177453160E-2,-8.879089355E-2
1.114423802E0,-6.259989738E-2,2.066224813E-3,-1.287097931E-1
1.132323522E0,-7.468295097E-2,-3.628772497E-2,-1.045351028E-1
1.150200047E0,-6.184500456E-2,-2.500513196E-2,-6.085968018E-2
1.168099095E0,-1.944714785E-2,-1.760315895E-2,9.805679321E-3
1.186001134E0,2.221453190E-2,-6.765681505E-2,1.638698578E-2
1.203883519E0,3.826284409E-2,-1.153029501E-1,2.681255341E-2
1.221785374E0,1.354569197E-2,-1.211889833E-1,-1.520156860E-3
1.239682103E0,-3.034120798E-2,-7.934886217E-2,-2.599430084E-2
1.257575597E0,-4.084527493E-2,-1.839858294E-2,-5.231094360E-2
1.275469212E0,-3.875887394E-2,1.557272673E-2,-7.208538055E-2
1.293362462E0,-3.214800358E-2,1.329305768E-2,-6.759357452E-2
1.311241307E0,-3.596937656E-2,-8.956193924E-4,-5.627155304E-2
1.329149876E0,-2.875906229E-2,-6.518363953E-4,-4.693889618E-2
1.347043370E0,-2.174282074E-2,1.686069369E-2,-2.194595337E-2
1.364936925E0,-1.009660959E-2,2.098235488E-2,-2.071094513E-2
1.382830785E0,-1.057243347E-2,1.147374511E-2,-4.299354553E-2
1.400727147E0,-2.622807026E-2,-3.600239754E-3,-5.938053131E-2
1.418617894E0,-4.171526432E-2,-8.869916201E-3,-7.596397400E-2
1.436511449E0,-4.686522484E-2,-1.201170683E-2,-6.541347504E-2
1.454405003E0,-5.207884312E-2,-1.582741737E-2,-4.114055634E-2
1.472298497E0,-3.728640079E-2,-3.105363250E-2,-1.962280273E-2
1.490192296E0,-4.223215580E-2,-3.962045908E-2,-1.201629639E-4
1.508085850E0,-6.018519402E-2,-4.607522488E-2,-1.146984100E-2
1.525979161E0,-5.188012123E-2,-3.724700212E-2,-2.376365662E-2
1.543861058E0,-4.831933975E-2,-4.251906276E-2,-4.975318909E-2
1.561767186E0,-4.513633251E-2,-3.126442432E-2,-6.830787659E-2
1.579659825E0,-3.510701656E-2,-1.896768808E-2,-3.823661804E-2
1.597553624E0,-2.936494350E-2,-3.288656473E-3,-2.443885803E-2
1.615447423E0,-2.543574572E-2,-1.106429100E-2,-1.523780823E-2
1.633340977E0,-1.777708530E-2,-3.851097822E-2,-1.905918121E-2
1.651236424E0,-3.673934937E-2,-4.610785842E-2,-3.224277496E-2
1.669128392E0,-4.268717766E-2,-3.154772520E-2,-4.848861694E-2
1.687021642E0,-4.184889793E-2,-6.978988647E-3,-4.984951019E-2
1.704915196E0,-2.732384205E-2,-1.753714681E-2,-5.648899078E-2
1.722797825E0,-1.023828983E-2,-2.104192972E-2,-4.772758484E-2
1.740705541E0,-8.406877518E-3,-3.991210461E-2,-2.154445648E-2
1.758596104E0,-2.720224857E-2,-2.145856619E-2,-4.923820496E-3
