"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.151444000E-2,6.949364014E2,3.089039993E1,-8.462407837E2
5.150589500E-2,6.946314087E2,3.098799896E1,-8.459479980E2
6.150565100E-2,6.944483643E2,3.089039993E1,-8.462529907E2
7.151736900E-2,6.947167969E2,3.100020027E1,-8.455454102E2
8.150565100E-2,6.943507690E2,3.079279900E1,-8.461553955E2
9.151761400E-2,6.949364014E2,3.107339859E1,-8.463383789E2
1.015056510E-1,6.944483643E2,3.089039993E1,-8.462529907E2
1.115173690E-1,6.944483643E2,3.089039993E1,-8.462529907E2
1.215054060E-1,6.943507690E2,3.135400009E1,-8.462774048E2
1.315173690E-1,6.945338135E2,3.136619949E1,-8.459602051E2
1.415139510E-1,6.947533569E2,3.125639915E1,-8.466555786E2
1.515173690E-1,6.940823975E2,3.106119919E1,-8.468873901E2
1.615176140E-1,6.947412109E2,3.136619949E1,-8.460578003E2
1.715176140E-1,6.947412109E2,3.145159912E1,-8.462651978E2
1.815176140E-1,6.947412109E2,3.117099953E1,-8.460578003E2
1.915054060E-1,6.945338135E2,3.118319893E1,-8.457649536E2
2.015176140E-1,6.950339966E2,3.126859856E1,-8.460455933E2
2.115051620E-1,6.946679688E2,3.125639915E1,-8.468629761E2
2.215176140E-1,6.947290039E2,3.108559990E1,-8.459479980E2
2.315058950E-1,6.947533569E2,3.107339859E1,-8.464481812E2
2.415171250E-1,6.950462036E2,3.079279900E1,-8.466311646E2
2.515054060E-1,6.940457764E2,3.145159912E1,-8.457893677E2
2.615176140E-1,6.947533569E2,3.107339859E1,-8.465457764E2
2.715061390E-1,6.946557617E2,3.087819862E1,-8.464481812E2
2.815173690E-1,6.948631592E2,3.106119919E1,-8.467531738E2
2.914995470E-1,6.949241943E2,3.146379852E1,-8.458504028E2
3.015056510E-1,6.946314087E2,3.098799896E1,-8.459479980E2
3.115007680E-1,6.952413940E2,3.117099953E1,-8.466311646E2
3.215173690E-1,6.946436157E2,3.059759903E1,-8.463383789E2
3.315173690E-1,6.947412109E2,3.098799896E1,-8.461431885E2
3.415173690E-1,6.947167969E2,3.090259933E1,-8.456430054E2
3.515176140E-1,6.943507690E2,3.107339859E1,-8.462651978E2
3.615058950E-1,6.947533569E2,3.107339859E1,-8.464481812E2
3.715176140E-1,6.945459595E2,3.079279900E1,-8.461553955E2
3.815056510E-1,6.945459595E2,3.117099953E1,-8.463627930E2
3.915176140E-1,6.947290039E2,3.098799896E1,-8.458504028E2
4.015056510E-1,6.951315918E2,3.098799896E1,-8.460333862E2
4.115173690E-1,6.948388062E2,3.108559990E1,-8.460455933E2
4.215054060E-1,6.948510132E2,3.097579956E1,-8.464481812E2
4.315176140E-1,6.949364014E2,3.051219940E1,-8.463261719E2
4.415056510E-1,6.946557617E2,3.069519997E1,-8.466433716E2
4.515173690E-1,6.948510132E2,3.050000000E1,-8.465335693E2
4.615046740E-1,6.947533569E2,3.087819862E1,-8.464481812E2
4.715176140E-1,6.947533569E2,3.059759903E1,-8.464359741E2
4.815066270E-1,6.941677856E2,3.106119919E1,-8.467775879E2
4.915171250E-1,6.946314087E2,3.051219940E1,-8.458381958E2
5.015173690E-1,6.949608154E2,3.106119919E1,-8.468385620E2
5.115056510E-1,6.949241943E2,3.090259933E1,-8.457406006E2
5.215173690E-1,6.950339966E2,3.060980034E1,-8.463261719E2
5.315173690E-1,6.949364014E2,3.079279900E1,-8.463383789E2
5.415171250E-1,6.944483643E2,3.107339859E1,-8.463627930E2
5.515139510E-1,6.948631592E2,3.115880013E1,-8.467531738E2
5.615173690E-1,6.949119873E2,3.100020027E1,-8.454356079E2
5.715058950E-1,6.952291870E2,3.080500031E1,-8.461187744E2
5.815173690E-1,6.943507690E2,3.097579956E1,-8.461676025E2
5.915054060E-1,6.943507690E2,3.040239906E1,-8.464481812E2
6.015173690E-1,6.946436157E2,3.079279900E1,-8.460455933E2
6.115056510E-1,6.947167969E2,3.062199974E1,-8.453380127E2
6.215176140E-1,6.945459595E2,3.089039993E1,-8.461553955E2
6.315149280E-1,6.949364014E2,3.126859856E1,-8.462407837E2
6.415176140E-1,6.954243774E2,3.100020027E1,-8.460211792E2
6.515159050E-1,6.949973755E2,3.109779930E1,-8.452403564E2
6.615173690E-1,6.951071777E2,3.062199974E1,-8.454234009E2
6.715171250E-1,6.949119873E2,3.090259933E1,-8.454356079E2
6.815176140E-1,6.950217896E2,3.080500031E1,-8.459235840E2
6.915176140E-1,6.950217896E2,3.052439880E1,-8.458259888E2
7.015056510E-1,6.952291870E2,3.080500031E1,-8.461187744E2
7.115171250E-1,6.953267822E2,3.060980034E1,-8.460089722E2
7.215129750E-1,6.953145752E2,3.109779930E1,-8.457283936E2
7.315176140E-1,6.944361572E2,3.079279900E1,-8.459602051E2
7.415056510E-1,6.948388062E2,3.089039993E1,-8.462407837E2
7.515176140E-1,6.944361572E2,3.080500031E1,-8.457528076E2
7.615054060E-1,6.953511963E2,3.021939850E1,-8.468020020E2
7.715173690E-1,6.950339966E2,3.117099953E1,-8.461431885E2
7.815051620E-1,6.944483643E2,3.059759903E1,-8.461553955E2
7.915173690E-1,6.944483643E2,3.059759903E1,-8.461553955E2
8.015056510E-1,6.949364014E2,3.041459846E1,-8.461187744E2
8.115176140E-1,6.949364014E2,3.023159981E1,-8.462163696E2
8.215054060E-1,6.949119873E2,3.052439880E1,-8.456307983E2
8.315173690E-1,6.951315918E2,3.098799896E1,-8.463261719E2
8.415173690E-1,6.947533569E2,3.087819862E1,-8.464481812E2
8.515173690E-1,6.949241943E2,3.052439880E1,-8.458259888E2
8.615176140E-1,6.949364014E2,3.118319893E1,-8.460455933E2
8.715056510E-1,6.949364014E2,3.098799896E1,-8.460333862E2
8.815176140E-1,6.950217896E2,3.118319893E1,-8.459357910E2
8.915076040E-1,6.942653809E2,3.097579956E1,-8.464725952E2
9.015173690E-1,6.948265991E2,3.080500031E1,-8.457406006E2
9.115061390E-1,6.948265991E2,3.100020027E1,-8.456430054E2
9.215173690E-1,6.948021851E2,3.081719971E1,-8.451305542E2
9.315061390E-1,6.946192017E2,3.080500031E1,-8.456430054E2
9.415176140E-1,6.949119873E2,3.147599983E1,-8.455454102E2
9.515017440E-1,6.948510132E2,3.097579956E1,-8.464481812E2
9.615173690E-1,6.948265991E2,3.080500031E1,-8.458381958E2
9.715051620E-1,6.947777710E2,3.010960007E1,-8.472290039E2
9.815176140E-1,6.946557617E2,3.069519997E1,-8.466433716E2
9.915105330E-1,6.941799927E2,3.020719910E1,-8.470581665E2
1.001517369E0,6.945947876E2,3.057320023E1,-8.475462036E2
1.011517858E0,6.949729614E2,3.040239906E1,-8.472290039E2
1.021517614E0,6.944849854E2,3.020719910E1,-8.472412109E2
