"Time (s)","Pressure (hPa)"
4.274051400E-2,1.012232910E3
6.269901000E-2,1.012291077E3
8.243753500E-2,1.012295898E3
1.027461290E-1,1.012264648E3
1.225349480E-1,1.012237610E3
1.428740590E-1,1.012265320E3
1.628789420E-1,1.012278992E3
1.829206900E-1,1.012282349E3
2.030183460E-1,1.012255432E3
2.230259140E-1,1.012272461E3
2.431938830E-1,1.012288086E3
2.633899280E-1,1.012281799E3
2.824712270E-1,1.012266052E3
3.024614610E-1,1.012266663E3
3.224375350E-1,1.012284302E3
3.424377800E-1,1.012261597E3
3.624370470E-1,1.012263611E3
3.824365590E-1,1.012274719E3
4.024375350E-1,1.012280029E3
4.224919790E-1,1.012274963E3
4.425034530E-1,1.012256470E3
4.625681510E-1,1.012286133E3
4.826555530E-1,1.012270020E3
5.028442740E-1,1.012296082E3
5.230447130E-1,1.012279297E3
5.429736680E-1,1.012272339E3
5.630329940E-1,1.012298279E3
5.832080430E-1,1.012298279E3
6.032822620E-1,1.012287415E3
6.224687850E-1,1.012266357E3
6.424446150E-1,1.012281677E3
6.624424180E-1,1.012281982E3
6.824543810E-1,1.012287598E3
7.024375350E-1,1.012273682E3
7.224543810E-1,1.012270142E3
7.424372910E-1,1.012269287E3
7.624690300E-1,1.012276428E3
7.827292830E-1,1.012279236E3
8.026089220E-1,1.012283691E3
8.226411490E-1,1.012274475E3
8.428791860E-1,1.012272217E3
8.629448600E-1,1.012270691E3
8.829704940E-1,1.012265625E3
9.030102890E-1,1.012272095E3
9.231877800E-1,1.012264771E3
9.433721060E-1,1.012277527E3
9.634536490E-1,1.012277832E3
9.824646350E-1,1.012277222E3
1.002437047E0,1.012265625E3
1.022436803E0,1.012274414E3
1.042437047E0,1.012267273E3
1.062437535E0,1.012264648E3
1.082437047E0,1.012254089E3
1.102437291E0,1.012272095E3
1.122722448E0,1.012286316E3
1.142558629E0,1.012276184E3
1.162716100E0,1.012261902E3
1.182862096E0,1.012296082E3
1.203051549E0,1.012275879E3
1.223003453E0,1.012285645E3
1.243280309E0,1.012273499E3
1.263213170E0,1.012259705E3
1.283306920E0,1.012270508E3
1.303434606E0,1.012272217E3
1.322457311E0,1.012270874E3
1.342437780E0,1.012260559E3
1.362437535E0,1.012275696E3
1.382437535E0,1.012271057E3
1.402440221E0,1.012261719E3
1.422437291E0,1.012271484E3
1.442416295E0,1.012283203E3
1.462481481E0,1.012268433E3
1.482555211E0,1.012285583E3
1.502762975E0,1.012275574E3
1.522911412E0,1.012272095E3
1.542996862E0,1.012276550E3
1.563024938E0,1.012284912E3
1.582976842E0,1.012283691E3
1.603213170E0,1.012272888E3
1.623338903E0,1.012264648E3
1.642603063E0,1.012278992E3
1.662441930E0,1.012293823E3
1.682437291E0,1.012277222E3
1.702441198E0,1.012259216E3
1.722444615E0,1.012258545E3
1.742437047E0,1.012271912E3
1.762454869E0,1.012278992E3
1.782413610E0,1.012280945E3
1.802469518E0,1.012278992E3
1.822556188E0,1.012267273E3
1.842662145E0,1.012268433E3
1.862920934E0,1.012253479E3
1.883092809E0,1.012272827E3
1.903002721E0,1.012283936E3
1.923171910E0,1.012275574E3
1.943118444E0,1.012261047E3
1.963318639E0,1.012265564E3
1.983421666E0,1.012263000E3
2.002444860E0,1.012268860E3
2.022436315E0,1.012274536E3
2.042437291E0,1.012254211E3
2.062454381E0,1.012271729E3
2.082437047E0,1.012276978E3
2.102461705E0,1.012267822E3
2.122440953E0,1.012280884E3
2.142752233E0,1.012271057E3
2.162763951E0,1.012291016E3
2.182718053E0,1.012276978E3
2.202913121E0,1.012272095E3
2.223017614E0,1.012251526E3
2.243051549E0,1.012267639E3
2.262983678E0,1.012261353E3
2.283203160E0,1.012278198E3
2.303324254E0,1.012274963E3
2.323502477E0,1.012256897E3
2.342454381E0,1.012260742E3
2.362471227E0,1.012270325E3
2.382437291E0,1.012249390E3
2.402472936E0,1.012268860E3
2.422436071E0,1.012271606E3
2.442437535E0,1.012273682E3
2.462437291E0,1.012256165E3
2.482509557E0,1.012258301E3
2.502561071E0,1.012272766E3
2.522615514E0,1.012272827E3
2.542917516E0,1.012284851E3
2.563174108E0,1.012281860E3
2.583043004E0,1.012267273E3
2.602949742E0,1.012274475E3
2.623163854E0,1.012282654E3
2.643563854E0,1.012282654E3
2.663415563E0,1.012274719E3
2.682469518E0,1.012281799E3
2.702443883E0,1.012273376E3
2.722437047E0,1.012276794E3
2.742472936E0,1.012283936E3
2.762436803E0,1.012268677E3
2.782472203E0,1.012287109E3
2.802437291E0,1.012267395E3
2.822447545E0,1.012264404E3
2.842560582E0,1.012289490E3
2.862757115E0,1.012286316E3
2.882917028E0,1.012285583E3
2.903077672E0,1.012271423E3
2.923042272E0,1.012285645E3
2.942993932E0,1.012272888E3
2.963139684E0,1.012274841E3
2.983306188E0,1.012290649E3
3.003428258E0,1.012272827E3
3.023489293E0,1.012277771E3
3.042440953E0,1.012277222E3
3.062437291E0,1.012268860E3
3.082437780E0,1.012272095E3
3.102437780E0,1.012273926E3
3.122436803E0,1.012269287E3
3.142543737E0,1.012277832E3
3.162482701E0,1.012263977E3
3.182573278E0,1.012288086E3
3.202613805E0,1.012264648E3
3.222879674E0,1.012288391E3
3.243221959E0,1.012273682E3
3.263352819E0,1.012280945E3
3.282934606E0,1.012271484E3
3.303127477E0,1.012273132E3
3.323310094E0,1.012283936E3
3.343427037E0,1.012258301E3
3.363570592E0,1.012290161E3
3.382589635E0,1.012286011E3
3.402473424E0,1.012279846E3
3.422437291E0,1.012266052E3
3.442425084E0,1.012258545E3
3.462426549E0,1.012281250E3
3.482437291E0,1.012297974E3
3.502464879E0,1.012293030E3
3.522559850E0,1.012266357E3
3.542755895E0,1.012254089E3
3.562905309E0,1.012273926E3
3.583100865E0,1.012271484E3
3.603079137E0,1.012277283E3
3.622963903E0,1.012275391E3
3.643363903E0,1.012273438E3
3.663264684E0,1.012263733E3
3.683414586E0,1.012262329E3
3.703469518E0,1.012288391E3
3.722442662E0,1.012269104E3
3.742435338E0,1.012277832E3
3.762437780E0,1.012275391E3
3.782501012E0,1.012273376E3
3.802436559E0,1.012295410E3
3.822450963E0,1.012273132E3
3.842505651E0,1.012254700E3
3.862549596E0,1.012262573E3
3.882576940E0,1.012279236E3
3.902892369E0,1.012275574E3
3.923198766E0,1.012277954E3
3.943140416E0,1.012263611E3
3.962902623E0,1.012261902E3
3.983104039E0,1.012272766E3
4.003275670E0,1.012260559E3
4.023390660E0,1.012269775E3
4.043572057E0,1.012252930E3
4.062445348E0,1.012272339E3
4.082437291E0,1.012265320E3
4.102424596E0,1.012270325E3
4.122436803E0,1.012265625E3
4.142424352E0,1.012267273E3
4.162437535E0,1.012257507E3
4.182434117E0,1.012263733E3
4.202526647E0,1.012279541E3
4.222670201E0,1.012275452E3
4.242888219E0,1.012276978E3
4.263096471E0,1.012263611E3
4.283088170E0,1.012265625E3
4.302953893E0,1.012253845E3
4.323213414E0,1.012274475E3
4.343279332E0,1.012274963E3
4.363534459E0,1.012277100E3
4.383212438E0,1.012262573E3
4.402426305E0,1.012263611E3
4.422461705E0,1.012262756E3
4.442437535E0,1.012270020E3
4.462437535E0,1.012261169E3
4.482437291E0,1.012265625E3
4.502437291E0,1.012265320E3
4.522437535E0,1.012274963E3
4.542425084E0,1.012285217E3
4.562484166E0,1.012273376E3
4.582723912E0,1.012270691E3
4.602922155E0,1.012263977E3
4.622984655E0,1.012266663E3
4.643034215E0,1.012274963E3
4.662993444E0,1.012265259E3
4.683381383E0,1.012271912E3
4.703259557E0,1.012278442E3
4.723308385E0,1.012266663E3
4.742469030E0,1.012288635E3
4.762460729E0,1.012265808E3
4.782437535E0,1.012274719E3
4.802424840E0,1.012278198E3
4.822437291E0,1.012271484E3
4.842437780E0,1.012251038E3
4.862437780E0,1.012262756E3
4.882425573E0,1.012257812E3
4.902480992E0,1.012273071E3
4.922665807E0,1.012280029E3
4.943034948E0,1.012272766E3
4.963003453E0,1.012285217E3
4.982823766E0,1.012272095E3
5.002954137E0,1.012265808E3
5.023124059E0,1.012274170E3
5.043227574E0,1.012274963E3
5.063355016E0,1.012254700E3
5.083582799E0,1.012248291E3
5.102444127E0,1.012277954E3
5.122501500E0,1.012264221E3
5.142453649E0,1.012273682E3
5.162511510E0,1.012263367E3
5.182491002E0,1.012263245E3
5.202437780E0,1.012254883E3
5.222433141E0,1.012272034E3
5.242459020E0,1.012258301E3
5.262747350E0,1.012271790E3
5.283147350E0,1.012271057E3
5.302997106E0,1.012260742E3
5.322972203E0,1.012250000E3
5.342991979E0,1.012258057E3
5.363152623E0,1.012268433E3
5.383249303E0,1.012262207E3
5.403314000E0,1.012280884E3
5.423553746E0,1.012264404E3
5.442462926E0,1.012267273E3
5.462511266E0,1.012271057E3
5.482437780E0,1.012261963E3
5.502437291E0,1.012269714E3
5.522437535E0,1.012255920E3
5.542472692E0,1.012283691E3
5.562425817E0,1.012282288E3
5.582459020E0,1.012288635E3
5.602667028E0,1.012266052E3
5.623067028E0,1.012278870E3
5.643020055E0,1.012280945E3
5.662881627E0,1.012278198E3
5.682926305E0,1.012271790E3
5.703100621E0,1.012255859E3
5.723214391E0,1.012262878E3
5.743306432E0,1.012264771E3
5.763706432E0,1.012287476E3
5.782445836E0,1.012266052E3
5.802437535E0,1.012264709E3
5.822437291E0,1.012268433E3
5.842438024E0,1.012282898E3
5.862437780E0,1.012280640E3
5.882437535E0,1.012275574E3
5.902433629E0,1.012286682E3
5.922450719E0,1.012271179E3
5.942732946E0,1.012284546E3
5.963049596E0,1.012271912E3
5.983030553E0,1.012274475E3
6.003001012E0,1.012277222E3
6.022967565E0,1.012268860E3
6.043090612E0,1.012255432E3
6.063199010E0,1.012264648E3
6.083289586E0,1.012275208E3
6.103528112E0,1.012266907E3
6.122444615E0,1.012288635E3
6.142413854E0,1.012283264E3
6.162437047E0,1.012282288E3
6.182437291E0,1.012270691E3
6.202437535E0,1.012264771E3
6.222437291E0,1.012275879E3
6.242438756E0,1.012256714E3
6.262447545E0,1.012283020E3
6.282629918E0,1.012263733E3
6.303015905E0,1.012280273E3
6.323016637E0,1.012258667E3
6.342903356E0,1.012261902E3
6.362947301E0,1.012284302E3
6.383055944E0,1.012251770E3
6.403219518E0,1.012261353E3
6.423297887E0,1.012264771E3
6.443597936E0,1.012266663E3
6.462492223E0,1.012261597E3
6.482461949E0,1.012274414E3
6.502485631E0,1.012266052E3
6.522437047E0,1.012266357E3
6.542516881E0,1.012287720E3
6.562437047E0,1.012268311E3
6.582438024E0,1.012294800E3
6.602507115E0,1.012268066E3
6.622907115E0,1.012277771E3
6.642891149E0,1.012271057E3
6.663006627E0,1.012267761E3
6.682993932E0,1.012266785E3
6.703376744E0,1.012268616E3
6.723110387E0,1.012274475E3
6.743200231E0,1.012275696E3
6.763311071E0,1.012264648E3
6.783527379E0,1.012285583E3
6.802469030E0,1.012278870E3
6.822449742E0,1.012277832E3
6.842474156E0,1.012267822E3
6.862437291E0,1.012255249E3
6.882437535E0,1.012263367E3
6.902508580E0,1.012279602E3
6.922439489E0,1.012274536E3
