"Time (s)","Temperature (°C)"
7.436301100E-2,3.017187500E1
9.225674900E-2,3.017187500E1
1.101503640E-1,3.015625000E1
1.280438580E-1,3.017187500E1
1.459255110E-1,3.017968750E1
1.638182720E-1,3.018359375E1
1.817215920E-1,3.017968750E1
1.996181380E-1,3.016015625E1
2.175116930E-1,3.017187500E1
2.354051860E-1,3.016406250E1
2.532987410E-1,3.017968750E1
2.711926010E-1,3.017187500E1
2.890830420E-1,3.016406250E1
3.069764750E-1,3.015625000E1
3.248732040E-1,3.018359375E1
3.427665750E-1,3.016015625E1
3.606631820E-1,3.020703125E1
3.785538680E-1,3.022265625E1
3.964471780E-1,3.017968750E1
4.143407330E-1,3.017968750E1
4.322345320E-1,3.018750000E1
4.501281480E-1,3.017968750E1
4.680215190E-1,3.016015625E1
4.859152570E-1,3.017968750E1
5.037970320E-1,3.017968750E1
5.216993750E-1,3.019921875E1
5.395959210E-1,3.017578125E1
5.574894760E-1,3.014843750E1
5.753830300E-1,3.017968750E1
5.932767680E-1,3.018359375E1
6.111700790E-1,3.016015625E1
6.290638780E-1,3.015625000E1
6.469601180E-1,3.018359375E1
6.648390850E-1,3.017968750E1
6.827446030E-1,3.021093750E1
7.006405380E-1,3.019531250E1
7.185370220E-1,3.019531250E1
7.364252060E-1,3.016796875E1
7.543187610E-1,3.015625000E1
7.722120710E-1,3.017968750E1
7.901058700E-1,3.019140625E1
8.080000350E-1,3.017578125E1
8.258912090E-1,3.016406250E1
8.437821390E-1,3.020703125E1
8.616770980E-1,3.018750000E1
8.795739480E-1,3.023828125E1
8.974674420E-1,3.020312500E1
9.153618520E-1,3.018750000E1
9.332546130E-1,3.022265625E1
9.511362040E-1,3.016796875E1
9.690417220E-1,3.019921875E1
9.869352160E-1,3.020312500E1
1.004816868E0,3.017968750E1
1.022722325E0,3.017578125E1
1.040619176E0,3.019140625E1
1.058509434E0,3.021093750E1
1.076391270E0,3.020312500E1
1.094296788E0,3.017968750E1
1.112190343E0,3.021093750E1
1.130083958E0,3.019531250E1
1.147962559E0,3.023828125E1
1.165860570E0,3.016796875E1
1.183770421E0,3.019140625E1
1.201655309E0,3.017578125E1
1.219551915E0,3.017968750E1
1.237445225E0,3.019140625E1
1.255339024E0,3.017968750E1
1.273232640E0,3.023046875E1
1.291126378E0,3.017578125E1
1.309016697E0,3.023437500E1
1.326913243E0,3.020312500E1
1.344795140E0,3.017968750E1
1.362700841E0,3.022265625E1
1.380596959E0,3.021093750E1
1.398487828E0,3.017578125E1
1.416381261E0,3.017187500E1
1.434275120E0,3.022656250E1
1.452168370E0,3.023046875E1
1.470062169E0,3.022265625E1
1.487955540E0,3.021093750E1
1.505849400E0,3.019531250E1
1.523742650E0,3.021093750E1
1.541633396E0,3.018750000E1
1.559530308E0,3.019531250E1
1.577423680E0,3.019531250E1
1.595317296E0,3.023046875E1
1.613210911E0,3.023046875E1
1.631104466E0,3.022265625E1
1.648987340E0,3.025390625E1
1.666891575E0,3.022265625E1
1.684773167E0,3.021093750E1
1.702678624E0,3.024609375E1
1.720572545E0,3.024609375E1
1.738466038E0,3.020312500E1
1.756359532E0,3.024609375E1
1.774253392E0,3.023828125E1
1.792134739E0,3.024609375E1
1.810028233E0,3.019531250E1
1.827933995E0,3.018750000E1
1.845827550E0,3.019531250E1
1.863721409E0,3.024609375E1
1.881611607E0,3.022265625E1
1.899508214E0,3.021093750E1
1.917401768E0,3.024609375E1
1.935295567E0,3.018750000E1
1.953189183E0,3.021093750E1
1.971082799E0,3.026953125E1
1.988976231E0,3.019531250E1
2.006870091E0,3.026171875E1
2.024754613E0,3.022265625E1
2.042657445E0,3.023828125E1
2.060550389E0,3.024609375E1
2.078444249E0,3.018750000E1
2.096337803E0,3.025390625E1
2.114231663E0,3.024609375E1
2.132124974E0,3.021093750E1
2.150022008E0,3.023046875E1
2.167912327E0,3.024609375E1
2.185806187E0,3.023046875E1
2.203699437E0,3.023046875E1
2.221590306E0,3.022265625E1
2.239478917E0,3.028515625E1
2.257380284E0,3.030078125E1
2.275273839E0,3.022265625E1
2.293167759E0,3.024609375E1
2.311061070E0,3.027734375E1
2.328954808E0,3.023046875E1
2.346848363E0,3.023046875E1
2.364733250E0,3.022265625E1
2.382635472E0,3.023828125E1
2.400533483E0,3.022265625E1
2.418422825E0,3.026171875E1
2.436316319E0,3.024609375E1
2.454209996E0,3.023828125E1
2.472103673E0,3.025390625E1
2.489996861E0,3.028515625E1
2.507891087E0,3.025390625E1
2.525784459E0,3.022265625E1
2.543678441E0,3.026171875E1
2.561568699E0,3.020312500E1
2.579465611E0,3.028515625E1
