"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.054434100E-2,-2.778067112E0,4.264608383E0,7.573283672E0
1.282500200E-2,-2.735594511E0,4.253840446E0,7.678567886E0
1.510566300E-2,-2.693720102E0,4.257429600E0,7.812565804E0
1.738632400E-2,-2.718246460E0,4.267001152E0,7.936394691E0
1.966787700E-2,-2.609373093E0,4.288536549E0,8.113463402E0
2.194942900E-2,-2.476571321E0,4.295116425E0,8.300702095E0
2.423098100E-2,-2.333002090E0,4.344767570E0,8.440083504E0
2.651253300E-2,-2.214557409E0,4.342374802E0,8.598608017E0
2.879408500E-2,-2.091925144E0,4.310669899E0,8.752346992E0
3.107563700E-2,-1.949552298E0,4.288536549E0,8.934800148E0
3.335768700E-2,-1.827518344E0,4.238286972E0,9.098110199E0
3.563930100E-2,-1.695314884E0,4.168296814E0,9.280562401E0
3.792091500E-2,-1.572682738E0,4.122833252E0,9.401400566E0
4.020252900E-2,-1.488335729E0,4.034897327E0,9.507282257E0
4.248408100E-2,-1.433300734E0,3.947559118E0,9.622138023E0
4.476855900E-2,-1.357926846E0,3.912265062E0,9.723235130E0
4.705260100E-2,-1.287936807E0,3.839283943E0,9.818947792E0
4.933701700E-2,-1.255633712E0,3.757329702E0,9.872187614E0
5.162180600E-2,-1.228116274E0,3.689732552E0,9.848857880E0
5.390335800E-2,-1.257428288E0,3.595216036E0,9.786644936E0
5.618484800E-2,-1.307079315E0,3.518645763E0,9.896116257E0
5.846640000E-2,-1.375872970E0,3.461816072E0,9.937990189E0
6.074770300E-2,-1.365703583E0,3.504886866E0,1.000498962E1
6.302925500E-2,-1.452443361E0,3.472583771E0,1.000439167E1
6.531080700E-2,-1.563111424E0,3.445664644E0,1.000798035E1
6.759229700E-2,-1.692921996E0,3.418745279E0,9.992427826E0
6.987428400E-2,-1.811964989E0,3.430709362E0,9.934401512E0
7.215452800E-2,-1.931606054E0,3.403790236E0,9.890133858E0
7.443601800E-2,-2.075175524E0,3.377469063E0,9.817750931E0
7.671757000E-2,-2.199003935E0,3.384647608E0,9.754341125E0
7.899856200E-2,-2.285145521E0,3.357728481E0,9.686744690E0
8.127830800E-2,-2.371885538E0,3.306282759E0,9.647860527E0
8.355680900E-2,-2.405983210E0,3.263810158E0,9.609575272E0
8.583836100E-2,-2.434697151E0,3.221935749E0,9.571290970E0
8.812047300E-2,-2.419741869E0,3.245863914E0,9.495318413E0
9.038528800E-2,-2.389831543E0,3.283550978E0,9.428318977E0
9.261972400E-2,-2.355135679E0,3.317050457E0,9.347561836E0
9.485373200E-2,-2.320439816E0,3.336193085E0,9.266803741E0
9.708981700E-2,-2.319841623E0,3.364906788E0,9.218947411E0
9.932748700E-2,-2.318645239E0,3.403790236E0,9.114261627E0
1.015641820E-1,-2.302493572E0,3.451646566E0,9.019146919E0
1.038007540E-1,-2.315055847E0,3.514458179E0,8.918647766E0
1.060378750E-1,-2.318645239E0,3.572484255E0,8.827720642E0
1.082765230E-1,-2.307877541E0,3.616153240E0,8.751749039E0
1.105109590E-1,-2.301297188E0,3.668795347E0,8.632705688E0
1.127478360E-1,-2.266601324E0,3.711866140E0,8.542376518E0
