"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.738632400E-2,-5.187773108E-1,-2.970332205E-1,1.382082552E-1
1.966787700E-2,-5.314527750E-1,-3.124575615E-1,1.404990107E-1
2.194942900E-2,-5.331326723E-1,-3.355177343E-1,1.366810948E-1
2.423098100E-2,-5.348125100E-1,-3.597996235E-1,1.353066564E-1
2.651253300E-2,-5.290092826E-1,-3.793473244E-1,1.316414624E-1
2.879408500E-2,-5.244278312E-1,-3.976732790E-1,1.279762685E-1
3.107563700E-2,-5.099197626E-1,-4.124867618E-1,1.194241568E-1
3.335768700E-2,-4.964807332E-1,-4.211915731E-1,1.073595658E-1
3.563930100E-2,-4.792237878E-1,-4.276056588E-1,9.392052889E-2
3.792091500E-2,-4.581489265E-1,-4.256203473E-1,7.819075137E-2
4.020252900E-2,-4.346306324E-1,-4.211915731E-1,6.139195710E-2
4.248408100E-2,-4.097378552E-1,-4.132503271E-1,4.077525437E-2
4.476855900E-2,-3.834706545E-1,-4.002694488E-1,1.908953860E-2
4.705260100E-2,-3.572034538E-1,-3.862195611E-1,9.162978968E-4
4.933701700E-2,-3.310889602E-1,-3.831652105E-1,-1.710422710E-2
5.162180600E-2,-3.013092875E-1,-3.776674271E-1,-3.405573592E-2
5.390335800E-2,-2.806925774E-1,-3.962988257E-1,-5.100724846E-2
5.618484800E-2,-2.611449063E-1,-4.124867618E-1,-6.444628537E-2
5.846640000E-2,-2.365575731E-1,-4.117231667E-1,-7.391469181E-2
6.074770300E-2,-2.116648108E-1,-4.024074674E-1,-7.742717117E-2
6.302925500E-2,-1.805106848E-1,-3.824016452E-1,-7.330382615E-2
6.531080700E-2,-1.493565589E-1,-3.587306142E-1,-6.566801667E-2
6.759229700E-2,-1.168279797E-1,-3.315471113E-1,-5.543602258E-2
6.987428400E-2,-8.659014851E-2,-2.968805134E-1,-4.657847434E-2
7.215452800E-2,-6.017022580E-2,-2.609921694E-1,-3.390302137E-2
7.443601800E-2,-3.863722831E-2,-2.263255715E-1,-2.260201424E-2
7.671757000E-2,-1.939497143E-2,-1.890627891E-1,-8.857546374E-3
7.899856200E-2,-3.054326226E-4,-1.530217379E-1,6.108652335E-3
8.127830800E-2,1.649336144E-2,-1.096503139E-1,2.122756653E-2
8.355680900E-2,2.825251780E-2,-6.856962293E-2,3.863722831E-2
8.583836100E-2,4.123340547E-2,-2.764165215E-2,5.971207842E-2
8.812047300E-2,5.528330430E-2,7.330383174E-3,8.078692853E-2
9.038528800E-2,6.322455406E-2,3.756821156E-2,1.004873365E-1
9.261972400E-2,7.330382615E-2,5.787948146E-2,1.226311997E-1
9.485373200E-2,8.445212245E-2,7.101308554E-2,1.449277848E-1
9.708981700E-2,9.315694869E-2,8.185594529E-2,1.707368344E-1
9.932748700E-2,1.004873365E-1,8.888089657E-2,1.902845204E-1
1.015641820E-1,1.065959856E-1,9.010262042E-2,2.148718536E-1
1.038007540E-1,1.101084575E-1,8.872817457E-2,2.356412709E-1
1.060378750E-1,1.148426682E-1,8.506298810E-2,2.541199327E-1
1.082765230E-1,1.122464910E-1,8.384125680E-2,2.724458873E-1
1.105109590E-1,1.072068512E-1,8.399397135E-2,2.869539559E-1
1.127478360E-1,1.021672115E-1,8.643743396E-2,3.003929853E-1
1.149846530E-1,9.101892263E-2,8.552113175E-2,3.101668358E-1
1.172214690E-1,8.353582025E-2,8.323039114E-2,3.161227703E-1
1.194582850E-1,7.360926270E-2,7.727445662E-2,3.234531581E-1
1.216832610E-1,6.459899992E-2,6.047565863E-2,3.294090927E-1
1.239202600E-1,4.810563847E-2,4.016438872E-2,3.329215646E-1
1.261617770E-1,3.054326214E-2,1.985312067E-2,3.289509416E-1
1.284085420E-1,1.527163107E-2,-1.679879380E-3,3.239113092E-1
1.306452980E-1,-3.512475174E-3,-2.428189293E-2,3.150537610E-1
1.328813810E-1,-2.092213556E-2,-3.848451003E-2,3.000875413E-1
1.351159390E-1,-3.817907721E-2,-4.550946131E-2,2.828305960E-1
1.373528170E-1,-5.665775016E-2,-4.993823543E-2,2.594650090E-1
1.395883510E-1,-7.376197726E-2,-5.207626149E-2,2.359467000E-1
1.418216270E-1,-9.086620808E-2,-5.177082866E-2,2.113593817E-1
1.440654020E-1,-1.043052375E-1,-5.879577994E-2,1.806633919E-1
1.462997770E-1,-1.154535338E-1,-6.948592514E-2,1.536326110E-1
1.485378760E-1,-1.290452778E-1,-8.017606288E-2,1.264491081E-1
1.507726170E-1,-1.389718503E-1,-9.453139454E-2,1.043052375E-1
1.530102870E-1,-1.476766765E-1,-1.076650023E-1,8.216137439E-2
1.552470430E-1,-1.589776874E-1,-1.232420653E-1,6.123924255E-2
1.574836760E-1,-1.637118906E-1,-1.255328059E-1,4.153883830E-2
1.597209810E-1,-1.721112877E-1,-1.217148975E-1,2.199114859E-2
1.619594450E-1,-1.782199293E-1,-1.178969890E-1,5.955935922E-3
1.641941860E-1,-1.841758788E-1,-1.166752651E-1,-1.114829071E-2
1.664311860E-1,-1.840231568E-1,-1.130100712E-1,-2.458732575E-2
1.686672090E-1,-1.889100820E-1,-1.153008118E-1,-3.573561832E-2
1.709046360E-1,-1.927279830E-1,-1.237002090E-1,-4.428773001E-2
1.731415740E-1,-1.951714456E-1,-1.298088580E-1,-5.787948146E-2
1.753781460E-1,-1.976149082E-1,-1.345430762E-1,-7.254024595E-2
1.776153290E-1,-2.025018334E-1,-1.343903542E-1,-8.597928286E-2
1.798539150E-1,-2.046398520E-1,-1.235474944E-1,-1.006400511E-1
1.820884120E-1,-2.041817009E-1,-1.088867337E-1,-1.153008118E-1
1.843254730E-1,-2.014328092E-1,-9.315694869E-2,-1.275181174E-1
1.865614960E-1,-1.971567571E-1,-7.391469181E-2,-1.408044398E-1
1.887967870E-1,-1.930334121E-1,-5.696318299E-2,-1.479821056E-1
1.910262790E-1,-1.892155111E-1,-4.734205827E-2,-1.540907621E-1
1.932722500E-1,-1.866193265E-1,-4.245513305E-2,-1.601994038E-1
1.955097990E-1,-1.815796942E-1,-3.894266114E-2,-1.624901593E-1
1.977506440E-1,-1.753183305E-1,-3.543018550E-2,-1.637118906E-1
1.999829440E-1,-1.678352207E-1,-2.947424725E-2,-1.673770845E-1
2.022195160E-1,-1.627955884E-1,-2.474004216E-2,-1.696678251E-1
2.044560280E-1,-1.514945775E-1,-1.527163107E-2,-1.695151031E-1
2.066933320E-1,-1.438587606E-1,-7.024950348E-3,-1.695151031E-1
2.089299650E-1,-1.351539344E-1,1.374446787E-3,-1.718058437E-1
2.111667820E-1,-1.262963861E-1,1.084285788E-2,-1.716531366E-1
2.134042690E-1,-1.188132912E-1,1.679879427E-2,-1.679879427E-1
2.156423680E-1,-1.102611795E-1,1.664607786E-2,-1.678352207E-1
2.178772920E-1,-1.055269688E-1,3.207042580E-3,-1.617265791E-1
2.201142300E-1,-1.010981947E-1,-1.756237634E-2,-1.580613852E-1
2.223503760E-1,-1.039998084E-1,-3.436116874E-2,-1.569923609E-1
2.245876190E-1,-1.065959856E-1,-4.169155285E-2,-1.569923609E-1
2.268241300E-1,-1.065959856E-1,-4.046982154E-2,-1.545489132E-1
2.290610080E-1,-1.110247597E-1,-2.214386500E-2,-1.545489132E-1
2.312953220E-1,-1.142318025E-1,5.803219974E-3,-1.556179225E-1
2.335217620E-1,-1.185078546E-1,3.252857551E-2,-1.580613852E-1
2.357597990E-1,-1.203404516E-1,6.536258012E-2,-1.566869318E-1
2.380082730E-1,-1.224784851E-1,8.613199741E-2,-1.554652005E-1
2.402473480E-1,-1.270599663E-1,1.030835137E-1,-1.505782902E-1
2.424846530E-1,-1.354593635E-1,1.117883399E-1,-1.469130963E-1
2.447187840E-1,-1.466076523E-1,1.108720452E-1,-1.420261711E-1
2.469556000E-1,-1.579086632E-1,1.061378345E-1,-1.360702366E-1
2.491927210E-1,-1.751656085E-1,1.053742543E-1,-1.337794960E-1
2.514311860E-1,-1.887573600E-1,1.067487001E-1,-1.266018152E-1
2.536659880E-1,-2.021963894E-1,1.070541367E-1,-1.192714423E-1
2.559026210E-1,-2.234239578E-1,1.026253626E-1,-1.110247597E-1
2.581388890E-1,-2.405281961E-1,1.053742543E-1,-1.085812971E-1
2.603761320E-1,-2.603813112E-1,1.021672115E-1,-1.027780771E-1
2.626128270E-1,-2.777909636E-1,9.758572280E-2,-9.437867999E-2
2.648498260E-1,-2.999348342E-1,1.004873365E-1,-8.842274547E-2
2.670870080E-1,-3.210096955E-1,9.728029370E-2,-7.757988572E-2
2.693257780E-1,-3.382666409E-1,9.392052889E-2,-6.918048859E-2
2.715603360E-1,-3.605632186E-1,9.071348608E-2,-6.078109145E-2
2.737951390E-1,-3.865249753E-1,9.117163718E-2,-4.993823543E-2
2.760250580E-1,-4.063780904E-1,8.918632567E-2,-3.787364438E-2
2.782704800E-1,-4.189008474E-1,7.727445662E-2,-2.580905706E-2
2.805072970E-1,-4.327980280E-1,6.536258012E-2,-1.618792862E-2
2.827461270E-1,-4.480696619E-1,4.871650413E-2,-5.345070735E-3
2.849812950E-1,-4.581489265E-1,3.924809024E-2,6.108652451E-4
2.872199430E-1,-4.670064747E-1,2.718350291E-2,9.010262787E-3
2.894562100E-1,-4.709770977E-1,1.756237634E-2,1.267545391E-2
2.916987640E-1,-4.711298347E-1,7.941247895E-3,1.756237634E-2
2.939274630E-1,-4.665483236E-1,-1.832595794E-3,2.367102914E-2
2.961650730E-1,-4.520402849E-1,-1.313360315E-2,2.855795063E-2
2.983998140E-1,-4.361577928E-1,-2.061670274E-2,2.993239649E-2
3.006386440E-1,-4.190535545E-1,-2.580905706E-2,3.375030309E-2
3.028755220E-1,-3.932445049E-1,-3.237585723E-2,3.634648025E-2
3.051142300E-1,-3.639229834E-1,-3.543018550E-2,3.909537569E-2
3.073486050E-1,-3.294090927E-1,-3.726277873E-2,3.802636266E-2
3.095827360E-1,-2.947424948E-1,-3.191770986E-2,3.588833287E-2
3.118097260E-1,-2.539672256E-1,-2.306016348E-2,3.634648025E-2
3.140591770E-1,-2.168571651E-1,-1.527163107E-2,3.665191308E-2
3.162961150E-1,-1.786780804E-1,-9.926560335E-3,3.344487399E-2
3.185339690E-1,-1.415680200E-1,-2.138028387E-3,3.375030309E-2
3.207630340E-1,-1.081231460E-1,4.428773187E-3,3.283400834E-2
3.230084560E-1,-7.483099401E-2,9.926560335E-3,2.947424725E-2
3.252429530E-1,-5.009094998E-2,1.420261711E-2,2.718350291E-2
3.274817230E-1,-3.390302137E-2,1.634064503E-2,2.367102914E-2
3.297159760E-1,-2.519819140E-2,1.863138936E-2,1.404990070E-2
3.319534030E-1,-2.138028294E-2,2.580905706E-2,5.497787148E-3
3.341902190E-1,-3.207042441E-2,3.940080851E-2,-4.276056774E-3
3.364272800E-1,-4.749477282E-2,5.910121277E-2,-2.153299935E-2
3.386614110E-1,-7.788532227E-2,7.422012836E-2,-3.878994286E-2
3.408909030E-1,-1.166752651E-1,1.029307917E-1,-5.864306539E-2
3.431374850E-1,-1.640173197E-1,1.281289905E-1,-7.971791178E-2
3.453744840E-1,-2.148718536E-1,1.606575549E-1,-1.044579595E-1
3.476133140E-1,-2.779437006E-1,1.971567571E-1,-1.293507218E-1
3.498478730E-1,-3.507893682E-1,2.385428846E-1,-1.566869318E-1
3.520843840E-1,-4.222606122E-1,2.837468982E-1,-1.853975952E-1
3.543213840E-1,-5.010622144E-1,3.361285925E-1,-2.176207453E-1
3.565588100E-1,-5.907067060E-1,3.926336467E-1,-2.524400651E-1
3.587969700E-1,-6.791294217E-1,4.512766898E-1,-2.909245789E-1
3.610320770E-1,-7.699956298E-1,5.149593949E-1,-3.292563558E-1
3.632687710E-1,-8.645270467E-1,5.714644194E-1,-3.715587854E-1
