"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.530102870E-1,2.709504366E-1,4.480352402E-1,-6.815433502E-1
1.709046360E-1,4.307167530E-1,3.310513496E-1,-3.458929062E-1
1.887967870E-1,2.573460340E-1,1.039018631E-1,-1.274518967E-1
2.066933320E-1,-1.598466635E-1,1.585881710E-1,2.138500214E-1
2.245876190E-1,-2.919574976E-1,1.127870083E-1,2.633695602E-1
2.424846530E-1,-9.102809429E-2,-9.062147141E-2,8.591365814E-2
2.603761320E-1,2.033114433E-2,-2.310819626E-1,-3.956937790E-1
2.782704800E-1,-2.625668049E-2,-2.002801895E-1,-7.237939835E-1
2.961650730E-1,3.848612309E-2,-1.242094040E-1,-1.763505936E-1
3.140591770E-1,-4.928374290E-2,6.365776062E-3,8.718175888E-1
3.319534030E-1,-2.273120880E-1,2.539060116E-1,9.351787567E-1
3.498478730E-1,-3.137202263E-1,6.400218010E-1,8.836460114E-2
3.677424040E-1,-1.078715324E-1,9.679450989E-1,-4.547901154E-1
3.856367520E-1,-1.754155159E-1,1.053946495E0,7.646732330E-1
4.035220050E-1,3.123196363E-1,-6.891767979E-1,7.333850861E-1
4.214253270E-1,3.479712009E-1,1.078703642E0,1.882410049E0
4.393168680E-1,4.035298824E-1,-2.976980209E-1,5.864658356E-1
4.572141450E-1,-1.976484537E0,-2.751955986E-1,1.448331833E0
4.751081880E-1,-1.250889778E0,6.483961344E-1,6.797171593E0
4.930036960E-1,-2.644116879E-1,-1.632247448E0,4.007215500E0
5.108968840E-1,8.840034008E-1,-8.151736259E-1,2.184336662E0
5.287915370E-1,1.757536173E0,-9.164204597E-1,-3.861682415E0
5.466857640E-1,4.774073601E0,-5.647079945E-1,-6.218694210E0
5.645798070E-1,-1.524910212E0,1.041036367E0,-4.458804131E0
5.824741550E-1,-5.353832722E0,1.912831783E0,-2.299986362E0
6.003716160E-1,-7.757630348E-1,1.426205397E0,-1.356647491E0
6.182629730E-1,4.397588253E0,5.307822227E-1,-1.605300903E-1
6.361572600E-1,1.280000091E0,-1.871666193E0,1.262050629E0
6.540403170E-1,9.283816814E-1,-2.786736965E0,3.114404678E-1
6.719458340E-1,3.036278486E0,-2.142914772E0,-1.506069183E0
