"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.079134770E0,3.567975238E1,1.397680537E2,9.715775883E1,0.000000000E0,NaN,3.086080742E1,7.790387726E1
1.008678073E1,3.567972490E1,1.397680516E2,1.405177518E2,0.000000000E0,NaN,3.472351837E1,1.002470932E2
1.110598857E1,3.567975605E1,1.397679892E2,1.178622933E2,0.000000000E0,NaN,2.422323799E1,5.550765610E1
1.211164816E1,3.567983575E1,1.397679419E2,1.158761329E2,0.000000000E0,NaN,1.436688900E1,2.098862457E2
1.414382244E1,3.567980670E1,1.397679296E2,9.257455506E1,0.000000000E0,NaN,4.041831207E1,8.583558655E1
1.509637236E1,3.567984433E1,1.397680443E2,2.688042471E1,0.000000000E0,NaN,4.977628326E1,2.885738373E1
1.611148788E1,3.567984290E1,1.397679305E2,2.237687495E1,7.408937216E-1,1.930764618E2,1.334180069E1,1.852253532E1
1.768680885E1,3.567983271E1,1.397678985E2,2.079406865E1,6.683968306E-1,1.894380646E2,8.941119194E0,1.313917160E1
1.870188921E1,3.567982775E1,1.397678821E2,2.025439615E1,7.323578596E-1,1.797510376E2,7.704515457E0,1.154346180E1
1.963355039E1,3.567981950E1,1.397678735E2,2.007609305E1,9.252510071E-1,1.934384460E2,6.883788109E0,1.043209839E1
2.063359239E1,3.567981405E1,1.397678656E2,1.963784995E1,9.335308671E-1,1.907210999E2,6.443659782E0,9.682415962E0
2.163361139E1,3.567980974E1,1.397678620E2,1.909886933E1,8.667537570E-1,1.913871307E2,6.805201530E0,9.128457069E0
2.263366739E1,3.567980509E1,1.397678589E2,1.847257760E1,8.509690762E-1,1.894105682E2,6.036260605E0,8.672821999E0
2.363363339E1,3.567979999E1,1.397678545E2,1.810167362E1,8.079797626E-1,2.089778137E2,5.903573036E0,8.328877449E0
2.463365539E1,3.567978934E1,1.397678536E2,1.750529042E1,8.584992886E-1,2.034143677E2,5.646901608E0,7.971924305E0
2.563363839E1,3.567977799E1,1.397678527E2,1.756875468E1,1.033308148E0,1.930464935E2,5.441024780E0,7.678522587E0
2.663366239E1,3.567976341E1,1.397678562E2,1.832792816E1,5.713615417E-1,1.898844299E2,5.229900360E0,7.389197350E0
2.763367939E1,3.567974960E1,1.397678599E2,1.842602488E1,5.718566179E-1,1.916164856E2,5.089564800E0,7.140502930E0
2.863368939E1,3.567973707E1,1.397678637E2,1.866957821E1,7.435255051E-1,1.822189178E2,4.871099472E0,6.880609512E0
2.963374839E1,3.567972529E1,1.397678679E2,1.877052553E1,7.747683525E-1,1.877669525E2,4.985767365E0,6.633094788E0
3.063371939E1,3.567971049E1,1.397678703E2,1.823321112E1,6.302164793E-1,1.790472565E2,6.135916710E0,6.444012165E0
3.163375739E1,3.567969914E1,1.397678698E2,1.826576992E1,7.959541678E-1,1.981785736E2,4.751201630E0,6.335625648E0
3.263375239E1,3.567968871E1,1.397678688E2,1.826074819E1,6.100932956E-1,2.247161255E2,4.881648540E0,6.245326042E0
3.363377539E1,3.567968439E1,1.397678642E2,2.028419968E1,0.000000000E0,2.247161255E2,4.744597912E0,5.761914730E0
3.463378539E1,3.567968401E1,1.397678629E2,2.017337503E1,0.000000000E0,2.247161255E2,5.739932537E0,5.623000145E0
3.563380539E1,3.567968501E1,1.397678641E2,1.966039824E1,0.000000000E0,2.247161255E2,5.640537262E0,5.481297016E0
3.663395239E1,3.567968677E1,1.397678671E2,1.930173684E1,0.000000000E0,2.247161255E2,6.610918999E0,5.320088387E0
3.763388339E1,3.567968880E1,1.397678701E2,1.900625621E1,0.000000000E0,2.247161255E2,7.072374821E0,5.191047192E0
3.863383939E1,3.567969158E1,1.397678729E2,1.862739842E1,0.000000000E0,2.247161255E2,7.073908806E0,5.084893703E0
3.963386539E1,3.567969280E1,1.397678751E2,1.833889729E1,0.000000000E0,2.247161255E2,5.951838970E0,4.978550911E0
4.063386739E1,3.567969855E1,1.397678819E2,1.843991169E1,2.811719179E-1,2.300070572E1,5.944231033E0,4.841864109E0
4.163390239E1,3.567970107E1,1.397678835E2,1.823856796E1,0.000000000E0,2.300070572E1,7.078514576E0,4.769603252E0
4.263392639E1,3.567970992E1,1.397678817E2,1.763604209E1,0.000000000E0,2.300070572E1,7.089294434E0,4.656828403E0
4.363391839E1,3.567971316E1,1.397678907E2,1.728713575E1,3.163870871E-1,1.343387318E1,6.842116356E0,4.561849594E0
4.463393339E1,3.567971321E1,1.397678908E2,1.706789280E1,0.000000000E0,1.343387318E1,7.052289963E0,4.521551132E0
4.563395139E1,3.567971922E1,1.397678948E2,1.644687012E1,4.912941158E-1,2.057260513E1,7.786831379E0,4.427206039E0
4.663396539E1,3.567971972E1,1.397678951E2,1.705719734E1,0.000000000E0,2.057260513E1,5.893521309E0,4.391804695E0
4.763398039E1,3.567973756E1,1.397679031E2,1.693577983E1,0.000000000E0,2.057260513E1,5.926383972E0,4.304319382E0
4.863399239E1,3.567973788E1,1.397679033E2,1.753627474E1,3.045194447E-1,7.301038361E1,5.945904255E0,4.283515453E0
4.963401239E1,3.567973815E1,1.397679034E2,1.817448773E1,0.000000000E0,7.301038361E1,4.959589958E0,4.266652107E0
