"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.942190900E-2,7.467009888E2,1.632359886E1,-8.189737549E2
4.943387200E-2,7.454199829E2,1.697019958E1,-8.188518066E2
5.942190900E-2,7.453223877E2,1.754360008E1,-8.188640137E2
6.943411600E-2,7.458347778E2,1.743379974E1,-8.195471802E2
7.942190900E-2,7.459445801E2,1.743379974E1,-8.199497681E2
8.943362800E-2,7.460299683E2,1.744599915E1,-8.194373779E2
9.942190900E-2,7.463228149E2,1.744599915E1,-8.194251709E2
1.094341160E-1,7.463228149E2,1.744599915E1,-8.194251709E2
1.194221530E-1,7.453468018E2,1.723859978E1,-8.195593872E2
1.294338720E-1,7.456517944E2,1.695800018E1,-8.197423706E2
1.394341160E-1,7.459201660E2,1.678719902E1,-8.193275757E2
1.494341160E-1,7.461153564E2,1.706780052E1,-8.192177734E2
1.594338720E-1,7.460543823E2,1.657979965E1,-8.202182007E2
1.694311860E-1,7.460421753E2,1.705559921E1,-8.197301636E2
1.794338720E-1,7.464447632E2,1.704339981E1,-8.203157959E2
1.894219090E-1,7.452614136E2,1.694579887E1,-8.200595703E2
1.994341160E-1,7.457615967E2,1.742160034E1,-8.203523560E2
2.094221530E-1,7.456640015E2,1.732399940E1,-8.202547607E2
2.194338720E-1,7.458591919E2,1.742160034E1,-8.200473633E2
2.294216650E-1,7.461519775E2,1.751919937E1,-8.201328125E2
2.394341160E-1,7.459689941E2,1.742160034E1,-8.205476074E2
2.494216650E-1,7.461519775E2,1.733619881E1,-8.201328125E2
2.594336280E-1,7.466400146E2,1.790959930E1,-8.201206055E2
2.694223970E-1,7.466521606E2,1.789739990E1,-8.205231934E2
2.794331390E-1,7.463715820E2,1.770219994E1,-8.207305908E2
2.894341160E-1,7.465667725E2,1.770219994E1,-8.210233765E2
2.994316750E-1,7.467497559E2,1.837319946E1,-8.206329956E2
3.094338720E-1,7.465667725E2,1.750699997E1,-8.208159790E2
3.194219090E-1,7.467619629E2,1.798279953E1,-8.207305908E2
3.294341160E-1,7.462861938E2,1.806819916E1,-8.211453857E2
3.394223970E-1,7.463959961E2,1.825119972E1,-8.215479736E2
3.494338720E-1,7.464082031E2,1.833659935E1,-8.221579590E2
3.594226410E-1,7.467619629E2,1.893440056E1,-8.209501953E2
3.694343600E-1,7.469815674E2,1.882460022E1,-8.215357666E2
3.794226410E-1,7.473109741E2,1.937360001E1,-8.225484009E2
3.894336280E-1,7.480673828E2,2.033740044E1,-8.218286133E2
3.994226410E-1,7.482015991E2,2.041059875E1,-8.229387817E2
4.094341160E-1,7.484212036E2,2.144759941E1,-8.233535767E2
4.194219090E-1,7.481405640E2,2.285059929E1,-8.239025879E2
4.294338720E-1,7.494459839E2,2.369239998E1,-8.247687988E2
4.394219090E-1,7.508001709E2,2.419260025E1,-8.242197876E2
4.494338720E-1,7.513004150E2,2.532719994E1,-8.243295898E2
4.594419280E-1,7.524594116E2,2.553459930E1,-8.239757690E2
4.694336280E-1,7.523983765E2,2.627879906E1,-8.248053589E2
4.794341160E-1,7.522885742E2,2.618120003E1,-8.245003662E2
4.894221530E-1,7.518005981E2,2.570539856E1,-8.247199707E2
4.994341160E-1,7.522641602E2,2.563220024E1,-8.238903809E2
5.094372900E-1,7.524472046E2,2.498559952E1,-8.234633789E2
5.194338720E-1,7.521543579E2,2.418039894E1,-8.208403931E2
5.294221530E-1,7.532890015E2,2.327759933E1,-8.196569824E2
5.394341160E-1,7.535208130E2,2.228940010E1,-8.175097656E2
5.494221530E-1,7.534231567E2,2.265539932E1,-8.178269653E2
5.594338720E-1,7.526668091E2,2.263099861E1,-8.183637695E2
5.694221530E-1,7.546065674E2,2.408279991E1,-8.179124146E2
5.794341160E-1,7.551921997E2,2.541259956E1,-8.177171631E2
5.894275240E-1,7.550946045E2,2.569319916E1,-8.178391724E2
5.994219090E-1,7.547407837E2,2.632759857E1,-8.187663574E2
6.094177590E-1,7.549237671E2,2.699860001E1,-8.184735718E2
6.194253270E-1,7.545578003E2,2.774279976E1,-8.192177734E2
6.294421730E-1,7.540087891E2,2.798679924E1,-8.203523560E2
6.394180030E-1,7.539234009E2,2.845039940E1,-8.207672119E2
6.494370460E-1,7.535208130E2,2.798679924E1,-8.201815796E2
6.594219090E-1,7.533255615E2,2.760859871E1,-8.204743652E2
6.694341160E-1,7.523617554E2,2.692539978E1,-8.209989624E2
6.794223970E-1,7.519835815E2,2.673019981E1,-8.211209717E2
6.894336280E-1,7.505073853E2,2.594939995E1,-8.212673950E2
6.994223970E-1,7.497143555E2,2.443659973E1,-8.210599976E2
7.094341160E-1,7.489458008E2,2.394859886E1,-8.214869995E2
7.194221530E-1,7.479819946E2,2.316779900E1,-8.219140015E2
7.294321630E-1,7.466156006E2,2.259440041E1,-8.219627686E2
7.394221530E-1,7.461275635E2,2.163059998E1,-8.223532104E2
7.494341160E-1,7.442731934E2,2.132559967E1,-8.225361938E2
7.594223970E-1,7.434069824E2,2.073999977E1,-8.229631958E2
7.694336280E-1,7.421625977E2,1.976399994E1,-8.238903809E2
7.794348480E-1,7.391491699E2,1.933699989E1,-8.246223755E2
7.894221530E-1,7.391491699E2,1.933699989E1,-8.246223755E2
7.994241060E-1,7.350621948E2,1.861719894E1,-8.252933960E2
8.094336280E-1,7.336225586E2,1.839760017E1,-8.263547974E2
8.194394870E-1,7.316705933E2,1.847080040E1,-8.263547974E2
8.294341160E-1,7.302919922E2,1.808040047E1,-8.261961670E2
8.394341160E-1,7.274616089E2,1.747039986E1,-8.267207642E2
