"Time (s)","Pressure (hPa)"
5.852566900E-2,1.012134216E3
7.852176200E-2,1.012139099E3
9.852298300E-2,1.012122437E3
1.185808450E-1,1.012054016E3
1.385398290E-1,1.012029053E3
1.585723000E-1,1.012065491E3
1.788901710E-1,1.012081177E3
1.988818700E-1,1.012114685E3
2.189458350E-1,1.012115723E3
2.391570160E-1,1.012104553E3
2.592270850E-1,1.012088440E3
2.794687840E-1,1.012088745E3
2.994722020E-1,1.012141052E3
3.185784030E-1,1.012205078E3
3.385222510E-1,1.012235413E3
3.585222510E-1,1.012236938E3
3.785224950E-1,1.012341797E3
3.986623870E-1,1.012361633E3
4.185227390E-1,1.012343628E3
4.385571630E-1,1.011961670E3
4.585095550E-1,1.011335388E3
4.785222510E-1,1.011700928E3
4.987500340E-1,1.011752808E3
5.188916360E-1,1.011743713E3
5.388877290E-1,1.011298157E3
5.589431490E-1,1.011302429E3
5.791184420E-1,1.011398926E3
5.992832370E-1,1.011446899E3
6.195329930E-1,1.011480957E3
6.394975930E-1,1.011485962E3
6.585532570E-1,1.011578857E3
6.785220070E-1,1.011628845E3
6.985222510E-1,1.011693909E3
7.185215180E-1,1.011739624E3
7.385200530E-1,1.011730103E3
7.585227390E-1,1.011721558E3
7.785239600E-1,1.011761108E3
7.985100440E-1,1.011810547E3
8.185095550E-1,1.011849182E3
8.386133150E-1,1.011865967E3
8.589534030E-1,1.011799011E3
8.788945650E-1,1.011756714E3
8.989443700E-1,1.011704102E3
9.191345550E-1,1.011672363E3
9.395345550E-1,1.011628235E3
9.594057960E-1,1.011646729E3
9.795574070E-1,1.011666077E3
9.985373870E-1,1.011683777E3
1.018681919E0,1.011688232E3
1.038522251E0,1.011754761E3
1.058521518E0,1.011753845E3
1.078523960E0,1.011777283E3
1.098522739E0,1.011798584E3
1.118814731E0,1.011806885E3
1.138492466E0,1.011824280E3
1.158522739E0,1.011832520E3
1.178603794E0,1.011821167E3
1.199003794E0,1.011830383E3
1.218881382E0,1.011828369E3
1.238961216E0,1.011860962E3
1.259218052E0,1.011905823E3
1.279330356E0,1.011906494E3
1.299480014E0,1.011884766E3
1.319557163E0,1.011886475E3
1.338533970E0,1.011897339E3
1.358522251E0,1.011875732E3
1.378577427E0,1.011851196E3
1.398522251E0,1.011894409E3
1.418521518E0,1.011911682E3
1.438554477E0,1.011785583E3
1.458521762E0,1.011758667E3
1.478508579E0,1.011815247E3
1.498512241E0,1.011839600E3
1.518572055E0,1.011843811E3
1.538972055E0,1.011908020E3
1.559181430E0,1.011974548E3
1.578941928E0,1.012218689E3
1.599255405E0,1.012185608E3
1.619228305E0,1.012128845E3
1.639460483E0,1.011979492E3
1.659465854E0,1.012103333E3
1.678522251E0,1.012182129E3
1.698522495E0,1.012146423E3
1.718550327E0,1.012112610E3
1.738522251E0,1.012062439E3
1.758595249E0,1.012013000E3
1.778533970E0,1.012011108E3
1.798628940E0,1.011929565E3
1.818509555E0,1.011778076E3
1.838522007E0,1.011683044E3
1.858618686E0,1.011648315E3
1.878998813E0,1.011709839E3
1.898876499E0,1.011737610E3
1.918979282E0,1.011747986E3
1.939379282E0,1.011860901E3
1.959330356E0,1.011855530E3
1.979446811E0,1.011873108E3
1.999577427E0,1.011892273E3
2.018528110E0,1.011943359E3
2.038522007E0,1.011938782E3
2.058521274E0,1.011968689E3
2.078522495E0,1.012012817E3
2.098522739E0,1.012063782E3
2.118522251E0,1.012059448E3
2.138521762E0,1.012093811E3
2.158596225E0,1.012042175E3
2.178514438E0,1.012026550E3
2.198598667E0,1.012080383E3
2.218998667E0,1.012042114E3
2.238915317E0,1.012036804E3
2.259293979E0,1.012096558E3
2.279386509E0,1.012158386E3
2.299221958E0,1.012061707E3
2.319483677E0,1.012011963E3
2.339496860E0,1.012015015E3
2.358830845E0,1.012033813E3
2.378522007E0,1.012155151E3
2.398522495E0,1.012098083E3
2.418522007E0,1.012088501E3
2.438608677E0,1.012090820E3
2.458537387E0,1.012100952E3
2.478522495E0,1.012127747E3
2.498509800E0,1.012125244E3
2.518509311E0,1.012155823E3
2.538637485E0,1.012144775E3
2.558993442E0,1.012156189E3
2.578874546E0,1.012146912E3
2.599256870E0,1.012162109E3
2.619246128E0,1.012176270E3
2.639364292E0,1.012204773E3
2.659462436E0,1.012219177E3
2.679631382E0,1.012221313E3
2.698728305E0,1.012190247E3
2.718522251E0,1.012222717E3
2.738526401E0,1.012217224E3
2.758522007E0,1.012265625E3
2.778575473E0,1.012260620E3
2.798521518E0,1.012280457E3
2.818595493E0,1.012252441E3
2.838508823E0,1.012227661E3
2.858656040E0,1.012220154E3
2.878657749E0,1.012188354E3
2.899057749E0,1.012207458E3
2.918918491E0,1.012277832E3
2.939150180E0,1.012469482E3
2.959249546E0,1.012590881E3
2.979246128E0,1.012593933E3
2.999508335E0,1.012528503E3
3.019518100E0,1.012390015E3
3.038534702E0,1.012157227E3
