"Time (s)","Temperature (°C)"
6.987428400E-2,3.154296875E1
8.812047300E-2,3.155468750E1
1.060378750E-1,3.148046875E1
1.239202600E-1,3.154296875E1
1.418216270E-1,3.153515625E1
1.597209810E-1,3.150000000E1
1.776153290E-1,3.156250000E1
1.955097990E-1,3.150390625E1
2.134042690E-1,3.150000000E1
2.312953220E-1,3.149218750E1
2.491927210E-1,3.148437500E1
2.670870080E-1,3.150000000E1
2.849812950E-1,3.155468750E1
3.028755220E-1,3.155468750E1
3.207630340E-1,3.157031250E1
3.386614110E-1,3.156640625E1
3.565588100E-1,3.154687500E1
3.744529140E-1,3.152734375E1
3.923469570E-1,3.151171875E1
4.102453950E-1,3.155078125E1
4.281360810E-1,3.150000000E1
4.460184660E-1,3.152734375E1
4.639245940E-1,3.149218750E1
4.818072230E-1,3.154296875E1
4.997134120E-1,3.151953125E1
5.175960420E-1,3.157812500E1
5.355019860E-1,3.152343750E1
5.533962740E-1,3.151953125E1
5.712908660E-1,3.157031250E1
5.891822850E-1,3.155468750E1
6.070762050E-1,3.157031250E1
6.249736660E-1,3.157421875E1
6.428685020E-1,3.156640625E1
6.607570530E-1,3.153906250E1
6.786539040E-1,3.151953125E1
6.965524020E-1,3.149218750E1
7.144456510E-1,3.155468750E1
7.323396330E-1,3.158984375E1
7.502309910E-1,3.155859375E1
7.681282680E-1,3.155859375E1
7.860227990E-1,3.153906250E1
8.039170860E-1,3.158593750E1
8.218011200E-1,3.155859375E1
8.397059050E-1,3.155468750E1
8.576015960E-1,3.156250000E1
8.754944180E-1,3.154687500E1
8.933887050E-1,3.151953125E1
9.112832970E-1,3.151953125E1
9.291772790E-1,3.159375000E1
9.470721160E-1,3.157421875E1
9.649661590E-1,3.156640625E1
9.828606900E-1,3.156640625E1
1.000742770E0,3.154687500E1
1.018648898E0,3.158593750E1
1.036546481E0,3.159765625E1
1.054440829E0,3.154687500E1
1.072332309E0,3.154296875E1
1.090218600E0,3.155078125E1
1.108109103E0,3.151171875E1
1.126003756E0,3.156250000E1
1.143898166E0,3.155468750E1
1.161792147E0,3.151953125E1
1.179701572E0,3.155078125E1
1.197592624E0,3.152734375E1
1.215474826E0,3.152734375E1
1.233381381E0,3.151953125E1
1.251275668E0,3.154296875E1
1.269170016E0,3.151953125E1
1.287064547E0,3.155078125E1
1.304958835E0,3.155078125E1
1.322853366E0,3.154296875E1
1.340735202E0,3.157812500E1
1.358641940E0,3.155859375E1
1.376535983E0,3.158203125E1
1.394430575E0,3.158203125E1
1.412324740E0,3.152343750E1
1.430219394E0,3.152734375E1
1.448116306E0,3.155468750E1
1.466005161E0,3.155859375E1
1.483901889E0,3.158203125E1
1.501784823E0,3.156640625E1
1.519690158E0,3.151562500E1
1.537585299E0,3.150000000E1
1.555479586E0,3.155078125E1
1.573374057E0,3.156250000E1
1.591253818E0,3.154687500E1
1.609162692E0,3.156250000E1
1.627056918E0,3.159765625E1
1.644951449E0,3.157421875E1
1.662845797E0,3.158203125E1
1.680727877E0,3.155859375E1
1.698634372E0,3.159765625E1
1.716528659E0,3.158203125E1
1.734422946E0,3.157421875E1
1.752317477E0,3.156640625E1
1.770211703E0,3.155468750E1
1.788105990E0,3.156250000E1
1.806000399E0,3.155859375E1
1.823895114E0,3.156640625E1
1.841777438E0,3.158984375E1
1.859683627E0,3.158984375E1
1.877562961E0,3.154687500E1
1.895472201E0,3.157812500E1
1.913366732E0,3.156640625E1
1.931261142E0,3.155859375E1
1.949158054E0,3.155468750E1
1.967037631E0,3.158593750E1
1.984946872E0,3.159765625E1
2.002835422E0,3.155859375E1
2.020728854E0,3.156640625E1
2.038627170E0,3.157421875E1
2.056521335E0,3.155859375E1
2.074415561E0,3.158203125E1
2.092310153E0,3.158984375E1
2.110207553E0,3.157421875E1
2.128098727E0,3.157421875E1
2.145993197E0,3.153906250E1
2.163887362E0,3.157031250E1
2.181769870E0,3.160546875E1
2.199676486E0,3.155859375E1
2.217570651E0,3.156640625E1
2.235449985E0,3.160546875E1
2.253359408E0,3.165625000E1
2.271244846E0,3.156640625E1
2.289148043E0,3.159765625E1
2.307042331E0,3.158984375E1
2.324936618E0,3.155859375E1
2.342831149E0,3.158984375E1
2.360713229E0,3.158984375E1
2.378619540E0,3.160546875E1
2.396514254E0,3.158984375E1
2.414408542E0,3.157421875E1
2.432302951E0,3.155468750E1
2.450197055E0,3.163281250E1
2.468091647E0,3.158984375E1
2.485985690E0,3.155859375E1
2.503880465E0,3.162109375E1
2.521762606E0,3.157421875E1
2.539666050E0,3.161328125E1
2.557563266E0,3.161328125E1
2.575460788E0,3.157421875E1
2.593352084E0,3.160546875E1
2.611246982E0,3.159765625E1
2.629143710E0,3.157421875E1
2.647035251E0,3.157421875E1
2.664929538E0,3.158203125E1
2.682823886E0,3.158984375E1
2.700720554E0,3.157421875E1
2.718612643E0,3.164062500E1
2.736506686E0,3.164843750E1
2.754401156E0,3.159765625E1
2.772295749E0,3.162109375E1
2.790189975E0,3.160546875E1
2.808084323E0,3.159765625E1
2.825981845E0,3.155859375E1
2.843873080E0,3.160546875E1
2.861757968E0,3.158984375E1
2.879658664E0,3.158984375E1
2.897556308E0,3.158984375E1
2.915450473E0,3.160546875E1
2.933345065E0,3.164062500E1
2.951239352E0,3.162890625E1
2.969133883E0,3.158984375E1
2.987027926E0,3.158203125E1
3.004922702E0,3.167187500E1
3.022813694E0,3.158984375E1
3.040699618E0,3.162890625E1
3.058605502E0,3.158984375E1
3.076499789E0,3.161328125E1
3.094394076E0,3.161328125E1
3.112276400E0,3.155859375E1
3.130179966E0,3.162890625E1
3.148074374E0,3.161328125E1
3.165971774E0,3.158984375E1
3.183866061E0,3.162109375E1
3.201756259E0,3.158984375E1
3.219651889E0,3.156640625E1
3.237548861E0,3.156640625E1
3.255443454E0,3.159765625E1
3.273337924E0,3.162109375E1
3.291232333E0,3.159765625E1
3.309126559E0,3.165625000E1
3.327020968E0,3.162109375E1
3.344915377E0,3.166406250E1
3.362809604E0,3.158984375E1
3.380702304E0,3.161328125E1
3.398598422E0,3.166406250E1
3.416480136E0,3.160546875E1
3.434384128E0,3.161328125E1
3.452281955E0,3.158984375E1
3.470176059E0,3.158203125E1
3.488070102E0,3.158203125E1
3.505964694E0,3.158203125E1
3.523852329E0,3.164062500E1
3.541735202E0,3.164062500E1
3.559644565E0,3.165625000E1
3.577542331E0,3.162890625E1
3.595418124E0,3.161328125E1
3.613331149E0,3.162890625E1
3.631222141E0,3.162890625E1
3.649119723E0,3.158984375E1
3.667014010E0,3.159765625E1
3.684908481E0,3.164843750E1
3.702802829E0,3.167187500E1
3.720687900E0,3.158984375E1
3.738591342E0,3.164062500E1
3.756485995E0,3.162109375E1
3.774380221E0,3.164843750E1
3.792274691E0,3.164062500E1
3.810169040E0,3.155859375E1
3.828063571E0,3.161328125E1
3.845957614E0,3.164062500E1
3.863852145E0,3.162109375E1
3.881743502E0,3.157421875E1
3.899637912E0,3.159765625E1
3.917535251E0,3.161328125E1
3.935414890E0,3.159765625E1
3.953323825E0,3.162890625E1
3.971221286E0,3.165625000E1
3.989112643E0,3.162890625E1
4.007003329E0,3.165625000E1
4.024901400E0,3.165625000E1
4.042795810E0,3.164062500E1
4.060685336E0,3.160546875E1
4.078584750E0,3.158203125E1
4.096473972E0,3.166406250E1
4.114373385E0,3.164062500E1
4.132256137E0,3.159765625E1
4.150162204E0,3.162890625E1
4.168056430E0,3.165625000E1
4.185951022E0,3.164843750E1
