"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.059537400E-2,-1.276570916E0,3.212364435E0,7.956733704E0
1.283902600E-2,-1.205982566E0,3.248256683E0,8.181658745E0
1.507657500E-2,-1.073180914E0,3.293122053E0,8.411369324E0
1.730766900E-2,-9.499505758E-1,3.342773199E0,8.636893272E0
1.955072600E-2,-8.368897438E-1,3.349353552E0,8.890532494E0
2.178713500E-2,-7.130611539E-1,3.403790236E0,9.105886459E0
2.402457700E-2,-6.041877270E-1,3.424727440E0,9.335597992E0
2.626090500E-2,-5.240281820E-1,3.456432343E0,9.531808853E0
2.849644000E-2,-4.630111754E-1,3.468994617E0,9.737591743E0
3.073337800E-2,-3.978067636E-1,3.466601849E0,9.924231529E0
3.297172100E-2,-3.367897868E-1,3.464807272E0,1.010130119E1
3.521818100E-2,-2.662015259E-1,3.453441381E0,1.027836990E1
3.745792700E-2,-1.860419661E-1,3.432504177E0,1.039322472E1
3.969761200E-2,-1.250249892E-1,3.421736479E0,1.052782154E1
4.193149900E-2,-5.922235921E-2,3.396013498E0,1.062831974E1
4.416910800E-2,-1.196411345E-2,3.385245800E0,1.070489025E1
4.640305500E-2,4.007977992E-2,3.375076294E0,1.073420238E1
4.863981100E-2,5.503492057E-2,3.384049416E0,1.073898792E1
5.087516300E-2,9.750752151E-2,3.369094372E0,1.074915791E1
5.311216200E-2,1.591227055E-1,3.287140131E0,1.068754196E1
5.534855200E-2,1.974078715E-1,3.224926710E0,1.057388306E1
5.758585600E-2,2.129612118E-1,3.206382275E0,1.039741230E1
5.982267300E-2,2.285145670E-1,3.206980467E0,1.028794098E1
6.206028300E-2,2.578266263E-1,3.202194929E0,1.018325520E1
6.429630500E-2,2.691925466E-1,3.255435228E0,1.007378292E1
6.653379300E-2,2.225325108E-1,3.308675528E0,9.987641335E0
6.876890100E-2,1.417747438E-1,3.329612732E0,9.905687332E0
7.100596100E-2,4.187439755E-2,3.331407309E0,9.828518867E0
7.324253400E-2,-6.281159073E-2,3.314657450E0,9.698708534E0
7.547965500E-2,-1.531406492E-1,3.287738323E0,9.568898201E0
7.771653200E-2,-2.087737769E-1,3.327818155E0,9.444471359E0
7.995426500E-2,-2.464607358E-1,3.305086374E0,9.287142754E0
8.219016500E-2,-2.985046208E-1,3.282354355E0,9.153144836E0
8.442789700E-2,-3.403790295E-1,3.269792080E0,9.014361382E0
8.666300500E-2,-4.163511395E-1,3.228515863E0,8.870791435E0
8.890030900E-2,-5.120640397E-1,3.182454109E0,8.721838951E0
9.113657700E-2,-6.215356588E-1,3.165704250E0,8.601598740E0
9.337375900E-2,-7.130611539E-1,3.100499868E0,8.525029182E0
9.561075900E-2,-8.087740541E-1,3.064009428E0,8.471788406E0
9.784604900E-2,-8.703892231E-1,3.060420275E0,8.385048866E0
1.000751140E-1,-8.955138922E-1,3.003590584E0,8.394619942E0
1.023216350E-1,-8.925228715E-1,2.897708178E0,8.490332603E0
1.045570480E-1,-9.589236975E-1,2.933002472E0,8.408378601E0
1.067939860E-1,-1.015753269E0,2.962314367E0,8.402995110E0
1.090171310E-1,-1.049252748E0,2.958127022E0,8.379066467E0
1.112526040E-1,-1.087537885E0,2.939582586E0,8.392825127E0
1.134898490E-1,-1.131206870E0,2.935395241E0,8.430512428E0
1.157330730E-1,-1.150349498E0,2.935395241E0,8.435297966E0
1.179784950E-1,-1.150947690E0,2.916252613E0,8.468797684E0
1.202067060E-1,-1.127019525E0,2.925225735E0,8.449654579E0
1.224540810E-1,-1.122233868E0,2.910868645E0,8.454441071E0
1.246882730E-1,-1.064806104E0,2.905484915E0,8.455039024E0
1.269274700E-1,-9.930213690E-1,2.913859844E0,8.474779129E0
1.291617230E-1,-9.308080077E-1,2.893520832E0,8.484949112E0
1.313982950E-1,-8.781659007E-1,2.921636343E0,8.519046783E0
1.336362100E-1,-7.728816867E-1,2.910270452E0,8.524430275E0
1.358722940E-1,-7.495517135E-1,2.880958557E0,8.562715530E0
1.381100870E-1,-7.172485590E-1,2.870789051E0,8.634500504E0
