"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.507657500E-2,-4.683809280E-1,-1.754710376E-1,1.487456858E-1
1.730766900E-2,-5.025894046E-1,-1.516472995E-1,1.766927689E-1
1.955072600E-2,-5.256495476E-1,-1.293507218E-1,2.035708427E-1
2.178713500E-2,-5.424483418E-1,-1.023199260E-1,2.255619913E-1
2.402457700E-2,-5.543602109E-1,-7.177666575E-2,2.451096773E-1
2.626090500E-2,-5.612324476E-1,-4.505131021E-2,2.599231601E-1
2.849644000E-2,-5.571091175E-1,-2.076941915E-2,2.698497176E-1
3.073337800E-2,-5.493205786E-1,3.359758761E-3,2.748893499E-1
3.297172100E-2,-5.317581892E-1,2.367102914E-2,2.787072659E-1
3.521818100E-2,-5.138903856E-1,4.871650413E-2,2.765692472E-1
3.745792700E-2,-4.864014387E-1,6.765332818E-2,2.683225572E-1
3.969761200E-2,-4.563163519E-1,8.643743396E-2,2.564106882E-1
4.193149900E-2,-4.214970171E-1,1.015563458E-1,2.420553565E-1
4.416910800E-2,-3.817907870E-1,1.140790880E-1,2.254092693E-1
4.640305500E-2,-3.394883573E-1,1.290452778E-1,2.049452960E-1
4.863981100E-2,-2.984076738E-1,1.392772794E-1,1.771509200E-1
5.087516300E-2,-2.536617815E-1,1.492038369E-1,1.507309973E-1
5.311216200E-2,-2.102903575E-1,1.568396538E-1,1.217148975E-1
5.534855200E-2,-1.716531366E-1,1.682933718E-1,8.659014851E-2
5.758585600E-2,-1.342376322E-1,1.760819107E-1,5.513058975E-2
5.982267300E-2,-1.006400511E-1,1.826487035E-1,1.878410578E-2
6.206028300E-2,-7.559457421E-2,1.907426715E-1,-2.015855350E-2
6.429630500E-2,-5.207626149E-2,1.902845204E-1,-5.543602258E-2
6.653379300E-2,-3.084869497E-2,1.861611903E-1,-9.315694869E-2
6.876890100E-2,-1.343903504E-2,1.882992089E-1,-1.272126883E-1
7.100596100E-2,4.581489484E-4,1.904372424E-1,-1.589776874E-1
7.324253400E-2,1.298088674E-2,1.950187236E-1,-1.844813079E-1
7.547965500E-2,2.183843218E-2,1.973094791E-1,-2.089159191E-1
7.771653200E-2,2.580905706E-2,2.032654136E-1,-2.272418737E-1
7.995426500E-2,2.718350291E-2,2.044871449E-1,-2.406809032E-1
8.219016500E-2,2.122756653E-2,2.095267773E-1,-2.553416789E-1
8.442789700E-2,7.635815535E-3,2.073887438E-1,-2.616030276E-1
8.666300500E-2,-5.955935922E-3,2.063197345E-1,-2.666426897E-1
8.890030900E-2,-2.565634064E-2,2.018909603E-1,-2.692388594E-1
9.113657700E-2,-4.688390717E-2,1.913535446E-1,-2.658790946E-1
9.337375900E-2,-7.162395120E-2,1.846340150E-1,-2.635883391E-1
9.561075900E-2,-1.001819000E-1,1.730275750E-1,-2.602286041E-1
9.784604900E-2,-1.266018152E-1,1.492038369E-1,-2.495384514E-1
1.000751140E-1,-1.579086632E-1,1.267545372E-1,-2.388483137E-1
1.023216350E-1,-1.815796942E-1,1.139263660E-1,-2.330450863E-1
1.045570480E-1,-1.992947906E-1,9.605856240E-2,-2.222022265E-1
1.067939860E-1,-2.244929820E-1,6.872233748E-2,-2.115120888E-1
1.090171310E-1,-2.449569702E-1,3.390302137E-2,-2.020436823E-1
1.112526040E-1,-2.654209435E-1,3.054326226E-4,-1.925752759E-1
1.134898490E-1,-2.874121070E-1,-4.306599870E-2,-1.794416606E-1
1.157330730E-1,-3.031418920E-1,-8.765916526E-2,-1.650863290E-1
1.179784950E-1,-3.178026378E-1,-1.394299865E-1,-1.507309973E-1
1.202067060E-1,-3.298672438E-1,-1.841758788E-1,-1.351539344E-1
1.224540810E-1,-3.382666409E-1,-2.313652188E-1,-1.232420653E-1
1.246882730E-1,-3.504839242E-1,-2.796235681E-1,-1.113301888E-1
1.269274700E-1,-3.637702465E-1,-3.242167234E-1,-1.029307917E-1
1.291617230E-1,-3.793473244E-1,-3.640756905E-1,-9.101892263E-2
1.313982950E-1,-3.924809098E-1,-3.988949955E-1,-8.277224004E-2
1.336362100E-1,-4.054618180E-1,-4.277583957E-1,-7.437284291E-2
1.358722940E-1,-4.185954034E-1,-4.639521539E-1,-5.879577994E-2
1.381100870E-1,-4.366159439E-1,-4.951062799E-1,-4.795292020E-2
1.403451340E-1,-4.482223690E-1,-5.192354321E-1,-4.092797264E-2
1.425821940E-1,-4.584543705E-1,-5.384777188E-1,-3.497203439E-2
1.448187060E-1,-4.688390791E-1,-5.612324476E-1,-2.779436857E-2
1.470528360E-1,-4.790710807E-1,-5.841398835E-1,-2.916881628E-2
1.492806190E-1,-4.918992519E-1,-6.081163287E-1,-3.298672289E-2
1.515298870E-1,-5.045747161E-1,-6.310238242E-1,-4.306599870E-2
1.537660320E-1,-5.149593949E-1,-6.574437022E-1,-4.932736978E-2
1.560067550E-1,-5.247332454E-1,-7.107416987E-1,-3.741549700E-2
1.582389330E-1,-5.409211516E-1,-7.771732807E-1,-2.061670274E-2
1.604759930E-1,-5.606215596E-1,-8.350527883E-1,-5.192354787E-3
1.627125650E-1,-5.739079118E-1,-8.784242272E-1,5.497787148E-3
1.649498700E-1,-5.893322229E-1,-9.036223888E-1,1.267545391E-2
1.671865640E-1,-6.006332636E-1,-9.143125415E-1,1.496619824E-2
1.694245400E-1,-6.126978397E-1,-9.068294764E-1,1.252273750E-2
1.716603190E-1,-6.258314252E-1,-8.834638596E-1,3.817907767E-3
1.738978680E-1,-6.284276247E-1,-8.373435140E-1,-4.581489135E-3
1.761329150E-1,-6.285803318E-1,-7.875580192E-1,-1.649336144E-2
1.783702190E-1,-6.235406995E-1,-7.257078886E-1,-2.611448988E-2
1.806065470E-1,-6.146831512E-1,-6.531676650E-1,-3.787364438E-2
