"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.492806190E-1,-3.608936071E-2,-2.804601192E-1,-5.610170364E-1
1.671865640E-1,2.885507345E-1,-2.821972370E-1,-1.368274689E-1
1.850805460E-1,4.927285612E-1,-7.770681381E-2,7.263555527E-1
2.029598790E-1,3.959496617E-1,-5.340886116E-2,1.117341995E0
2.208568520E-1,-1.408541948E-1,-1.282737255E-1,5.678682327E-1
2.387448530E-1,-6.060786843E-1,-3.488011360E-1,-1.042175293E-2
2.566537270E-1,-7.239022255E-1,-3.531441689E-1,-1.214551926E-1
2.745507000E-1,-3.240189552E-1,-7.193398476E-2,1.804513931E-1
2.924448040E-1,2.778254151E-1,-1.616876125E-1,8.986110687E-1
3.103384810E-1,7.007222176E-1,-5.976448059E-1,1.128196716E0
3.282325240E-1,4.549593925E-1,-5.440621376E-1,1.150603294E0
3.461266890E-1,-1.868015528E-2,-1.921172142E-1,2.406854630E-1
3.640206710E-1,-2.811223567E-1,2.148211002E-1,-3.466653824E-1
3.819147140E-1,-1.907767951E-1,6.197497845E-1,4.825592041E-4
3.998087570E-1,6.517104506E-1,7.419362068E-1,1.245628357E0
4.177025550E-1,1.729571819E0,3.951780796E-1,1.774526596E0
4.355966590E-1,1.506449461E0,2.039561272E-1,9.878263474E-1
4.534907020E-1,1.945336819E0,-6.252732277E-1,-2.917642593E-1
4.713844400E-1,2.222181082E0,-7.970399857E-1,-1.582033157E0
4.892778120E-1,1.695513129E0,-8.993555307E-1,-1.659866333E0
5.071699020E-1,1.070177197E0,-4.221460819E-1,-1.029722214E0
5.250546060E-1,1.172212958E0,3.407847881E-1,-2.198476791E-1
5.429606730E-1,-5.045301914E-1,4.877963066E-1,-8.645868301E-1
5.608577070E-1,-2.635027885E0,6.161806583E-1,-1.878269672E0
5.787501630E-1,-1.011570454E0,-3.801643848E-1,-2.385402679E0
5.966396280E-1,-5.707740784E-2,4.891099930E-1,-1.654691696E-1
6.145248820E-1,1.196118742E-1,7.387861013E-1,1.536478043E0
6.324186810E-1,3.925828338E-1,-3.726348877E-1,7.981147766E-1
6.503246260E-1,-4.093972445E-1,-1.901433229E0,-1.947124481E0
6.682186080E-1,-2.961629629E-2,-6.703325510E-1,-2.504426003E0
6.861129560E-1,1.034119278E-1,2.888106108E-1,-2.329324722E0
7.040068160E-1,-1.341044903E-3,2.659164667E-1,-8.600997925E-1
