"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.004476605E0,3.567997241E1,1.397679311E2,2.174901222E1,0.000000000E0,NaN,8.433775902E0,1.311409454E2
4.999742516E0,3.567996199E1,1.397679114E2,2.399819798E1,0.000000000E0,NaN,2.567063713E1,6.797064972E1
6.061058922E0,3.567995698E1,1.397678939E2,2.583044045E1,0.000000000E0,NaN,3.137984657E1,8.966088104E1
7.010442712E0,3.567986261E1,1.397679484E2,3.145908445E1,0.000000000E0,NaN,3.191228485E1,2.615857887E1
8.047338098E0,3.567990183E1,1.397679084E2,2.972772589E1,0.000000000E0,NaN,1.787371063E1,1.868522644E1
9.381664759E0,3.567995054E1,1.397678940E2,2.538565308E1,8.987369537E-1,1.600143585E2,1.106289768E1,1.330586720E1
1.040589954E1,3.567994764E1,1.397679457E2,2.281182035E1,5.496244431E-1,1.458894958E2,8.221672058E0,1.148119164E1
1.135618443E1,3.567995457E1,1.397679427E2,2.184634667E1,6.886626482E-1,1.993622131E2,7.000355244E0,1.039050961E1
1.235614343E1,3.567995702E1,1.397679408E2,2.179680933E1,5.267826915E-1,1.976689911E2,6.252262115E0,9.639986992E0
1.335620443E1,3.567994902E1,1.397679394E2,2.231540139E1,0.000000000E0,1.976689911E2,6.111732483E0,9.055214882E0
1.435615743E1,3.567994428E1,1.397679430E2,2.321430698E1,0.000000000E0,1.976689911E2,5.981567860E0,8.586306572E0
1.535616243E1,3.567994283E1,1.397679421E2,2.368829684E1,0.000000000E0,1.976689911E2,5.709429741E0,8.144607544E0
1.635617943E1,3.567995290E1,1.397679470E2,2.196698836E1,5.269821286E-1,2.824068909E2,5.630928993E0,7.699196815E0
1.735620243E1,3.567995607E1,1.397679510E2,2.171337443E1,4.030429125E-1,3.035725098E2,6.671574116E0,7.374375820E0
1.835621443E1,3.567995673E1,1.397679578E2,2.191034541E1,6.114919186E-1,2.947468872E2,5.909039497E0,7.045279026E0
1.935622443E1,3.567996007E1,1.397679574E2,2.161073019E1,5.244109631E-1,2.921324158E2,6.111383915E0,6.809446335E0
2.035624843E1,3.567996454E1,1.397679555E2,2.134882569E1,0.000000000E0,2.921324158E2,5.532259464E0,6.632430077E0
2.135627743E1,3.567997909E1,1.397679538E2,2.106821059E1,0.000000000E0,2.921324158E2,5.250936508E0,6.292562962E0
2.235627743E1,3.567999238E1,1.397679590E2,2.027007690E1,0.000000000E0,2.921324158E2,4.995238781E0,6.093950272E0
2.335627943E1,3.567999792E1,1.397679615E2,2.050838274E1,0.000000000E0,2.921324158E2,5.889150620E0,5.907558441E0
2.435634943E1,3.568000597E1,1.397679646E2,2.034816365E1,0.000000000E0,2.921324158E2,5.889830589E0,5.739807129E0
2.535635743E1,3.568001509E1,1.397679722E2,2.030477138E1,8.701950312E-1,2.864232826E1,9.158554077E0,5.582722187E0
2.635633443E1,3.568002815E1,1.397679788E2,1.980166071E1,9.061041474E-1,1.253025246E1,6.095504284E0,5.418334484E0
2.735635343E1,3.568004226E1,1.397679836E2,1.948290870E1,7.139186859E-1,3.564592896E2,5.453652382E0,5.282726288E0
2.835643443E1,3.568005494E1,1.397679881E2,1.918614669E1,8.727762699E-1,2.461810684E1,5.891123295E0,5.164585114E0
2.935638443E1,3.568006604E1,1.397679983E2,1.909355424E1,1.114681721E0,1.111201096E1,7.303869724E0,5.056299210E0
3.035640543E1,3.568008089E1,1.397680057E2,1.906278100E1,1.021743774E0,6.515383244E0,6.098223209E0,4.964654446E0
3.135642443E1,3.568009157E1,1.397680115E2,1.901828181E1,0.000000000E0,6.515383244E0,7.406525612E0,4.916892052E0
3.235645043E1,3.568008384E1,1.397680186E2,1.935747303E1,0.000000000E0,6.515383244E0,5.420644283E0,4.702383995E0
3.335645243E1,3.568008102E1,1.397680234E2,1.986453481E1,0.000000000E0,6.515383244E0,5.243092060E0,4.559412479E0
3.435645243E1,3.568007924E1,1.397680267E2,1.976417973E1,0.000000000E0,6.515383244E0,1.044377804E1,4.447263718E0
3.535647043E1,3.568007000E1,1.397680524E2,2.132225992E1,0.000000000E0,6.515383244E0,5.243876457E0,4.239140034E0
3.635649543E1,3.568006478E1,1.397680640E2,2.191410898E1,0.000000000E0,6.515383244E0,5.377923965E0,4.083581448E0
3.735652743E1,3.568006256E1,1.397680694E2,2.195692653E1,0.000000000E0,6.515383244E0,5.378213406E0,3.962126255E0
3.835651743E1,3.568006594E1,1.397680706E2,2.176551377E1,0.000000000E0,6.515383244E0,5.718013763E0,3.864089727E0
3.935653843E1,3.568006696E1,1.397680705E2,2.168932159E1,0.000000000E0,6.515383244E0,5.729135513E0,3.862521410E0
4.035654843E1,3.568006950E1,1.397680704E2,2.148548333E1,0.000000000E0,6.515383244E0,6.552490234E0,3.890029430E0
