"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.776218700E-2,7.496289673E2,1.068719959E1,-8.189981689E2
4.777390600E-2,7.493728027E2,1.027239990E1,-8.203035889E2
5.776365200E-2,7.489580078E2,1.104099941E1,-8.195349731E2
6.777439400E-2,7.495313721E2,1.029679966E1,-8.192909546E2
7.776243100E-2,7.497265625E2,1.040660000E1,-8.189859619E2
8.777415000E-2,7.501292114E2,1.011380005E1,-8.196569824E2
9.777439400E-2,7.503244019E2,9.833199501E0,-8.195471802E2
1.077621870E-1,7.501292114E2,1.049199963E1,-8.194739990E2
1.177741500E-1,7.506293945E2,1.134599972E1,-8.195715942E2
1.277739060E-1,7.508367920E2,1.087020016E1,-8.199497681E2
1.377743940E-1,7.503366089E2,1.105319977E1,-8.199741821E2
1.477629200E-1,7.506538086E2,1.085799980E1,-8.203645630E2
1.577743940E-1,7.505683594E2,1.169979954E1,-8.207915649E2
1.677624310E-1,7.500803833E2,1.226099968E1,-8.209257812E2
1.777743940E-1,7.503121948E2,1.128499985E1,-8.220969849E2
1.877624310E-1,7.496289673E2,1.184619999E1,-8.222434082E2
1.977626760E-1,7.495435791E2,1.165100002E1,-8.225361938E2
2.077717090E-1,7.492385864E2,1.230980015E1,-8.221701660E2
2.177621870E-1,7.502268066E2,1.213899994E1,-8.222189941E2
2.277568160E-1,7.494459839E2,1.212679958E1,-8.222555542E2
2.377636520E-1,7.498363647E2,1.212679958E1,-8.225361938E2
2.477587690E-1,7.495557861E2,1.183399963E1,-8.228533936E2
2.577621870E-1,7.489823608E2,1.248059940E1,-8.231950073E2
2.677741500E-1,7.492874146E2,1.294419956E1,-8.233901978E2
2.777743940E-1,7.491287842E2,1.291979980E1,-8.247077637E2
2.877743940E-1,7.485432129E2,1.234639931E1,-8.248175659E2
2.977624310E-1,7.477745972E2,1.299300003E1,-8.251713867E2
3.077741500E-1,7.479453735E2,1.244399929E1,-8.245491943E2
3.177648730E-1,7.480429688E2,1.196819973E1,-8.245247803E2
3.277741500E-1,7.473475952E2,1.224879932E1,-8.241709595E2
3.377631640E-1,7.476647949E2,1.148019981E1,-8.249395752E2
3.477741500E-1,7.476403809E2,1.178520012E1,-8.242442017E2
3.577641400E-1,7.474451904E2,1.149240017E1,-8.242442017E2
3.677743940E-1,7.480186157E2,1.169979954E1,-8.237196045E2
3.777739060E-1,7.472377930E2,1.160219955E1,-8.237561646E2
3.877741500E-1,7.481405640E2,1.140699959E1,-8.243051758E2
3.977668260E-1,7.483479614E2,1.187059975E1,-8.247077637E2
4.077743940E-1,7.482503662E2,1.196819973E1,-8.247199707E2
4.177692670E-1,7.487384033E2,1.216339970E1,-8.245979614E2
4.277741500E-1,7.492385864E2,1.263920021E1,-8.248908081E2
4.377743940E-1,7.497143555E2,1.245619965E1,-8.247687988E2
4.477743940E-1,7.502145996E2,1.255379963E1,-8.248419800E2
4.577743940E-1,7.503853760E2,1.322480011E1,-8.240490112E2
4.677741500E-1,7.510075684E2,1.339559937E1,-8.252323608E2
4.777743940E-1,7.503121948E2,1.387139988E1,-8.248786011E2
4.877702440E-1,7.509099731E2,1.396899986E1,-8.250493774E2
4.977741500E-1,7.506416016E2,1.470099926E1,-8.259887695E2
5.077624310E-1,7.503609619E2,1.460339928E1,-8.260985718E2
5.177743940E-1,7.496046143E2,1.495720005E1,-8.269525757E2
5.277624310E-1,7.489335938E2,1.484739971E1,-8.274771729E2
5.377743940E-1,7.494093628E2,1.522559929E1,-8.272697754E2
5.477692670E-1,7.489335938E2,1.503039932E1,-8.273795776E2
5.577743940E-1,7.493361816E2,1.483519936E1,-8.277578125E2
5.677595020E-1,7.478355713E2,1.512799931E1,-8.268305664E2
5.777621870E-1,7.480429688E2,1.483519936E1,-8.272210083E2
5.877614550E-1,7.488115845E2,1.504259968E1,-8.268793945E2
5.977626760E-1,7.489213867E2,1.579899979E1,-8.270014038E2
6.077739060E-1,7.488359985E2,1.606739998E1,-8.273186035E2
6.177743940E-1,7.493117676E2,1.551839924E1,-8.269769897E2
6.277743940E-1,7.490067749E2,1.570139980E1,-8.268916016E2
6.377631640E-1,7.491897583E2,1.600639915E1,-8.261839600E2
6.477739060E-1,7.501779785E2,1.610400009E1,-8.266475830E2
6.577621870E-1,7.499827881E2,1.600639915E1,-8.267573853E2
6.677741500E-1,7.495191650E2,1.626259995E1,-8.273917847E2
6.777624310E-1,7.487749634E2,1.651879883E1,-8.287337646E2
6.877743940E-1,7.474207764E2,1.677499962E1,-8.290997925E2
6.977624310E-1,7.461763916E2,1.721419907E1,-8.298805542E2
7.077743940E-1,7.449442139E2,1.679940033E1,-8.310274048E2
7.177621870E-1,7.435777588E2,1.725079918E1,-8.312957764E2
7.277741500E-1,7.428092041E2,1.695800018E1,-8.318325806E2
7.377739060E-1,7.426140137E2,1.723859978E1,-8.317471924E2
7.477743940E-1,7.420405884E2,1.712879944E1,-8.323693848E2
7.577763470E-1,7.415526123E2,1.721419907E1,-8.321010132E2
7.677739060E-1,7.411621704E2,1.749480057E1,-8.323205566E2
7.777743940E-1,7.403814087E2,1.690919876E1,-8.325401611E2
7.877743940E-1,7.397957764E2,1.672620010E1,-8.323693848E2
7.977768360E-1,7.407229614E2,1.590880013E1,-8.309907837E2
8.077743940E-1,7.405399780E2,1.571360016E1,-8.311981812E2
8.177743940E-1,7.404179688E2,1.506699944E1,-8.307833862E2
8.277599900E-1,7.403936157E2,1.451799965E1,-8.299660034E2
8.377739060E-1,7.401983643E2,1.422519970E1,-8.298684082E2
8.477624310E-1,7.396981812E2,1.432279968E1,-8.294901733E2
8.577743940E-1,7.395029907E2,1.384700012E1,-8.294901733E2
8.677624310E-1,7.391857910E2,1.367619991E1,-8.288923950E2
8.777741500E-1,7.388930054E2,1.366399956E1,-8.291119995E2
8.877621870E-1,7.380145874E2,1.309060001E1,-8.292340088E2
8.977741500E-1,7.379047852E2,1.252939987E1,-8.288192139E2
9.077660930E-1,7.371117554E2,1.271239948E1,-8.285629883E2
9.177621870E-1,7.366115723E2,1.223659992E1,-8.283677979E2
9.277682910E-1,7.375144043E2,1.309060001E1,-8.286605835E2
9.377624310E-1,7.373313599E2,1.261479950E1,-8.290509644E2
9.477739060E-1,7.360015869E2,1.189499950E1,-8.306979980E2
9.577743940E-1,7.365750122E2,1.201700020E1,-8.299782104E2
9.677743940E-1,7.366969604E2,1.199259949E1,-8.309785767E2
9.777629200E-1,7.363919678E2,1.313939953E1,-8.305149536E2
9.877743940E-1,7.362699585E2,1.239519978E1,-8.295999756E2
9.977568160E-1,7.365993652E2,1.228539944E1,-8.306857910E2
1.007762431E0,7.369898071E2,1.276119995E1,-8.307833862E2
1.017762431E0,7.374533691E2,1.288319969E1,-8.298562012E2
1.027774394E0,7.380390015E2,1.260260010E1,-8.299293823E2
1.037762431E0,7.378438110E2,1.250500011E1,-8.298317871E2
1.047774150E0,7.383806152E2,1.244399929E1,-8.285020142E2
1.057762431E0,7.386123657E2,1.223659992E1,-8.293925781E2
1.067762431E0,7.387832031E2,1.226099968E1,-8.286727905E2
1.077762187E0,7.388441772E2,1.237080002E1,-8.277699585E2
1.087774150E0,7.384782104E2,1.188280010E1,-8.282824097E2
1.097762431E0,7.384293823E2,1.176079941E1,-8.297829590E2
1.107762431E0,7.386734009E2,1.226099968E1,-8.283800049E2
1.117774150E0,7.383195801E2,1.194379997E1,-8.296975708E2
1.127759258E0,7.382951660E2,1.187059975E1,-8.288923950E2
1.137774150E0,7.381731567E2,1.206579971E1,-8.281969604E2
1.147762431E0,7.378925781E2,1.196819973E1,-8.286117554E2
1.157762431E0,7.375144043E2,1.195599937E1,-8.287215576E2
1.167762431E0,7.378925781E2,1.139480019E1,-8.285874023E2
1.177774394E0,7.377095947E2,1.223659992E1,-8.288192139E2
1.187762431E0,7.373192139E2,1.233419991E1,-8.287459717E2
1.197773906E0,7.376973877E2,1.224879932E1,-8.286239624E2
1.207762676E0,7.375144043E2,1.299300003E1,-8.289533691E2
1.217774394E0,7.380145874E2,1.271239948E1,-8.290266113E2
1.227771709E0,7.386856079E2,1.282219982E1,-8.286972046E2
1.237763652E0,7.391735840E2,1.301739979E1,-8.286727905E2
1.247761943E0,7.392224121E2,1.343219948E1,-8.269769897E2
1.257762187E0,7.388685913E2,1.415199947E1,-8.282213745E2
1.267762187E0,7.391613770E2,1.339559937E1,-8.282824097E2
1.277762187E0,7.388807983E2,1.349319935E1,-8.285020142E2
1.287773906E0,7.392467651E2,1.340779972E1,-8.279773560E2
1.297762431E0,7.389661865E2,1.331019974E1,-8.280871582E2
1.307774394E0,7.387709961E2,1.321259975E1,-8.281969604E2
1.317762187E0,7.388685913E2,1.321259975E1,-8.282945557E2
1.327773906E0,7.373070068E2,1.338339996E1,-8.283677979E2
1.337762187E0,7.363309937E2,1.327359962E1,-8.285141602E2
1.347766338E0,7.362578125E2,1.296859932E1,-8.293071899E2
1.357762431E0,7.346961670E2,1.267579937E1,-8.293803711E2
1.367771220E0,7.333419800E2,1.302960014E1,-8.298439941E2
1.377762920E0,7.309873657E2,1.299300003E1,-8.299537964E2
1.387774150E0,7.280715942E2,1.313939953E1,-8.306004028E2
1.397762187E0,7.251557617E2,1.290759945E1,-8.313201904E2
1.407774150E0,7.223864136E2,1.337119961E1,-8.302587891E2
1.417762187E0,7.190802002E2,1.389579964E1,-8.309298096E2
1.427763164E0,7.162619629E2,1.384700012E1,-8.315520020E2
1.437764629E0,7.121505737E2,1.446920013E1,-8.316618042E2
1.447774150E0,7.084906006E2,1.531099987E1,-8.304417725E2
1.457774394E0,7.046353760E2,1.661639977E1,-8.294414062E2
1.467762431E0,7.005484009E2,1.721419907E1,-8.300513916E2
1.477774394E0,6.935089722E2,2.070339966E1,-8.272453613E2
1.487762676E0,6.903004150E2,2.204539871E1,-8.249151611E2
1.497774394E0,6.868843994E2,2.360700035E1,-8.252080078E2
1.507762431E0,6.833829956E2,2.493680000E1,-8.228899536E2
1.517764629E0,6.813822021E2,2.693759918E1,-8.213283691E2
1.527762676E0,6.796375732E2,2.952400017E1,-8.188640137E2
1.537774394E0,6.778319702E2,3.132959938E1,-8.173877563E2
1.547762676E0,6.755750122E2,3.414780045E1,-8.170584106E2
1.557774394E0,6.738670044E2,3.624620056E1,-8.155822144E2
1.567768535E0,6.724273682E2,3.797859955E1,-8.132885742E2
1.577772441E0,6.718295898E2,3.921080017E1,-8.130445557E2
1.587756816E0,6.714879761E2,4.046739960E1,-8.113853760E2
1.597762431E0,6.702435913E2,4.166299820E1,-8.122760010E2
1.607762431E0,6.698775635E2,4.322459793E1,-8.098237915E2
1.617762431E0,6.694140015E2,4.401760101E1,-8.076521606E2
1.627781963E0,6.690723877E2,4.507899857E1,-8.063955688E2
1.637762676E0,6.686697998E2,4.584759903E1,-8.057246094E2
1.647774394E0,6.679621582E2,4.679919815E1,-8.051755981E2
1.657769511E0,6.677182007E2,4.806800079E1,-8.034187622E2
1.667774150E0,6.676815796E2,4.950759888E1,-8.022475586E2
1.677756816E0,6.666812134E2,5.064220047E1,-8.016253662E2
1.687774394E0,6.665592041E2,5.131319809E1,-8.009421997E2
1.697762187E0,6.666933594E2,5.382640076E1,-7.987949829E2
1.707774394E0,6.663883667E2,5.505859756E1,-7.983313599E2
1.717762187E0,6.666323853E2,5.546120071E1,-7.969284058E2
1.727774394E0,6.662542114E2,5.611999893E1,-7.972578125E2
1.737762431E0,6.669129639E2,5.690079880E1,-7.963549805E2
1.747774150E0,6.667055664E2,5.690079880E1,-7.960621948E2
1.757761943E0,6.668397827E2,5.744979858E1,-7.971723633E2
1.767774150E0,6.667421875E2,5.753519821E1,-7.972821655E2
1.777771953E0,6.668641968E2,5.799879837E1,-7.976848145E2
1.787774150E0,6.664859619E2,5.874300003E1,-7.982215576E2
1.797782207E0,6.670960083E2,5.864539719E1,-7.986973877E2
1.807774150E0,6.670471802E2,5.890159988E1,-8.002102051E2
1.817774394E0,6.673521729E2,5.841359711E1,-8.007957764E2
1.827759746E0,6.672911987E2,5.829159927E1,-8.019913940E2
1.837774394E0,6.672911987E2,5.801099777E1,-8.019913940E2
1.847762676E0,6.680476074E2,5.731559753E1,-8.039433594E2
1.857774394E0,6.678767700E2,5.633959961E1,-8.050291748E2
1.867762676E0,6.677059937E2,5.538800049E1,-8.057246094E2
1.877774150E0,6.677059937E2,5.481459808E1,-8.058099976E2
1.887762431E0,6.676449585E2,5.385079956E1,-8.068836060E2
1.897774394E0,6.680476074E2,5.317979813E1,-8.072495728E2
1.907767802E0,6.681329956E2,5.177679825E1,-8.069079590E2
1.917774394E0,6.681329956E2,5.177679825E1,-8.069079590E2
1.927760234E0,6.684135742E2,5.139859772E1,-8.065907593E2
1.937762187E0,6.682427979E2,5.053239822E1,-8.072739868E2
1.947764385E0,6.685233765E2,5.025180054E1,-8.072495728E2
1.957762920E0,6.684379883E2,5.015419769E1,-8.073593750E2
1.967778789E0,6.688040161E2,5.017860031E1,-8.068347778E2
1.977762187E0,6.681696167E2,4.966619873E1,-8.081646118E2
1.987774150E0,6.680476074E2,4.958079910E1,-8.074569702E2
1.997758769E0,6.682915649E2,4.933679962E1,-8.061394043E2
2.007774150E0,6.682061768E2,4.914159775E1,-8.064321899E2
2.017767802E0,6.682550049E2,4.982479858E1,-8.050413818E2
2.027774394E0,6.675473633E2,4.945879745E1,-8.042605591E2
2.037762431E0,6.680354004E2,4.899519730E1,-8.042362061E2
2.047774394E0,6.685477905E2,4.860479736E1,-8.048949585E2
2.057762187E0,6.679500122E2,4.775079727E1,-8.046997681E2
2.067774394E0,6.681574097E2,4.727499771E1,-8.050780029E2
2.077762676E0,6.684257812E2,4.690900040E1,-8.044558105E2
2.087774394E0,6.678157959E2,4.598180008E1,-8.038579712E2
2.097774883E0,6.688283691E2,4.537179947E1,-8.018937988E2
2.107762431E0,6.681329956E2,4.517659760E1,-8.016131592E2
2.117762187E0,6.684989624E2,4.387120056E1,-8.007591553E2
2.127773906E0,6.680598145E2,4.305379868E1,-7.992463989E2
2.137761211E0,6.680231934E2,4.250479889E1,-7.982337646E2
2.147774150E0,6.679011841E2,4.233399963E1,-7.974285889E2
2.157774394E0,6.676206055E2,4.333440018E1,-7.949519653E2
2.167774394E0,6.678524170E2,4.261459732E1,-7.932196045E2
2.177774150E0,6.675352173E2,4.262680054E1,-7.922313843E2
2.187762431E0,6.675352173E2,4.221199799E1,-7.896083984E2
2.197762431E0,6.674254150E2,4.166299820E1,-7.889984131E2
2.207762676E0,6.683526001E2,4.113840103E1,-7.876319580E2
2.217774150E0,6.682427979E2,4.152880096E1,-7.870463867E2
2.227762431E0,6.684257812E2,4.143119812E1,-7.869365845E2
2.237762431E0,6.681452026E2,4.143119812E1,-7.871439819E2
2.247762187E0,6.684379883E2,4.209000015E1,-7.870463867E2
2.257780010E0,6.676815796E2,4.224860001E1,-7.879979858E2
2.267757549E0,6.677059937E2,4.328559875E1,-7.884249878E2
2.277762676E0,6.679133911E2,4.402980042E1,-7.887299805E2
2.287762187E0,6.674985962E2,4.507899857E1,-7.882785645E2
2.297764873E0,6.673156128E2,4.696999741E1,-7.883395996E2
2.307769023E0,6.675473633E2,4.814119720E1,-7.865462036E2
2.317773906E0,6.674254150E2,4.976379776E1,-7.857897949E2
2.327774394E0,6.666079712E2,5.128879929E1,-7.845575562E2
2.337757793E0,6.677182007E2,5.286259842E1,-7.824469604E2
2.347773906E0,6.675839844E2,5.430220032E1,-7.813855591E2
2.357773662E0,6.683281860E2,5.622979736E1,-7.797874146E2
2.367774150E0,6.684013672E2,5.737659836E1,-7.792139893E2
2.377762920E0,6.683648071E2,6.006060028E1,-7.776767578E2
2.387774150E0,6.687429810E2,6.148799896E1,-7.772985840E2
2.397762676E0,6.698287964E2,6.281779861E1,-7.774815674E2
2.407774150E0,6.692431641E2,6.337899780E1,-7.775181885E2
2.417762431E0,6.691455688E2,6.384259796E1,-7.775426025E2
2.427774150E0,6.689869995E2,6.411100006E1,-7.784575806E2
2.437773418E0,6.690968018E2,6.447699738E1,-7.787625732E2
2.447774394E0,6.696701660E2,6.486740112E1,-7.783477783E2
2.457763164E0,6.691090088E2,6.475759888E1,-7.792749634E2
2.467771220E0,6.689137573E2,6.569699860E1,-7.793115845E2
2.477781718E0,6.696091919E2,6.598979950E1,-7.793847656E2
2.487774150E0,6.697799683E2,6.684379578E1,-7.788967896E2
2.497774150E0,6.697921753E2,6.740499878E1,-7.791163940E2
2.507774150E0,6.695969849E2,6.797840118E1,-7.789334106E2
2.517774150E0,6.700849609E2,6.836879730E1,-7.788236084E2
2.527762676E0,6.699019775E2,6.891780090E1,-7.792506104E2
2.537774394E0,6.700728149E2,6.912519836E1,-7.785429688E2
2.547762676E0,6.701459961E2,6.933259583E1,-7.779329834E2
2.557774150E0,6.712073975E2,6.944239807E1,-7.773961792E2
2.567763164E0,6.708170166E2,7.000360107E1,-7.774205933E2
2.577774150E0,6.709146118E2,7.011339569E1,-7.771156006E2
2.587762676E0,6.718540039E2,7.071119690E1,-7.760907593E2
2.597774394E0,6.710609741E2,7.174819946E1,-7.756516113E2
2.607760478E0,6.730007935E2,7.272419739E1,-7.750903931E2
2.617763164E0,6.736839600E2,7.349279785E1,-7.748707886E2
2.627755595E0,6.730495605E2,7.435900116E1,-7.736141968E2
2.637762676E0,6.734400024E2,7.437120056E1,-7.732969971E2
2.647774638E0,6.748429565E2,7.490799713E1,-7.712351685E2
2.657762431E0,6.750382080E2,7.556679535E1,-7.713449707E2
2.667774394E0,6.754041748E2,7.539599609E1,-7.705275879E2
2.677762676E0,6.755017700E2,7.531060028E1,-7.704177856E2
2.687773906E0,6.756848145E2,7.512760162E1,-7.701981812E2
2.697757549E0,6.759653931E2,7.513980103E1,-7.698931885E2
2.707774638E0,6.757824097E2,7.531060028E1,-7.701981812E2
2.717762676E0,6.758677979E2,7.675019836E1,-7.695271606E2
2.727774150E0,6.756359863E2,7.670140076E1,-7.715523682E2
2.737762431E0,6.766485596E2,7.839720154E1,-7.724552002E2
2.747774638E0,6.770390015E2,7.953179932E1,-7.724674072E2
2.757762920E0,6.773684082E2,8.139839935E1,-7.734067993E2
2.767774150E0,6.789421997E2,8.378959656E1,-7.732969971E2
2.777762187E0,6.793692017E2,8.575379944E1,-7.744315796E2
2.787774394E0,6.810405884E2,8.785219574E1,-7.743095703E2
2.797771709E0,6.818579712E2,9.057279968E1,-7.752489624E2
2.807774150E0,6.829926147E2,9.490380096E1,-7.766153564E2
2.817768779E0,6.826875610E2,1.053713989E2,-7.817271729E2
2.827762431E0,6.826875610E2,1.053713989E2,-7.817271729E2
2.837774394E0,6.842979736E2,1.156072006E2,-7.853383789E2
2.847774150E0,6.862500000E2,1.159122009E2,-7.852529907E2
2.857774394E0,6.870551758E2,1.164733963E2,-7.858385620E2
2.867763164E0,6.883483887E2,1.172419968E2,-7.863021851E2
2.877774150E0,6.888120117E2,1.174493942E2,-7.854848022E2
2.887762676E0,6.893609619E2,1.175713959E2,-7.844599609E2
2.897774150E0,6.909104004E2,1.174127960E2,-7.837767944E2
2.907763896E0,6.910446167E2,1.169857941E2,-7.818491821E2
2.917774883E0,6.920693970E2,1.157047958E2,-7.805681763E2
2.927762187E0,6.923012085E2,1.148019943E2,-7.786162109E2
2.937774394E0,6.926915894E2,1.142407990E2,-7.784942017E2
2.947762187E0,6.920083618E2,1.133745956E2,-7.787015991E2
2.957762431E0,6.932406006E2,1.133257980E2,-7.774328003E2
2.967764385E0,6.925573730E2,1.126548004E2,-7.776524048E2
2.977762187E0,6.929478149E2,1.129353943E2,-7.775426025E2
2.987762187E0,6.924841919E2,1.132891998E2,-7.783721924E2
2.997774394E0,6.920938110E2,1.130085983E2,-7.783843994E2
3.007774394E0,6.919229736E2,1.132770004E2,-7.791041870E2
3.017762431E0,6.921059570E2,1.136673965E2,-7.786040039E2
3.027774150E0,6.912520142E2,1.142042007E2,-7.795556030E2
3.037767314E0,6.909835815E2,1.142773972E2,-7.803729858E2
3.047774394E0,6.901295776E2,1.141553955E2,-7.810195923E2
3.057762920E0,6.899953613E2,1.143628006E2,-7.802265625E2
3.067762676E0,6.898612061E2,1.145214005E2,-7.817393799E2
3.077762676E0,6.890925903E2,1.142164001E2,-7.822639771E2
3.087774150E0,6.884093628E2,1.143017960E2,-7.823981934E2
