"Time (s)","Pressure (hPa)"
5.662864200E-2,1.012109436E3
7.665037100E-2,1.012025330E3
9.677708000E-2,1.011976990E3
1.169521290E-1,1.011952820E3
1.370676070E-1,1.011965271E3
1.570812790E-1,1.011956909E3
1.771821090E-1,1.011963989E3
1.973425100E-1,1.011924133E3
2.177425100E-1,1.011903870E3
2.366935840E-1,1.011907410E3
2.566320600E-1,1.011867676E3
2.766247360E-1,1.011886902E3
2.966406050E-1,1.011918701E3
3.167421680E-1,1.011915222E3
3.366244920E-1,1.011922974E3
3.567939260E-1,1.011930786E3
3.766247360E-1,1.011920776E3
3.966247360E-1,1.011960632E3
4.165929980E-1,1.011984070E3
4.368574020E-1,1.011955322E3
4.568325000E-1,1.011933533E3
4.770820110E-1,1.011964905E3
4.972377730E-1,1.012000732E3
5.171706350E-1,1.012070740E3
5.373185840E-1,1.012123840E3
5.574579880E-1,1.012212830E3
5.776501270E-1,1.012252197E3
5.966618450E-1,1.012237854E3
6.167350880E-1,1.012156494E3
6.368591110E-1,1.012144409E3
6.566249800E-1,1.012167175E3
6.766244920E-1,1.012162415E3
6.966252240E-1,1.012147339E3
7.166408490E-1,1.012163269E3
7.366252240E-1,1.012131836E3
7.566474410E-1,1.012104675E3
7.767946580E-1,1.012111572E3
7.970488080E-1,1.012101501E3
8.170912890E-1,1.012073303E3
8.372721970E-1,1.012017334E3
8.571996870E-1,1.012007690E3
8.773515430E-1,1.011973938E3
8.975724900E-1,1.011975647E3
9.176562300E-1,1.011999329E3
9.366481740E-1,1.012001160E3
9.566247360E-1,1.012010925E3
9.766254680E-1,1.012024536E3
9.966249800E-1,1.012007690E3
1.016602275E0,1.012006287E3
1.036624492E0,1.012037842E3
1.056660869E0,1.012039673E3
1.076625224E0,1.012029602E3
1.096600810E0,1.012037170E3
1.116925761E0,1.012028076E3
1.136823955E0,1.012058044E3
1.157223955E0,1.012054688E3
1.177118633E0,1.012043030E3
1.197129375E0,1.012037354E3
1.217465556E0,1.012021179E3
1.237450664E0,1.012058044E3
1.257665508E0,1.012063782E3
1.276636455E0,1.012056274E3
1.296625224E0,1.012048645E3
1.316624980E0,1.012051270E3
1.336625957E0,1.012055969E3
1.356625957E0,1.012011658E3
1.376625468E0,1.012054932E3
1.396625713E0,1.012044800E3
1.416625224E0,1.012043762E3
1.436629619E0,1.012040771E3
1.456719707E0,1.012071716E3
1.476908672E0,1.012074951E3
1.497082256E0,1.012080017E3
1.517169902E0,1.012080139E3
1.537190898E0,1.012060852E3
1.557421367E0,1.012091858E3
1.577418681E0,1.012103149E3
1.597697246E0,1.012123047E3
1.616625468E0,1.012158936E3
1.636660869E0,1.012168396E3
1.656624980E0,1.012165100E3
1.676625468E0,1.012157532E3
1.696625713E0,1.012162109E3
1.716612773E0,1.012149719E3
1.736624736E0,1.012137756E3
1.756671855E0,1.012137695E3
1.776628642E0,1.012129761E3
1.796770488E0,1.012144592E3
1.816803691E0,1.012169373E3
1.837089824E0,1.012160095E3
1.857075420E0,1.012164795E3
1.877132304E0,1.012135498E3
1.897403789E0,1.012154175E3
1.917419170E0,1.012174133E3
1.937678935E0,1.012171936E3
1.956632793E0,1.012179565E3
1.976684551E0,1.012170776E3
1.996661357E0,1.012164490E3
2.016626933E0,1.012204224E3
2.036625224E0,1.012167664E3
2.056625468E0,1.012206482E3
2.076683818E0,1.012182129E3
2.096625468E0,1.012162903E3
2.116617900E0,1.012148682E3
2.137017900E0,1.012138733E3
2.156919902E0,1.012146606E3
2.177084697E0,1.012129395E3
2.197365459E0,1.012129395E3
2.217238750E0,1.012114319E3
2.237638750E0,1.012128296E3
2.257423564E0,1.012191040E3
2.277698955E0,1.012225037E3
2.296657207E0,1.012260132E3
2.316625468E0,1.012272461E3
2.336624736E0,1.012249390E3
2.356624980E0,1.012242432E3
2.376625468E0,1.012215454E3
2.396613506E0,1.012204712E3
2.416625224E0,1.012214600E3
2.436641093E0,1.012216553E3
2.456641826E0,1.012177490E3
2.476790996E0,1.012201050E3
2.496859355E0,1.012217102E3
2.517176982E0,1.012207825E3
2.537107646E0,1.012224731E3
2.557188457E0,1.012233398E3
2.577472881E0,1.012228088E3
2.597448711E0,1.012251648E3
2.617729717E0,1.012247253E3
2.636672832E0,1.012233459E3
2.656601543E0,1.012252930E3
2.676625224E0,1.012295410E3
2.696625224E0,1.012391479E3
2.716625957E0,1.012381348E3
2.736625224E0,1.012346436E3
2.756625713E0,1.012356201E3
2.776624980E0,1.012346069E3
2.796661601E0,1.012336121E3
2.816773174E0,1.012253845E3
2.836928935E0,1.012099487E3
2.857106181E0,1.012149414E3
2.877276836E0,1.012238220E3
2.897196513E0,1.012243286E3
2.917562968E0,1.012232727E3
2.937445293E0,1.012231750E3
2.957716533E0,1.012211426E3
2.976656963E0,1.012208679E3
2.996689189E0,1.012252014E3
3.016625957E0,1.012258423E3
3.036624980E0,1.012241882E3
3.056613261E0,1.012210022E3
3.076599590E0,1.012244385E3
3.096625468E0,1.012221863E3
3.116684551E0,1.012215454E3
3.136890605E0,1.012216125E3
3.156811260E0,1.012233398E3
3.176841289E0,1.012227539E3
3.197180156E0,1.012221558E3
3.217120097E0,1.012209412E3
3.237140605E0,1.012229675E3
3.257474834E0,1.012218323E3
3.277450176E0,1.012234924E3
3.297730693E0,1.012212463E3
3.316655742E0,1.012236816E3
3.336697246E0,1.012216675E3
3.356625224E0,1.012218445E3
3.376625713E0,1.012229492E3
3.396624492E0,1.012226257E3
3.416625224E0,1.012213196E3
3.436625468E0,1.012231079E3
3.456609599E0,1.012228088E3
3.476634990E0,1.012219482E3
3.496783672E0,1.012219482E3
3.516961406E0,1.012222595E3
3.537336894E0,1.012204712E3
3.557119609E0,1.012223145E3
3.577209209E0,1.012209839E3
3.597487041E0,1.012214539E3
3.617468974E0,1.012229309E3
3.637793926E0,1.012214172E3
3.656662090E0,1.012217590E3
3.676632304E0,1.012208008E3
3.696647441E0,1.012225708E3
3.716625468E0,1.012237915E3
3.736612773E0,1.012222351E3
3.756625713E0,1.012210999E3
3.776668681E0,1.012204895E3
3.796625468E0,1.012223389E3
3.816643779E0,1.012225220E3
3.836791240E0,1.012238220E3
3.856851543E0,1.012221313E3
3.877100078E0,1.012226440E3
3.897111797E0,1.012224365E3
3.917141826E0,1.012203979E3
3.937423320E0,1.012208435E3
3.957447490E0,1.012234375E3
3.977714336E0,1.012229675E3
3.997819560E0,1.012216125E3
4.016623027E0,1.012215454E3
4.036662334E0,1.012230103E3
4.056625957E0,1.012233521E3
4.076613506E0,1.012227966E3
4.096625468E0,1.012226440E3
4.116624736E0,1.012218689E3
4.136624248E0,1.012241882E3
4.156662822E0,1.012219482E3
4.176752422E0,1.012229492E3
4.196957744E0,1.012230896E3
4.217357744E0,1.012216187E3
4.237123515E0,1.012219849E3
4.257518291E0,1.012216125E3
4.277455058E0,1.012232483E3
4.297458720E0,1.012236572E3
4.317708720E0,1.012226135E3
4.337834697E0,1.012230347E3
4.356706767E0,1.012222961E3
4.376589824E0,1.012217102E3
4.396643779E0,1.012200928E3
4.416602519E0,1.012222229E3
4.436625468E0,1.012227051E3
4.456659648E0,1.012216675E3
4.476625713E0,1.012234253E3
4.496770488E0,1.012234375E3
4.516632060E0,1.012230896E3
4.536742412E0,1.012238220E3
4.557103740E0,1.012225220E3
4.577018047E0,1.012213440E3
4.597137920E0,1.012237671E3
4.617314189E0,1.012237854E3
4.637516826E0,1.012230896E3
4.657599101E0,1.012237854E3
4.677686015E0,1.012222595E3
4.696651103E0,1.012217896E3
4.716625468E0,1.012233521E3
4.736736797E0,1.012246094E3
4.756625468E0,1.012238586E3
4.776625224E0,1.012237610E3
4.796624736E0,1.012233765E3
4.816625224E0,1.012236877E3
4.836625224E0,1.012226257E3
4.856614970E0,1.012223755E3
4.876728740E0,1.012235107E3
4.896961162E0,1.012242371E3
4.916969463E0,1.012212585E3
4.937200908E0,1.012256470E3
4.957294170E0,1.012232544E3
4.977313213E0,1.012221252E3
4.997559795E0,1.012235413E3
5.017695049E0,1.012235413E3
5.036631328E0,1.012216858E3
5.056624736E0,1.012233215E3
5.076625224E0,1.012214844E3
5.096625468E0,1.012219299E3
5.116625224E0,1.012232849E3
5.136635234E0,1.012231323E3
5.156624980E0,1.012240295E3
5.176616191E0,1.012228149E3
5.196633525E0,1.012220703E3
5.216724101E0,1.012235901E3
5.237066875E0,1.012238464E3
5.256976299E0,1.012244202E3
5.277280986E0,1.012239014E3
5.297347392E0,1.012234375E3
5.317321513E0,1.012234863E3
5.337584941E0,1.012239258E3
5.357711650E0,1.012249023E3
5.376616191E0,1.012226807E3
5.396624980E0,1.012238220E3
5.416625224E0,1.012229797E3
5.436624980E0,1.012249146E3
5.456625224E0,1.012224365E3
5.476624980E0,1.012236145E3
5.496625468E0,1.012248596E3
5.516661357E0,1.012222595E3
5.536627422E0,1.012226257E3
5.556772441E0,1.012247986E3
5.577030010E0,1.012324524E3
5.597352763E0,1.012403870E3
5.617061992E0,1.012511292E3
5.637461992E0,1.012537537E3
5.657348613E0,1.012433044E3
5.677596416E0,1.012348694E3
5.697726299E0,1.012295715E3
5.716633525E0,1.012315796E3
5.736624248E0,1.012333191E3
5.756625224E0,1.012367249E3
5.776628642E0,1.012385559E3
5.796614238E0,1.012406738E3
5.816625224E0,1.012386047E3
5.836624980E0,1.012388367E3
5.856734843E0,1.012380310E3
5.876623515E0,1.012392395E3
5.896674785E0,1.012413757E3
5.917074785E0,1.012434082E3
5.937002910E0,1.012414490E3
5.957060039E0,1.012378113E3
5.977347881E0,1.012380798E3
5.997326640E0,1.012397827E3
6.017608135E0,1.012396179E3
6.037696513E0,1.012424011E3
6.056802226E0,1.012430298E3
6.076649394E0,1.012452026E3
6.096809551E0,1.012429871E3
6.116625468E0,1.012460632E3
6.136609355E0,1.012449707E3
6.156625713E0,1.012407349E3
6.176601543E0,1.012336487E3
6.196625713E0,1.012223389E3
6.216621562E0,1.012133972E3
6.237021562E0,1.012112854E3
6.257018779E0,1.012190247E3
6.277295879E0,1.012179321E3
6.297077129E0,1.012121826E3
6.317328838E0,1.012093933E3
6.337348369E0,1.012072571E3
6.357615703E0,1.012104126E3
6.377711162E0,1.012108826E3
6.396665996E0,1.012108948E3
6.416649394E0,1.012104370E3
6.436635478E0,1.012139526E3
6.456625957E0,1.012151489E3
6.476624980E0,1.012179565E3
6.496661845E0,1.012177856E3
6.516625224E0,1.012204285E3
6.536615215E0,1.012207520E3
6.556656963E0,1.012164307E3
6.576736552E0,1.012136475E3
6.597136552E0,1.012127319E3
6.617005840E0,1.012140259E3
6.637086406E0,1.012130249E3
6.657337627E0,1.012158386E3
6.677323222E0,1.012178894E3
6.697576152E0,1.012217285E3
6.717976152E0,1.012288086E3
6.736640849E0,1.012382690E3
6.756649150E0,1.012414795E3
6.776625224E0,1.012358948E3
6.796624980E0,1.012283569E3
6.816624980E0,1.012227417E3
6.836625713E0,1.012207520E3
6.856612529E0,1.012263916E3
6.876626445E0,1.012313782E3
6.896624736E0,1.012210022E3
6.916770732E0,1.012126526E3
