"Time (s)","Temperature (°C)"
4.640305500E-2,3.092968750E1
6.429630500E-2,3.093750000E1
8.219016500E-2,3.092968750E1
1.000751140E-1,3.095312500E1
1.179784950E-1,3.092968750E1
1.358722940E-1,3.096093750E1
1.537660320E-1,3.094531250E1
1.716603190E-1,3.097656250E1
1.895538130E-1,3.094531250E1
2.074511520E-1,3.095312500E1
2.253422650E-1,3.094531250E1
2.432363080E-1,3.093750000E1
2.611302900E-1,3.092968750E1
2.790121260E-1,3.096093750E1
2.969212450E-1,3.095312500E1
3.148105270E-1,3.096875000E1
3.327062170E-1,3.095312500E1
3.506002600E-1,3.094531250E1
3.684942420E-1,3.094531250E1
3.863881020E-1,3.093750000E1
4.042681680E-1,3.095312500E1
4.221763710E-1,3.093750000E1
4.400585120E-1,3.094531250E1
4.579613440E-1,3.092968750E1
4.758583170E-1,3.093750000E1
4.937523600E-1,3.092968750E1
5.116344400E-1,3.093750000E1
5.295405070E-1,3.093750000E1
5.474343060E-1,3.093750000E1
5.653284710E-1,3.094531250E1
5.832223920E-1,3.094531250E1
6.011164350E-1,3.094531250E1
6.190023610E-1,3.094531250E1
6.369043380E-1,3.093750000E1
6.547985030E-1,3.092968750E1
6.726910190E-1,3.095312500E1
6.905863440E-1,3.093750000E1
7.084836230E-1,3.092968750E1
7.263758950E-1,3.095312500E1
7.442684730E-1,3.092968750E1
7.621625160E-1,3.096875000E1
7.800443520E-1,3.096875000E1
7.979481610E-1,3.095312500E1
8.158444010E-1,3.093750000E1
8.337385050E-1,3.094531250E1
8.516324870E-1,3.094531250E1
8.695265300E-1,3.092968750E1
8.874086100E-1,3.092578125E1
9.053146770E-1,3.093359375E1
9.231967570E-1,3.092968750E1
9.411025190E-1,3.099609375E1
9.589850260E-1,3.096093750E1
9.768937790E-1,3.098437500E1
9.947846480E-1,3.097656250E1
1.012678691E0,3.094531250E1
1.030572673E0,3.092968750E1
1.048466655E0,3.095312500E1
1.066360820E0,3.096875000E1
1.084254801E0,3.093750000E1
1.102148844E0,3.095312500E1
1.120042277E0,3.092968750E1
1.137938456E0,3.095312500E1
1.155818949E0,3.096875000E1
1.173728923E0,3.096875000E1
1.191618815E0,3.097656250E1
1.209512980E0,3.096875000E1
1.227406901E0,3.098437500E1
1.245300761E0,3.098437500E1
1.263183024E0,3.098437500E1
1.281088481E0,3.096093750E1
1.298972148E0,3.095312500E1
1.316880168E0,3.101171875E1
1.334771159E0,3.095312500E1
1.352665019E0,3.098437500E1
1.370562175E0,3.097656250E1
1.388452983E0,3.097656250E1
1.406345866E0,3.097656250E1
1.424241130E0,3.097656250E1
1.442135173E0,3.098437500E1
1.460039286E0,3.096875000E1
1.477920330E0,3.099609375E1
1.495820841E0,3.094531250E1
