"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-5.425725579E-1,7.298108935E-2,9.780662537E0
0.000000000E0,-5.042873621E-1,5.862415582E-2,9.771091461E0
0.000000000E0,-5.192425251E-1,5.383851007E-2,9.771091461E0
8.435070000E-4,-5.288137794E-1,4.426721856E-2,9.775876999E0
3.080266000E-3,-5.377869010E-1,4.965107143E-2,9.756733894E0
5.317024000E-3,-4.947160780E-1,5.802594870E-2,9.771091461E0
7.553782000E-3,-5.330012441E-1,5.862415582E-2,9.766305923E0
9.790540000E-3,-5.377869010E-1,5.862415582E-2,9.771091461E0
1.202729900E-2,-5.330012441E-1,5.383851007E-2,9.756733894E0
1.426405700E-2,-5.138586760E-1,6.340979785E-2,9.761520386E0
1.650081500E-2,-5.288137794E-1,5.383851007E-2,9.775876999E0
1.873757300E-2,-5.288137794E-1,4.426721856E-2,9.756733894E0
2.097433100E-2,-5.479564071E-1,4.486542568E-2,9.771091461E0
2.321109000E-2,-5.288137794E-1,3.948157281E-2,9.747162819E0
2.543671600E-2,-5.288137794E-1,4.426721856E-2,9.756733894E0
2.767330400E-2,-5.192425251E-1,4.426721856E-2,9.761520386E0
2.991031500E-2,-5.383850932E-1,5.383851007E-2,9.771091461E0
3.214788000E-2,-4.995017350E-1,5.383851007E-2,9.761520386E0
3.438451300E-2,-5.288137794E-1,4.905286431E-2,9.775876999E0
3.662108500E-2,-5.473581553E-1,4.965107143E-2,9.756733894E0
3.885997700E-2,-5.330012441E-1,6.819544733E-2,9.766305923E0
4.109404700E-2,-4.995017350E-1,6.340979785E-2,9.756733894E0
4.333098600E-2,-5.240281820E-1,3.469592705E-2,9.766305923E0
4.556731500E-2,-5.234299302E-1,5.862415582E-2,9.761520386E0
4.780437500E-2,-5.240281820E-1,3.948157281E-2,9.771091461E0
5.004338800E-2,-5.383850932E-1,4.905286431E-2,9.766305923E0
5.228057100E-2,-5.288137794E-1,4.905286431E-2,9.780662537E0
5.451574000E-2,-5.138586760E-1,7.298108935E-2,9.785448074E0
5.675304500E-2,-5.330012441E-1,5.862415582E-2,9.761520386E0
5.899175400E-2,-5.479564071E-1,4.007977992E-2,9.761520386E0
6.124065500E-2,-5.282155871E-1,5.383851007E-2,9.766305923E0
6.347643500E-2,-5.144568682E-1,4.426721856E-2,9.771091461E0
6.571367900E-2,-5.335994363E-1,4.905286431E-2,9.799804688E0
6.794707700E-2,-5.521438122E-1,6.400800496E-2,9.770493507E0
7.017266300E-2,-5.282155871E-1,5.383851007E-2,9.761520386E0
7.240899200E-2,-5.192425251E-1,6.340979785E-2,9.790233612E0
7.465691700E-2,-5.090730190E-1,6.340979785E-2,9.771091461E0
7.689611400E-2,-5.234299302E-1,4.905286431E-2,9.761520386E0
7.913378500E-2,-5.473581553E-1,6.400800496E-2,9.766305923E0
8.136773200E-2,-5.425725579E-1,4.965107143E-2,9.751948357E0
8.360534300E-2,-5.042873621E-1,6.340979785E-2,9.766305923E0
8.584362500E-2,-5.234299302E-1,6.819544733E-2,9.785448074E0
8.807842700E-2,-5.186443329E-1,8.255238086E-2,9.756733894E0
9.031493800E-2,-5.138586760E-1,4.905286431E-2,9.761520386E0
9.255120600E-2,-5.240281820E-1,3.948157281E-2,9.756733894E0
9.478832800E-2,-5.377869010E-1,6.340979785E-2,9.771091461E0
9.702538800E-2,-5.330012441E-1,5.862415582E-2,9.771091461E0
9.926196100E-2,-5.234299302E-1,6.819544733E-2,9.780662537E0
1.014993260E-1,-5.282155871E-1,5.383851007E-2,9.766305923E0
1.037375480E-1,-5.138586760E-1,5.383851007E-2,9.761520386E0
1.059694200E-1,-5.527420044E-1,3.529413417E-2,9.771091461E0
1.081939680E-1,-5.330012441E-1,4.905286431E-2,9.751948357E0
1.104331040E-1,-5.330012441E-1,6.340979785E-2,9.780662537E0
1.126826170E-1,-5.377869010E-1,4.965107143E-2,9.761520386E0
1.149224850E-1,-5.377869010E-1,6.340979785E-2,9.775876999E0
1.171593630E-1,-5.042873621E-1,6.759724021E-2,9.780662537E0
1.193936150E-1,-5.144568682E-1,5.862415582E-2,9.795019150E0
1.216318970E-1,-5.192425251E-1,4.905286431E-2,9.795019150E0
1.238667000E-1,-5.330012441E-1,5.383851007E-2,9.751948357E0
1.261033330E-1,-5.096712112E-1,4.426721856E-2,9.766305923E0
1.283397840E-1,-5.569294691E-1,5.922235921E-2,9.770493507E0
1.305766610E-1,-5.569294691E-1,6.400800496E-2,9.770493507E0
1.328137220E-1,-5.335994363E-1,4.905286431E-2,9.766305923E0
1.350502950E-1,-5.473581553E-1,5.443671346E-2,9.756733894E0
