"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.574201700E-1,-9.920895100E-3,-3.240518272E-3,-2.318286896E-2
1.753144590E-1,-3.549277782E-3,1.187622547E-3,-3.686046600E-2
1.932029500E-1,6.085932255E-3,3.347869962E-3,-2.627849579E-2
2.111030360E-1,6.973743439E-4,-3.832377493E-3,-3.744888306E-2
2.290003770E-1,-3.211140633E-3,-1.937989146E-3,-2.739238739E-2
2.468913090E-1,-8.945643902E-3,2.958726138E-3,-3.654193878E-2
2.647858420E-1,-2.583801746E-3,-2.938404679E-3,-2.722835541E-2
2.826771400E-1,1.133531332E-2,-3.800019622E-4,-3.727722168E-2
3.005742970E-1,-1.111274958E-2,-4.551474005E-3,-2.653503418E-2
3.184715170E-1,4.398226738E-4,2.081878483E-4,-2.352333069E-2
3.363629370E-1,-1.507639885E-3,-7.395900786E-3,-2.623748779E-2
3.542569210E-1,8.025765419E-4,-2.056632191E-3,-2.982521057E-2
3.721512100E-1,-2.913475037E-4,2.374321222E-3,-3.539848328E-2
3.900451930E-1,-2.333641052E-3,-2.611123025E-3,-2.593040466E-2
4.079433880E-1,4.323899746E-3,1.495257020E-4,-2.248477936E-2
4.258337710E-1,6.777703762E-3,-5.098804832E-4,-2.876472473E-2
4.437280600E-1,2.159714699E-3,4.731416702E-4,-3.272247314E-2
4.616224090E-1,-2.111804485E-2,9.204734117E-3,-2.644348145E-2
4.795136460E-1,-8.689761162E-4,-1.595430076E-4,-2.951908112E-2
4.974109260E-1,-9.343326092E-3,-1.717165112E-3,-2.645111084E-2
5.153050320E-1,-9.675502777E-3,-7.396973670E-4,-1.887798309E-2
5.331993210E-1,-2.022624016E-2,-3.243710846E-3,-2.621555328E-2
5.510936100E-1,1.911103725E-3,-5.641616881E-4,-2.393341064E-2
5.689763020E-1,2.933502197E-3,-1.574568450E-3,-2.667903900E-2
5.868818830E-1,3.872096539E-3,4.174690694E-3,-1.914405823E-2
6.047761720E-1,-1.083099842E-2,-1.408249140E-3,-2.939891815E-2
6.226674090E-1,-7.426857948E-3,-3.619566560E-4,-2.943515778E-2
6.405647490E-1,2.225637436E-4,6.406642497E-4,-2.345561981E-2
6.584618460E-1,2.406060696E-3,2.101011574E-3,-2.878665924E-2
6.763532050E-1,-1.293349266E-2,-3.126002848E-3,-2.402210236E-2
6.942319910E-1,1.745700836E-3,-3.040559590E-3,-1.697349548E-2
7.121419050E-1,-2.732634544E-3,-2.396628261E-4,-2.881622314E-2
7.300242310E-1,-8.458375931E-3,-1.122429967E-4,-2.579402924E-2
7.479302380E-1,-1.478010416E-2,1.659628004E-3,-3.127670288E-2
7.658244050E-1,-1.345992088E-3,2.276800573E-3,-3.173923492E-2
7.837186340E-1,-1.028907299E-2,-5.060210824E-3,-2.984046936E-2
8.016128610E-1,-1.903653145E-3,1.071460545E-3,-2.861499786E-2
8.195117280E-1,-1.115256548E-2,5.900442600E-3,-2.347373962E-2
8.374015000E-1,5.591511726E-3,1.144036651E-3,-2.483177185E-2
8.552926760E-1,-2.312797308E-2,-1.989163458E-3,-2.817058563E-2
8.731900780E-1,1.080626249E-2,1.011438668E-3,-3.170299530E-2
8.910841220E-1,-3.657597303E-2,3.664162010E-3,-2.619838715E-2
