"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.399793279E1,3.514221537E1,1.369019514E2,1.289714348E1,1.301802635E1,1.196370773E2,6.081091309E1,9.024469757E1
2.504850795E1,3.514212844E1,1.369020456E2,1.372353221E1,1.441807842E1,1.231677780E2,3.068125534E1,5.154592133E1
2.608370245E1,3.514215062E1,1.369022546E2,1.187995267E1,1.560291672E1,1.265776672E2,8.372593880E0,1.826918793E1
2.910767946E1,3.514188643E1,1.369026444E2,1.159496837E1,1.682001495E1,1.245933609E2,7.474780083E0,4.266402721E0
3.011307423E1,3.514179017E1,1.369027891E2,1.108503873E1,1.713158035E1,1.269966965E2,9.224527359E0,2.258219719E1
3.112257415E1,3.514169458E1,1.369029414E2,1.095211980E1,1.785704231E1,1.287594299E2,1.759427452E1,5.200267792E1
3.210913157E1,3.514158747E1,1.369030963E2,1.092324696E1,1.819270134E1,1.306963043E2,1.455404186E1,4.301642609E1
3.312849379E1,3.514148046E1,1.369032513E2,1.092203045E1,1.876996803E1,1.297787323E2,2.854773331E1,8.362591553E1
3.414701210E1,3.514137073E1,1.369034122E2,1.092825817E1,1.936409950E1,1.285647125E2,1.913495064E1,6.323666382E1
3.512566180E1,3.514124863E1,1.369036111E2,1.950061511E1,1.968220329E1,1.291356049E2,1.116181660E1,1.847285080E1
3.612249566E1,3.514113761E1,1.369037873E2,1.743768578E1,1.997791481E1,1.297868652E2,8.307191849E0,1.180319786E1
3.697251166E1,3.514103879E1,1.369039328E2,1.686772021E1,2.020234489E1,1.293241730E2,7.025105953E0,9.406325340E0
3.796400779E1,3.514091720E1,1.369041029E2,1.634451400E1,2.055752182E1,1.301092987E2,6.255983353E0,8.013599396E0
3.899137644E1,3.514079007E1,1.369042682E2,1.614469195E1,2.119644737E1,1.307015991E2,5.724433422E0,7.161508083E0
3.990620644E1,3.514066147E1,1.369044416E2,1.530004708E1,2.157762337E1,1.312215271E2,5.506822586E0,6.660425186E0
4.090622344E1,3.514052856E1,1.369046195E2,1.490313483E1,2.196302414E1,1.319769135E2,5.305873871E0,6.237105846E0
4.190634744E1,3.514039227E1,1.369047983E2,1.498096109E1,2.217719460E1,1.336385040E2,5.176666737E0,5.936299324E0
4.290625144E1,3.514024822E1,1.369049705E2,1.559103353E1,2.252262878E1,1.358844452E2,5.005903721E0,5.654623508E0
4.390626844E1,3.514009738E1,1.369051416E2,1.583225261E1,2.285446167E1,1.365443573E2,4.951921463E0,5.498729706E0
4.490632044E1,3.513994771E1,1.369053110E2,1.605050839E1,2.302032852E1,1.372601166E2,8.246643066E0,5.529289722E0
4.590630044E1,3.513978979E1,1.369054813E2,1.576535016E1,2.319120979E1,1.384796753E2,8.122708321E0,5.486128330E0
4.690632144E1,3.513963471E1,1.369056485E2,1.524229095E1,2.319204330E1,1.399774323E2,6.102212906E0,5.451598167E0
4.790634144E1,3.513947680E1,1.369058103E2,1.481941979E1,2.330031967E1,1.405346832E2,1.205416203E1,5.359668732E0
4.890635344E1,3.513931461E1,1.369059734E2,1.442606536E1,2.340694809E1,1.414010010E2,1.205421829E1,5.280665874E0
4.990635944E1,3.513913761E1,1.369061182E2,1.543535757E1,2.323767090E1,1.432324677E2,4.854486942E0,4.892839909E0
5.090638744E1,3.513895823E1,1.369062637E2,1.507680180E1,2.320129013E1,1.437675781E2,4.594334126E0,4.714198589E0
