"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.644487800E-2,-8.039799690E0,4.106520081E1,-4.027219772E1
5.644414700E-2,-8.991399765E0,4.104079819E1,-4.091880035E1
6.644414800E-2,-8.722999573E0,4.124819946E1,-4.019899750E1
7.645586800E-2,-9.015799522E0,4.115060043E1,-4.011359787E1
8.644390600E-2,-8.222800255E0,4.105299759E1,-4.047959900E1
9.645587000E-2,-7.527400017E0,4.039419937E1,-4.093099976E1
1.064441520E-1,-8.393599510E0,4.076020050E1,-4.117499924E1
1.164561160E-1,-8.295999527E0,4.132139969E1,-4.108959961E1
1.264439100E-1,-9.076799393E0,4.122380066E1,-4.132139969E1
1.364556290E-1,-8.003199577E0,4.076020050E1,-4.106520081E1
1.464505040E-1,-8.027600288E0,4.077239990E1,-4.066259766E1
1.564556310E-1,-7.515199661E0,4.077239990E1,-4.104079819E1
1.664519700E-1,-8.405799866E0,4.085779953E1,-4.097979736E1
1.764556330E-1,-7.539599895E0,4.096759796E1,-4.044300079E1
1.864556340E-1,-8.064199448E0,4.101639938E1,-4.227299881E1
1.964558800E-1,-7.527400017E0,4.143119812E1,-4.085779953E1
2.064561250E-1,-7.881199837E0,4.093099976E1,-4.196799850E1
2.164441630E-1,-7.917799950E0,4.133359909E1,-4.096759796E1
2.264556380E-1,-7.295599937E0,4.141899872E1,-4.184600067E1
2.364451410E-1,-7.978799820E0,4.112619781E1,-4.187039948E1
2.464556400E-1,-6.807600021E0,4.113840103E1,-4.172399902E1
2.564441670E-1,-7.783599854E0,4.122380066E1,-4.196799850E1
2.664556420E-1,-6.917399883E0,4.105299759E1,-4.152880096E1
2.764446570E-1,-7.197999954E0,4.094319916E1,-4.193140030E1
2.864561330E-1,-7.210199833E0,4.095539856E1,-4.133359909E1
2.964434380E-1,-6.892999649E0,4.112619781E1,-4.222419739E1
3.064556460E-1,-7.881199837E0,4.084560013E1,-4.185820007E1
3.164473470E-1,-6.831999779E0,4.077239990E1,-4.121159744E1
3.264556480E-1,-7.478600025E0,4.074800110E1,-4.213879776E1
3.364468600E-1,-6.831999779E0,4.096759796E1,-4.111399841E1
3.464554060E-1,-7.405399799E0,4.066259766E1,-4.154100037E1
3.564436890E-1,-6.831999779E0,4.077239990E1,-4.111399841E1
3.664558970E-1,-6.917399883E0,4.123600006E1,-4.152880096E1
3.764558980E-1,-6.063399792E0,4.069919968E1,-4.077239990E1
3.864556540E-1,-7.185800076E0,4.112619781E1,-4.223640060E1
3.964556550E-1,-6.624599934E0,4.105299759E1,-4.130920029E1
4.064439380E-1,-6.807600021E0,4.066259766E1,-4.180939865E1
4.164559020E-1,-6.807600021E0,4.066259766E1,-4.190699768E1
4.264441840E-1,-6.307399750E0,4.094319916E1,-4.199239731E1
