"Time (s)","Pressure (hPa)"
6.945782000E-2,1.015397339E3
8.943682600E-2,1.015388000E3
1.095432730E-1,1.015389832E3
1.294575820E-1,1.015383972E3
1.494741850E-1,1.015416016E3
1.698042650E-1,1.015392578E3
1.898450390E-1,1.015387207E3
2.102450410E-1,1.015371155E3
2.300923570E-1,1.015389160E3
2.502337170E-1,1.015401672E3
2.703357690E-1,1.015391907E3
2.894492970E-1,1.015376038E3
3.094368480E-1,1.015382996E3
3.294363610E-1,1.015406738E3
3.494363630E-1,1.015390625E3
3.694368540E-1,1.015383362E3
3.894363670E-1,1.015389465E3
4.094366140E-1,1.015394958E3
4.294363710E-1,1.015396057E3
4.494363730E-1,1.015387146E3
4.694732410E-1,1.015394409E3
4.895967780E-1,1.015376038E3
5.099053740E-1,1.015394531E3
5.298023480E-1,1.015376648E3
5.501888250E-1,1.015400452E3
5.701336510E-1,1.015391602E3
5.905336530E-1,1.015394287E3
6.103760870E-1,1.015396729E3
6.294527490E-1,1.015402832E3
6.494615400E-1,1.015390320E3
6.694368840E-1,1.015382874E3
6.894962120E-1,1.015379395E3
7.094368880E-1,1.015374023E3
7.294373780E-1,1.015386719E3
7.494364030E-1,1.015399841E3
7.694368940E-1,1.015377747E3
7.896141420E-1,1.015374390E3
8.094488610E-1,1.015387329E3
8.295313820E-1,1.015389160E3
8.498128780E-1,1.015399048E3
8.698114150E-1,1.015382263E3
8.902114170E-1,1.015408997E3
9.101051210E-1,1.015404358E3
9.302174270E-1,1.015377441E3
9.503697730E-1,1.015388733E3
9.694527830E-1,1.015389954E3
9.894605970E-1,1.015393372E3
1.009436918E0,1.015387756E3
1.029443023E0,1.015401917E3
1.049436189E0,1.015398987E3
1.069436191E0,1.015375061E3
1.089424230E0,1.015402527E3
1.109436684E0,1.015370972E3
1.129836686E0,1.015392944E3
1.149472576E0,1.015389160E3
1.169561445E0,1.015378845E3
1.189708420E0,1.015375244E3
1.209840258E0,1.015385071E3
1.230231862E0,1.015390320E3
1.250094901E0,1.015389099E3
1.270494903E0,1.015396606E3
1.290581721E0,1.015385742E3
1.309960873E0,1.015377197E3
1.329443786E0,1.015387756E3
1.349437440E0,1.015372803E3
1.369436954E0,1.015370178E3
1.389437200E0,1.015387329E3
1.409436469E0,1.015366821E3
1.429437204E0,1.015384338E3
1.449443798E0,1.015351196E3
1.469443311E0,1.015377197E3
1.489518020E0,1.015393616E3
1.509756792E0,1.015401123E3
1.529836384E0,1.015373901E3
1.549794394E0,1.015381653E3
1.570194396E0,1.015396729E3
1.590107874E0,1.015388794E3
1.610337124E0,1.015400391E3
1.630573943E0,1.015387512E3
1.649508515E0,1.015385803E3
1.669444064E0,1.015401917E3
1.689436986E0,1.015394592E3
1.709436988E0,1.015382874E3
1.729836990E0,1.015383972E3
1.749436748E0,1.015378845E3
1.769492414E0,1.015382874E3
1.789436507E0,1.015391785E3
1.809428697E0,1.015370972E3
1.829525379E0,1.015388550E3
1.849550283E0,1.015385071E3
1.869687736E0,1.015388428E3
1.889787592E0,1.015389832E3
1.910187594E0,1.015396057E3
1.930105467E0,1.015383667E3
1.950343994E0,1.015391602E3
1.970390627E0,1.015389160E3
1.989473881E0,1.015390503E3
2.009443365E0,1.015371582E3
2.029437020E0,1.015380249E3
2.049436778E0,1.015400146E3
2.069683606E0,1.015387329E3
2.089431655E0,1.015372620E3
2.109424576E0,1.015381592E3
2.129437274E0,1.015377197E3
2.149578145E0,1.015397644E3
2.169543723E0,1.015375244E3
2.189564233E0,1.015377441E3
2.209828395E0,1.015381470E3
2.229741483E0,1.015401978E3
2.250141485E0,1.015391846E3
2.270151399E0,1.015381836E3
2.290321079E0,1.015385254E3
2.310414831E0,1.015396606E3
2.330580848E0,1.015383545E3
2.349443399E0,1.015389954E3
2.369436565E0,1.015387451E3
2.389436812E0,1.015390259E3
2.409437302E0,1.015392944E3
2.429436571E0,1.015381470E3
2.449437306E0,1.015382141E3
2.469437064E0,1.015392578E3
2.489425591E0,1.015387695E3
2.509580622E0,1.015377747E3
2.529570370E0,1.015402100E3
2.549751769E0,1.015387329E3
2.569798890E0,1.015389099E3
2.590198892E0,1.015401733E3
2.610167791E0,1.015394836E3
2.630354316E0,1.015390564E3
2.650428781E0,1.015382812E3
2.670639720E0,1.015396057E3
2.689434644E0,1.015390320E3
2.709436355E0,1.015386963E3
2.729436357E0,1.015387146E3
2.749437336E0,1.015395020E3
2.769451254E0,1.015406128E3
2.789438072E0,1.015388550E3
2.809454432E0,1.015385071E3
2.829425381E0,1.015391907E3
2.849825383E0,1.015397644E3
2.869573334E0,1.015386963E3
2.889835543E0,1.015392944E3
2.909777440E0,1.015372620E3
2.930177442E0,1.015369507E3
2.950148537E0,1.015403687E3
2.970328715E0,1.015376526E3
2.990455182E0,1.015397278E3
3.010594833E0,1.015392334E3
3.029426866E0,1.015396240E3
3.049436389E0,1.015406494E3
3.069451772E0,1.015398132E3
3.089436882E0,1.015396790E3
3.109436151E0,1.015402649E3
3.129436886E0,1.015396606E3
3.149424680E0,1.015387146E3
3.169424682E0,1.015398499E3
3.189596315E0,1.015399719E3
3.209948856E0,1.015371338E3
3.229737921E0,1.015399841E3
3.249817024E0,1.015361267E3
3.270217026E0,1.015380737E3
3.290115857E0,1.015365967E3
3.310325087E0,1.015392578E3
3.330656144E0,1.015385803E3
3.350639300E0,1.015370178E3
3.369458638E0,1.015376648E3
3.389437156E0,1.015365234E3
3.409437158E0,1.015364319E3
3.429437160E0,1.015365112E3
3.449437650E0,1.015380066E3
3.469437408E0,1.015363037E3
3.489436922E0,1.015358459E3
3.509424716E0,1.015356995E3
3.529578039E0,1.015359070E3
3.549686195E0,1.015370117E3
3.569849771E0,1.015366333E3
3.589834881E0,1.015359619E3
3.610234883E0,1.015374634E3
3.630142746E0,1.015376038E3
3.650351977E0,1.015368774E3
3.670469410E0,1.015366882E3
3.690621024E0,1.015367920E3
3.709479180E0,1.015397644E3
3.729437190E0,1.015379395E3
3.749436948E0,1.015395020E3
3.769436950E0,1.015375427E3
3.789436952E0,1.015375732E3
3.809441836E0,1.015385559E3
3.829437688E0,1.015392639E3
3.849530952E0,1.015390564E3
3.869570260E0,1.015387329E3
3.889591747E0,1.015382690E3
3.909807081E0,1.015421875E3
3.929875930E0,1.015396240E3
3.950275932E0,1.015393677E3
3.970181354E0,1.015401123E3
3.990371542E0,1.015386353E3
4.010771544E0,1.015392822E3
4.030658899E0,1.015382263E3
4.049446987E0,1.015398865E3
4.069436980E0,1.015399048E3
4.089437470E0,1.015379700E3
4.109437716E0,1.015383057E3
4.129436253E0,1.015382996E3
4.149436988E0,1.015383057E3
4.169437234E0,1.015378113E3
4.189483378E0,1.015369202E3
4.209883380E0,1.015390320E3
4.229578353E0,1.015372131E3
4.249829820E0,1.015388123E3
