"Time (s)","Temperature (°C)"
6.571367900E-2,3.133984375E1
8.360534300E-2,3.134765625E1
1.014993260E-1,3.132421875E1
1.193936150E-1,3.136328125E1
1.372879650E-1,3.132421875E1
1.551819490E-1,3.136328125E1
1.730762380E-1,3.132421875E1
1.909690620E-1,3.140625000E1
2.088538290E-1,3.136328125E1
2.267617900E-1,3.134765625E1
2.446533940E-1,3.139062500E1
2.625475000E-1,3.140625000E1
2.804416660E-1,3.136328125E1
2.983394340E-1,3.136328125E1
3.162181590E-1,3.137109375E1
3.341244110E-1,3.138281250E1
3.520186390E-1,3.136328125E1
3.699126830E-1,3.139062500E1
3.878064230E-1,3.136328125E1
4.057013830E-1,3.139843750E1
4.235955500E-1,3.134765625E1
4.414747020E-1,3.137109375E1
4.593838830E-1,3.139062500E1
4.772784780E-1,3.133984375E1
4.951725230E-1,3.135546875E1
5.130667510E-1,3.129687500E1
5.309611000E-1,3.136718750E1
5.488431210E-1,3.132421875E1
5.667346030E-1,3.140625000E1
5.846439060E-1,3.137109375E1
6.025379510E-1,3.139843750E1
6.204321780E-1,3.139062500E1
6.383311670E-1,3.140625000E1
6.562207570E-1,3.134765625E1
6.741148620E-1,3.137109375E1
6.919938330E-1,3.139062500E1
7.099032570E-1,3.137109375E1
7.277977290E-1,3.139062500E1
7.456918350E-1,3.138281250E1
7.635860630E-1,3.137109375E1
7.814832810E-1,3.136328125E1
7.993743350E-1,3.137109375E1
8.172689290E-1,3.135546875E1
8.351632790E-1,3.138281250E1
8.530575680E-1,3.138281250E1
8.709516120E-1,3.141406250E1
8.888337560E-1,3.139062500E1
9.067435470E-1,3.138281250E1
9.246344800E-1,3.139062500E1
9.425285250E-1,3.139062500E1
9.604227520E-1,3.142968750E1
9.783168580E-1,3.138281250E1
9.962113300E-1,3.137109375E1
1.014105619E0,3.138281250E1
1.031999908E0,3.144140625E1
1.049894013E0,3.136718750E1
1.067785129E0,3.143359375E1
1.085682530E0,3.142578125E1
1.103577247E0,3.139843750E1
1.121461037E0,3.140625000E1
1.139353984E0,3.138281250E1
1.157247723E0,3.139062500E1
1.175154036E0,3.140625000E1
1.193048020E0,3.141406250E1
1.210942369E0,3.141406250E1
1.228828053E0,3.139062500E1
1.246730886E0,3.140625000E1
1.264625175E0,3.139843750E1
1.282519465E0,3.141406250E1
1.300413692E0,3.139843750E1
1.318311094E0,3.142187500E1
1.336205078E0,3.136328125E1
1.354096681E0,3.140625000E1
1.371990665E0,3.142968750E1
1.389884770E0,3.142968750E1
1.407779364E0,3.142968750E1
1.425676461E0,3.139843750E1
1.443567881E0,3.141406250E1
1.461461803E0,3.144921875E1
1.479343946E0,3.141015625E1
1.497250748E0,3.142968750E1
1.515144732E0,3.141406250E1
1.533039082E0,3.141406250E1
1.550933370E0,3.142968750E1
1.568815696E0,3.137109375E1
1.586721643E0,3.142968750E1
1.604602321E0,3.139062500E1
1.622498563E0,3.139062500E1
1.640404509E0,3.144921875E1
1.658302034E0,3.142578125E1
1.676193087E0,3.142187500E1
1.694087743E0,3.141406250E1
1.711979713E0,3.142187500E1
1.729871499E0,3.143359375E1
1.747770243E0,3.141796875E1
1.765667279E0,3.142968750E1
1.783558882E0,3.141406250E1
1.801453048E0,3.141406250E1
1.819350511E0,3.141406250E1
1.837241748E0,3.140625000E1
1.855126516E0,3.143359375E1
1.873029961E0,3.141015625E1
1.890924615E0,3.142968750E1
1.908806636E0,3.142187500E1
1.926712888E0,3.141406250E1
1.944607238E0,3.142968750E1
1.962501527E0,3.140625000E1
1.980395510E0,3.142968750E1
1.998294072E0,3.140625000E1
2.016184393E0,3.141406250E1
2.034078683E0,3.143359375E1
2.051972728E0,3.141796875E1
2.069864026E0,3.142968750E1
2.087761488E0,3.144140625E1
2.105658463E0,3.142578125E1
2.123549822E0,3.144140625E1
2.141441303E0,3.142578125E1
2.159338399E0,3.142968750E1
2.177232749E0,3.145703125E1
2.195127283E0,3.144531250E1
2.213019619E0,3.144531250E1
2.230897488E0,3.144531250E1
2.248797698E0,3.146875000E1
2.266705842E0,3.144531250E1
2.284598422E0,3.144531250E1
2.302492711E0,3.142578125E1
2.320386999E0,3.144921875E1
2.338281410E0,3.145312500E1
2.356175333E0,3.143750000E1
2.374069866E0,3.144531250E1
2.391963972E0,3.144531250E1
2.409858016E0,3.144531250E1
2.427752306E0,3.142968750E1
2.445649708E0,3.143750000E1
2.463541128E0,3.143750000E1
2.481435599E0,3.142968750E1
2.499329583E0,3.146093750E1
2.517224055E0,3.143750000E1
2.535118466E0,3.144531250E1
2.553014770E0,3.141796875E1
2.570903748E0,3.143359375E1
2.588789187E0,3.144531250E1
2.606696355E0,3.142968750E1
2.624583014E0,3.145312500E1
2.642483956E0,3.141796875E1
2.660378488E0,3.144921875E1
2.678272594E0,3.144531250E1
2.696166822E0,3.142578125E1
2.714046403E0,3.146484375E1
2.731955401E0,3.146875000E1
2.749849750E0,3.145312500E1
2.767743917E0,3.143750000E1
2.785641197E0,3.146875000E1
2.803532556E0,3.145312500E1
2.821426844E0,3.142968750E1
2.839321072E0,3.142578125E1
2.857215483E0,3.147265625E1
2.875109711E0,3.146875000E1
2.893004490E0,3.144531250E1
2.910898594E0,3.146093750E1
2.928780371E0,3.149218750E1
2.946683938E0,3.145312500E1
2.964581461E0,3.144531250E1
2.982478802E0,3.143750000E1
3.000369916E0,3.143750000E1
3.018264022E0,3.145312500E1
3.036158617E0,3.143750000E1
3.054052600E0,3.146093750E1
3.071949942E0,3.146875000E1
3.089840995E0,3.147656250E1
3.107735528E0,3.148437500E1
3.125632686E0,3.145312500E1
3.143512143E0,3.149218750E1
3.161418516E0,3.145312500E1
3.179312866E0,3.146093750E1
3.197207217E0,3.146093750E1
3.215089604E0,3.145312500E1
3.232995551E0,3.146875000E1
3.250890083E0,3.145312500E1
3.268777536E0,3.145312500E1
3.286675366E0,3.146875000E1
3.304572889E0,3.146093750E1
3.322467178E0,3.146875000E1
3.340361405E0,3.145312500E1
3.358255816E0,3.144531250E1
3.376147116E0,3.146875000E1
3.394044334E0,3.146875000E1
3.411938684E0,3.145312500E1
3.429833216E0,3.146093750E1
3.447727200E0,3.143750000E1
3.465624480E0,3.150000000E1
3.483516022E0,3.146093750E1
3.501410127E0,3.146875000E1
3.519304600E0,3.147656250E1
3.537199011E0,3.151171875E1
3.555093239E0,3.151171875E1
3.572987223E0,3.146093750E1
3.590884502E0,3.145312500E1
3.608777997E0,3.148437500E1
3.626667160E0,3.144531250E1
3.644564867E0,3.152734375E1
3.662458972E0,3.149218750E1
3.680353200E0,3.146093750E1
3.698247550E0,3.145312500E1
3.716128656E0,3.145312500E1
3.734036128E0,3.145312500E1
3.751930661E0,3.145312500E1
3.769824705E0,3.146875000E1
3.787719177E0,3.147656250E1
3.805613528E0,3.147656250E1
3.823507817E0,3.149218750E1
3.841402044E0,3.147656250E1
3.859296333E0,3.146093750E1
3.877190683E0,3.150000000E1
3.895084667E0,3.148437500E1
