"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.332636800E-2,-8.673982024E-1,1.617548108E0,9.530014038E0
2.556295500E-2,-8.291130662E-1,1.625923038E0,9.597013474E0
2.779954200E-2,-8.153542876E-1,1.610967875E0,9.649655342E0
3.003612900E-2,-7.728816867E-1,1.610369682E0,9.731011391E0
3.226106900E-2,-7.351947427E-1,1.633101463E0,9.807581902E0
3.449801200E-2,-6.873382926E-1,1.622931957E0,9.822537422E0
3.673678500E-2,-6.538388133E-1,1.640878081E0,9.870393753E0
3.898129200E-2,-6.346961856E-1,1.645663738E0,9.894321442E0
4.120657300E-2,-5.928218365E-1,1.620539188E0,9.957133293E0
4.344375500E-2,-5.928218365E-1,1.620539188E0,9.981060982E0
4.567922900E-2,-5.886343718E-1,1.596610904E0,1.001456070E1
4.792037900E-2,-6.520441771E-1,1.563709617E0,1.006122112E1
5.015426500E-2,-6.227321029E-1,1.582253933E0,1.009053326E1
5.239053300E-2,-5.796613097E-1,1.562513232E0,1.005703354E1
5.462533400E-2,-5.024927258E-1,1.580459356E0,1.002951622E1
5.686282300E-2,-4.552344978E-1,1.546959877E0,9.987043381E0
5.909927300E-2,-3.978067636E-1,1.531406522E0,9.958928108E0
6.133590600E-2,-3.690928817E-1,1.507478237E0,9.921240807E0
6.357247800E-2,-3.738785386E-1,1.473978758E0,9.882955551E0
6.580917300E-2,-3.643072546E-1,1.464407444E0,9.859027863E0
6.804568400E-2,-3.780659735E-1,1.445863128E0,9.783055305E0
7.028341600E-2,-3.876372576E-1,1.422533035E0,9.730413437E0
7.251901200E-2,-4.163511395E-1,1.408774376E0,9.677771568E0
7.475668200E-2,-4.636093974E-1,1.405185103E0,9.629316330E0
7.699203400E-2,-4.875376225E-1,1.391426325E0,9.581459999E0
7.922927800E-2,-4.971089065E-1,1.391426325E0,9.557532310E0
8.146511800E-2,-5.491527915E-1,1.402194023E0,9.504889488E0
8.370327700E-2,-5.922235847E-1,1.412363529E0,9.489934921E0
8.594326700E-2,-6.209374666E-1,1.427318692E0,9.522835732E0
8.817660400E-2,-6.681957245E-1,1.447059512E0,9.527621269E0
9.041311600E-2,-7.256234884E-1,1.462014675E0,9.531808853E0
9.264785600E-2,-7.537391186E-1,1.486541033E0,9.473783493E0
9.488632100E-2,-7.728816867E-1,1.501496196E0,9.478569031E0
9.712289400E-2,-7.824530005E-1,1.511067510E0,9.507282257E0
9.935879400E-2,-8.009973764E-1,1.515853167E0,9.478569031E0
1.015944510E-1,-7.962117195E-1,1.506281853E0,9.468997002E0
1.038315730E-1,-7.812566161E-1,1.530210137E0,9.435498238E0
1.060693660E-1,-7.860422134E-1,1.535593987E0,9.416355133E0
1.083044730E-1,-7.956135273E-1,1.516451359E0,9.411569595E0
1.105411060E-1,-7.956135273E-1,1.535593987E0,9.387641907E0
1.127767630E-1,-7.812566161E-1,1.502094388E0,9.388239861E0
1.150137630E-1,-7.860422134E-1,1.521237016E0,9.387641907E0
1.172522880E-1,-8.147560954E-1,1.545165181E0,9.401998520E0
1.194917900E-1,-7.956135273E-1,1.535593987E0,9.421140671E0
1.217236620E-1,-7.902296782E-1,1.554736495E0,9.387641907E0
1.239621880E-1,-7.806583643E-1,1.569093466E0,9.401998520E0
1.261967460E-1,-7.525427341E-1,1.534995675E0,9.412167549E0
1.284346610E-1,-7.423732281E-1,1.568495274E0,9.402596474E0
1.306705010E-1,-7.136593461E-1,1.553540111E0,9.388239861E0
1.329067070E-1,-6.711867452E-1,1.533799291E0,9.393623352E0
1.351430350E-1,-6.370890141E-1,1.542772412E0,9.375079155E0
1.373804010E-1,-6.083751321E-1,1.547558069E0,9.355937004E0
1.396166070E-1,-5.796613097E-1,1.527817249E0,9.327820778E0
1.418540950E-1,-5.551348329E-1,1.546361685E0,9.332606316E0
1.440896900E-1,-5.503492355E-1,1.527817249E0,9.285347939E0
1.463265680E-1,-5.264210105E-1,1.532004714E0,9.304491043E0
1.485630790E-1,-5.359922647E-1,1.541576028E0,9.280562401E0
1.507990410E-1,-5.455635786E-1,1.527219057E0,9.294919968E0
1.530370170E-1,-5.407779217E-1,1.532602906E0,9.275776863E0
1.552722470E-1,-5.599204898E-1,1.523031592E0,9.280562401E0
1.575098560E-1,-5.647061467E-1,1.518245935E0,9.294321060E0
1.597480770E-1,-5.748756528E-1,1.518245935E0,9.303893089E0
1.619818410E-1,-5.796613097E-1,1.494317770E0,9.323035240E0
1.642201220E-1,-5.844469070E-1,1.508674622E0,9.342177391E0
1.664573670E-1,-5.659025311E-1,1.503290772E0,9.375677109E0
1.686925960E-1,-5.706881881E-1,1.498505235E0,9.399605751E0
1.709291680E-1,-5.617151260E-1,1.488933921E0,9.433105469E0
1.731669000E-1,-5.521438122E-1,1.479362607E0,9.428318977E0
1.754051810E-1,-5.383850932E-1,1.459621787E0,9.461818695E0
1.776391290E-1,-5.437689424E-1,1.406979680E0,9.471389771E0
1.798738090E-1,-5.294120312E-1,1.430907965E0,9.485747337E0
1.821104420E-1,-5.341976285E-1,1.426122308E0,9.480961800E0
1.843475640E-1,-5.150550604E-1,1.415952802E0,9.480961800E0
1.865845020E-1,-5.485545993E-1,1.421336651E0,9.476176262E0
1.888206470E-1,-5.485545993E-1,1.397408366E0,9.461818695E0
1.910570370E-1,-5.629115105E-1,1.412363529E0,9.437891006E0
1.932940970E-1,-5.820540786E-1,1.417149186E0,9.433105469E0
1.955343930E-1,-5.718846321E-1,1.412363529E0,9.394820213E0
1.977817060E-1,-5.766702294E-1,1.403390527E0,9.385248184E0
2.000180350E-1,-5.808576941E-1,1.422533035E0,9.346963882E0
2.022546070E-1,-5.760720372E-1,1.408176184E0,9.323035240E0
2.044884940E-1,-5.952146053E-1,1.418345571E0,9.294321060E0
2.067250660E-1,-5.808576941E-1,1.413560033E0,9.294919968E0
2.089614550E-1,-5.760720372E-1,1.408774376E0,9.280562401E0
2.111986990E-1,-5.324030519E-1,1.427318692E0,9.261420250E0
2.134356990E-1,-5.515456200E-1,1.422533035E0,9.247062683E0
