"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.332636800E-2,-6.750060618E-2,-2.593123019E-1,1.437060535E-1
2.556295500E-2,-8.200865984E-2,-2.432770878E-1,1.485929638E-1
2.779954200E-2,-9.147707373E-2,-2.272418737E-1,1.485929638E-1
3.003612900E-2,-1.021672115E-1,-2.064724565E-1,1.472185254E-1
3.226106900E-2,-1.091921628E-1,-1.928807050E-1,1.459967941E-1
3.449801200E-2,-1.149953827E-1,-1.734857261E-1,1.461495161E-1
3.673678500E-2,-1.171334088E-1,-1.576032341E-1,1.424843222E-1
3.898129200E-2,-1.168279797E-1,-1.418734491E-1,1.351539344E-1
4.120657300E-2,-1.165225431E-1,-1.284344196E-1,1.304197311E-1
4.344375500E-2,-1.111774743E-1,-1.104138941E-1,1.255328059E-1
4.567922900E-2,-1.072068512E-1,-9.834930301E-2,1.195768714E-1
4.792037900E-2,-9.941831976E-2,-8.384125680E-2,1.136209369E-1
5.015426500E-2,-8.918632567E-2,-6.475171447E-2,1.101084575E-1
5.239053300E-2,-8.032877743E-2,-5.390885845E-2,1.027780771E-1
5.462533400E-2,-7.131851465E-2,-3.833179548E-2,9.804387391E-2
5.686282300E-2,-6.490442902E-2,-2.748893574E-2,8.964447677E-2
5.909927300E-2,-5.482515693E-2,-1.679879427E-2,8.613199741E-2
6.133590600E-2,-4.352414981E-2,-9.773843922E-3,7.757988572E-2
6.357247800E-2,-4.214970022E-2,-7.330383174E-3,6.780604273E-2
6.580917300E-2,-3.588833287E-2,-3.817907767E-3,6.307183951E-2
6.804568400E-2,-2.977968007E-2,-5.192354787E-3,5.329799280E-2
7.028341600E-2,-2.474004216E-2,-4.123340361E-3,4.841107130E-2
7.251901200E-2,-1.985312067E-2,-6.566801574E-3,4.108068720E-2
7.475668200E-2,-2.229658142E-2,-1.023199316E-2,3.375030309E-2
7.699203400E-2,-2.351831272E-2,-1.496619824E-2,2.764165215E-2
7.922927800E-2,-2.733621933E-2,-1.740965992E-2,2.504547499E-2
8.146511800E-2,-2.977968007E-2,-1.970040426E-2,2.260201424E-2
8.370327700E-2,-3.344487399E-2,-1.603521220E-2,2.138028294E-2
8.594326700E-2,-3.466660157E-2,-1.847867295E-2,2.138028294E-2
8.817660400E-2,-3.344487399E-2,-1.847867295E-2,2.015855350E-2
9.041311600E-2,-3.222314268E-2,-2.092213556E-2,2.015855350E-2
9.264785600E-2,-3.481931984E-2,-2.565634064E-2,2.504547499E-2
9.488632100E-2,-3.497203439E-2,-2.809980139E-2,2.626720630E-2
9.712289400E-2,-3.130684420E-2,-2.947424725E-2,3.237585723E-2
9.935879400E-2,-3.023782931E-2,-3.665191308E-2,3.481931984E-2
1.015944510E-1,-2.779436857E-2,-3.802636266E-2,3.726277873E-2
1.038315730E-1,-2.428189293E-2,-4.291328415E-2,3.970624134E-2
1.060693660E-1,-2.199114859E-2,-4.902193695E-2,4.337143153E-2
1.083044730E-1,-1.970040426E-2,-5.879577994E-2,4.459316283E-2
1.105411060E-1,-1.725694351E-2,-6.490442902E-2,4.214970022E-2
1.127767630E-1,-1.511891466E-2,-7.467827946E-2,4.581489414E-2
1.150137630E-1,-1.771509275E-2,-8.674286306E-2,4.688390717E-2
1.172522880E-1,-1.298088674E-2,-9.407325089E-2,4.688390717E-2
1.194917900E-1,-6.872233935E-3,-9.666942805E-2,4.581489414E-2
1.217236620E-1,-5.803219974E-3,-1.052215397E-1,4.703662544E-2
1.239621880E-1,-5.955935922E-3,-1.099557430E-1,4.444044828E-2
1.261967460E-1,1.527163113E-4,-1.125519201E-1,4.581489414E-2
1.284346610E-1,3.817907767E-3,-1.137736514E-1,4.337143153E-2
1.306705010E-1,5.039638374E-3,-1.174388453E-1,4.337143153E-2
1.329067070E-1,6.261368748E-3,-1.163698286E-1,4.337143153E-2
1.351430350E-1,7.635815535E-3,-1.114829108E-1,4.092797264E-2
1.373804010E-1,3.970623948E-3,-1.125519201E-1,3.970624134E-2
1.396166070E-1,7.483099122E-3,-1.163698286E-1,3.726277873E-2
1.418540950E-1,6.261368748E-3,-1.186605766E-1,3.481931984E-2
1.440896900E-1,2.596177394E-3,-1.186605766E-1,2.977968007E-2
1.463265680E-1,1.527163084E-3,-1.149953827E-1,2.611448988E-2
1.485630790E-1,-4.734205548E-3,-1.185078546E-1,2.000583708E-2
