"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.670939300E-2,2.777939987E1,1.134599924E0,-2.653499985E1
4.675939300E-2,2.758419991E1,1.036999941E0,-2.676679993E1
5.680939300E-2,2.747439957E1,1.012599945E0,-2.697419930E1
6.685939300E-2,2.729139900E1,8.661999702E-1,-2.693759918E1
7.690939300E-2,2.724259949E1,5.367999673E-1,-2.659599876E1
8.695939300E-2,2.738899994E1,1.232200027E0,-2.638859940E1
9.700939300E-2,2.734020042E1,1.207800031E0,-2.666919899E1
1.070593930E-1,2.734020042E1,1.207800031E0,-2.671800041E1
1.171093930E-1,2.747439957E1,9.882000089E-1,-2.622999954E1
1.271593930E-1,2.752319908E1,6.953999996E-1,-2.679119873E1
1.372093930E-1,2.727919960E1,2.683999836E-1,-2.655939865E1
1.472593930E-1,2.724259949E1,7.319999933E-1,-2.653499985E1
1.573093930E-1,2.788920021E1,5.733999610E-1,-2.682779884E1
1.673593930E-1,2.734020042E1,7.807999849E-1,-2.674239922E1
1.774093930E-1,2.727919960E1,8.783999681E-1,-2.740119934E1
1.874593930E-1,2.674239922E1,6.710000038E-1,-2.660820007E1
1.975093930E-1,2.652279854E1,9.393999577E-1,-2.734020042E1
2.075593930E-1,2.631539917E1,1.146799922E0,-2.737679863E1
2.176093930E-1,2.647399902E1,1.158999920E0,-2.797459984E1
2.276593930E-1,2.590060043E1,8.417999744E-1,-2.799899864E1
2.377093930E-1,2.568099976E1,1.183400035E0,-2.862119865E1
2.477593930E-1,2.529059982E1,9.882000089E-1,-2.827960014E1
2.578093930E-1,2.491239929E1,6.344000101E-1,-2.859679985E1
2.678593930E-1,2.435120010E1,1.146799922E0,-2.858459854E1
2.779093930E-1,2.446100044E1,9.637999535E-1,-2.926779938E1
2.879593930E-1,2.397299957E1,9.271999598E-1,-2.964599991E1
2.980093930E-1,2.388759995E1,7.685999870E-1,-2.907259941E1
3.080593930E-1,2.380220032E1,9.027999640E-1,-2.918239975E1
3.181093930E-1,2.300919914E1,1.171200037E0,-2.924339867E1
3.281593930E-1,2.326539993E1,1.122399926E0,-2.904819870E1
3.382093930E-1,2.261879921E1,1.000399947E0,-2.986559868E1
3.482593930E-1,2.182579994E1,1.598199964E0,-2.936540031E1
3.583093930E-1,2.141099930E1,1.207800031E0,-2.996319962E1
3.683593930E-1,2.004459953E1,1.415199995E0,-3.017059898E1
3.784093930E-1,1.947119904E1,1.171200037E0,-3.020719910E1
3.884593930E-1,1.871479988E1,1.829999924E0,-3.025599861E1
3.985093930E-1,1.729960060E1,2.037400007E0,-3.060980034E1
4.085593930E-1,1.590880013E1,1.964200020E0,-3.031699944E1
4.186093930E-1,1.498159981E1,2.037400007E0,-3.006079865E1
4.286593930E-1,1.306619930E1,1.683599949E0,-2.946299934E1
4.387093930E-1,1.209019947E1,1.842199922E0,-2.888959885E1
4.487593930E-1,1.101659966E1,1.488399982E0,-2.890180016E1
4.588093930E-1,1.046759987E1,1.659199953E0,-2.787699890E1
4.688593930E-1,9.076799393E0,2.500999928E0,-2.627879906E1
4.789093930E-1,8.356999397E0,2.171599865E0,-2.641300011E1
4.889593930E-1,7.832399845E0,2.171599865E0,-2.548579979E1
4.990093930E-1,7.161399841E0,2.879199982E0,-2.568099976E1
5.090593930E-1,6.636799812E0,3.098799944E0,-2.503439903E1
5.191093930E-1,5.587599754E0,3.269599915E0,-2.555900002E1
5.291593930E-1,5.660799980E0,2.988999844E0,-2.565659904E1
5.392093930E-1,4.550600052E0,3.513599873E0,-2.681559944E1
5.492593930E-1,3.745399952E0,3.977200031E0,-2.668140030E1
5.593093930E-1,3.733199835E0,4.648200035E0,-2.649839973E1
5.693593930E-1,1.402999997E0,5.087399960E0,-2.681559944E1
5.793891290E-1,4.391999841E-1,5.819399834E0,-2.747439957E1
5.893749690E-1,-1.110199928E0,6.270800114E0,-2.786479950E1
5.993891290E-1,-2.781599998E0,6.539199829E0,-2.785260010E1
6.093742370E-1,-4.416399956E0,6.978399754E0,-2.884079933E1
6.193886410E-1,-6.966199875E0,7.332200050E0,-2.865779877E1
6.293888850E-1,-8.442399979E0,7.698199749E0,-2.843820000E1
6.393891290E-1,-1.044320011E1,8.369199753E0,-2.693759918E1
6.493891290E-1,-1.334679985E1,8.600999832E0,-2.818199921E1
6.593888850E-1,-1.522559929E1,7.929999828E0,-2.764519882E1
6.693888850E-1,-1.732399940E1,8.125200272E0,-2.633979988E1
6.793774100E-1,-2.016659927E1,7.905600071E0,-2.616899872E1
6.893774100E-1,-2.165499878E1,8.283800125E0,-2.543700027E1
6.993774100E-1,-2.266759872E1,8.295999527E0,-2.448539925E1
7.093786310E-1,-2.394859886E1,8.479000092E0,-2.414379883E1
7.193769220E-1,-2.505879974E1,8.771800041E0,-2.328979874E1
7.293888850E-1,-2.587619972E1,9.064599991E0,-2.224059868E1
7.393771660E-1,-2.637639999E1,8.979199409E0,-2.195999908E1
7.493791190E-1,-2.768179893E1,9.930799484E0,-2.072780037E1
7.593771660E-1,-2.856019974E1,9.918600082E0,-2.087419891E1
7.693888850E-1,-2.838939857E1,1.050419998E1,-2.027639961E1
7.793769220E-1,-2.959719849E1,1.202919960E1,-1.916619873E1
7.893888850E-1,-2.959719849E1,1.202919960E1,-1.916619873E1
7.993891290E-1,-2.982899857E1,1.223659992E1,-1.798279953E1
8.093891290E-1,-2.993879890E1,1.356639957E1,-1.761680031E1
8.193888850E-1,-2.956060028E1,1.349319935E1,-1.699460030E1
8.293854670E-1,-2.967039871E1,1.548180008E1,-1.665299988E1
8.393739920E-1,-2.967039871E1,1.548180008E1,-1.665299988E1
8.493776550E-1,-2.937759972E1,1.633580017E1,-1.665299988E1
8.593735040E-1,-2.938979912E1,1.625040054E1,-1.625040054E1
8.693774100E-1,-2.831620026E1,1.673839951E1,-1.581120014E1
8.793847350E-1,-2.880419922E1,1.738500023E1,-1.605520058E1
8.893771660E-1,-2.853579903E1,1.788520050E1,-1.525000000E1
8.993891290E-1,-2.791359901E1,1.805599976E1,-1.633580017E1
9.093769220E-1,-2.799899864E1,1.766559982E1,-1.662859917E1
9.193891290E-1,-2.726700020E1,1.779979897E1,-1.518900013E1
9.293720390E-1,-2.727919960E1,1.866600037E1,-1.451799965E1
9.393888850E-1,-2.819419861E1,1.848299980E1,-1.374940014E1
9.493908380E-1,-2.818199921E1,1.933699989E1,-1.387139988E1
9.593888850E-1,-2.816979980E1,1.950779915E1,-1.437160015E1
9.693969420E-1,-2.827960014E1,1.970299911E1,-1.407880020E1
9.793891290E-1,-2.846259880E1,1.978839874E1,-1.439599991E1
9.893888850E-1,-2.836499977E1,1.978839874E1,-1.439599991E1
9.993888850E-1,-2.826739883E1,1.980060005E1,-1.418859959E1
1.009389129E0,-2.846259880E1,2.026420021E1,-1.440819931E1
