"Time (s)","Pressure (hPa)"
6.163497900E-2,1.003021973E3
8.064987100E-2,1.003052673E3
1.008354180E-1,1.003027100E3
1.206852720E-1,1.003019226E3
1.407030940E-1,1.003016907E3
1.609530940E-1,1.003060120E3
1.809736020E-1,1.003022522E3
2.010849300E-1,1.003015320E3
2.212575370E-1,1.003028870E3
2.413398130E-1,1.003021362E3
2.614662780E-1,1.003039062E3
2.816081230E-1,1.003010132E3
3.006857600E-1,1.003031677E3
3.206833190E-1,1.003031189E3
3.406838070E-1,1.003027100E3
3.606828300E-1,1.003029175E3
3.806833190E-1,1.003046753E3
4.010212090E-1,1.003013245E3
4.207026060E-1,1.003025879E3
4.406833190E-1,1.003034058E3
4.606735530E-1,1.003080261E3
4.807333670E-1,1.003096313E3
5.008183280E-1,1.003095703E3
5.209098810E-1,1.003102844E3
5.411872250E-1,1.003123840E3
5.611799010E-1,1.003143127E3
5.813300470E-1,1.003122620E3
6.014665220E-1,1.003086792E3
6.215905450E-1,1.003118469E3
6.407001640E-1,1.003099854E3
6.607065120E-1,1.003042358E3
6.806947930E-1,1.003066650E3
7.006835630E-1,1.003086548E3
7.206833190E-1,1.003082520E3
7.406828300E-1,1.003064148E3
7.606835630E-1,1.003027649E3
7.806833190E-1,1.003004639E3
8.006745300E-1,1.003023987E3
8.207091970E-1,1.003041809E3
8.411091970E-1,1.003028076E3
8.615091970E-1,1.003018677E3
8.817282400E-1,1.003068542E3
9.012218930E-1,1.003054077E3
9.212951350E-1,1.003040222E3
9.414018240E-1,1.003053040E3
9.618018240E-1,1.003052063E3
9.817275080E-1,1.003044495E3
1.000688446E0,1.003063110E3
1.020719696E0,1.003040710E3
1.040666229E0,1.003063049E3
1.060670135E0,1.003044373E3
1.080685028E0,1.003047058E3
1.100682830E0,1.003065430E3
1.120682830E0,1.003069153E3
1.140686004E0,1.003065796E3
1.160730926E0,1.003032776E3
1.181130926E0,1.003054138E3
1.200810760E0,1.003028503E3
1.220949676E0,1.003042542E3
1.241098113E0,1.003036987E3
1.261222869E0,1.003037903E3
1.281375213E0,1.003050171E3
1.301485321E0,1.003018555E3
1.321659393E0,1.003017944E3
1.340677215E0,1.003059570E3
1.360651336E0,1.003044373E3
1.381005340E0,1.003061707E3
1.400672088E0,1.003076660E3
1.420670623E0,1.003064636E3
1.440741668E0,1.003032227E3
1.460872772E0,1.003026978E3
1.480687713E0,1.003028198E3
1.500693572E0,1.003038208E3
1.520683074E0,1.003031433E3
1.540759246E0,1.003065735E3
1.561159246E0,1.003044006E3
1.581134490E0,1.003046021E3
1.601182586E0,1.003011414E3
1.621303436E0,1.003032776E3
1.641436004E0,1.003016174E3
1.661610565E0,1.003032227E3
1.680721160E0,1.003044922E3
1.700707977E0,1.003018433E3
1.720683074E0,1.003030151E3
1.740683563E0,1.003054688E3
1.760682830E0,1.003058838E3
1.780678924E0,1.003043396E3
1.800683074E0,1.003059021E3
1.820682830E0,1.003088501E3
1.840881805E0,1.003077026E3
1.860690643E0,1.003052185E3
1.880722869E0,1.003074097E3
1.900913299E0,1.003080139E3
1.921062957E0,1.003088928E3
1.941190887E0,1.003085632E3
1.961590887E0,1.003109375E3
1.981404022E0,1.003113464E3
2.001789276E0,1.003137146E3
2.020681854E0,1.003105103E3
2.040675018E0,1.003102112E3
2.060808563E0,1.003086670E3
2.080657928E0,1.003069519E3
2.100653045E0,1.003076965E3
2.120650604E0,1.003035217E3
2.140649383E0,1.003016602E3
2.160718719E0,1.002992676E3
2.180834930E0,1.002989563E3
2.200709442E0,1.002995667E3
2.220806365E0,1.003026978E3
2.241146453E0,1.003032532E3
2.261176238E0,1.003033020E3
2.281157440E0,1.003017395E3
2.301390350E0,1.003004211E3
2.321425018E0,1.002979065E3
2.341727020E0,1.002986511E3
2.361682342E0,1.002963196E3
2.380681365E0,1.003018860E3
2.400655975E0,1.003061096E3
2.420683074E0,1.003091980E3
2.440683319E0,1.003140625E3
2.460759979E0,1.003114258E3
2.480683074E0,1.003095032E3
2.500809295E0,1.003110962E3
2.520968719E0,1.003111938E3
2.540720916E0,1.003110352E3
2.560700897E0,1.003118896E3
2.580901580E0,1.003088379E3
2.601147674E0,1.003091492E3
2.621274627E0,1.003119995E3
2.641314422E0,1.003157410E3
2.661512664E0,1.003164246E3
2.681747283E0,1.003167053E3
2.701690399E0,1.003143127E3
2.720939178E0,1.003078979E3
2.740776580E0,1.003040710E3
2.760700164E0,1.003013977E3
2.780683319E0,1.003022827E3
2.800683319E0,1.003037170E3
2.820682830E0,1.003049194E3
2.840683319E0,1.003077454E3
2.861025848E0,1.003073425E3
2.880785125E0,1.003072083E3
2.900831512E0,1.003057190E3
2.921108123E0,1.003046753E3
2.941159393E0,1.003031189E3
2.961181854E0,1.003016052E3
2.981320281E0,1.003051880E3
3.001379363E0,1.003077576E3
3.021779363E0,1.003081055E3
3.041673553E0,1.003055969E3
3.060714324E0,1.003098938E3
3.080688934E0,1.003123230E3
3.100669158E0,1.003146179E3
3.120683563E0,1.003153320E3
3.140683319E0,1.003190735E3
3.160847381E0,1.003159607E3
3.180682830E0,1.003161865E3
3.200788543E0,1.003174194E3
3.220814422E0,1.003149170E3
3.240880340E0,1.003124390E3
3.260838592E0,1.003144165E3
3.281111053E0,1.003097717E3
3.301214813E0,1.003093811E3
3.321287567E0,1.003048645E3
3.341373016E0,1.003035583E3
3.361702606E0,1.003057983E3
3.381642059E0,1.003076965E3
3.401845916E0,1.003038208E3
3.420722625E0,1.003044128E3
3.440683807E0,1.003029358E3
3.460875946E0,1.003049561E3
3.480682586E0,1.003055542E3
3.500705535E0,1.003032410E3
3.520983367E0,1.003038757E3
3.540884246E0,1.003080872E3
3.560818572E0,1.003105652E3
3.581214813E0,1.003162659E3
3.601043182E0,1.003152222E3
3.621133514E0,1.003148315E3
3.641443084E0,1.003150940E3
3.661373016E0,1.003188232E3
3.681373260E0,1.003277832E3
3.701696990E0,1.003509399E3
3.721679901E0,1.003641357E3
3.742054412E0,1.003614807E3
3.760739471E0,1.003518616E3
3.780683563E0,1.003422302E3
3.800684295E0,1.003308899E3
3.820705291E0,1.003235107E3
3.840683074E0,1.003228577E3
3.860718231E0,1.003209045E3
3.880811981E0,1.003178345E3
3.900781707E0,1.003151978E3
3.920929412E0,1.003119629E3
3.940902069E0,1.003080444E3
3.961116668E0,1.003059448E3
3.981223358E0,1.003039795E3
4.001285613E0,1.003018921E3
4.021685613E0,1.003007324E3
4.041689666E0,1.003001038E3
4.061941863E0,1.002989380E3
4.081811981E0,1.003018433E3
4.100715301E0,1.003048523E3
4.120710418E0,1.003107910E3
4.140683319E0,1.003205933E3
4.160683563E0,1.003329895E3
