"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.640040000E-2,9.425328255E0,-1.031904817E0,2.037488461E0
1.863991900E-2,9.401400566E0,-1.083948612E0,1.970489502E0
2.087648300E-2,9.391230583E0,-1.135992527E0,1.937588096E0
2.311304700E-2,9.400801659E0,-1.174277663E0,1.908874273E0
2.534961100E-2,9.424132347E0,-1.222134113E0,1.895115495E0
2.758621200E-2,9.424132347E0,-1.236491084E0,1.875972986E0
2.982303600E-2,9.438488960E0,-1.231705427E0,1.842473388E0
3.206021800E-2,9.452845573E0,-1.241874933E0,1.837687731E0
3.429544400E-2,9.472586632E0,-1.217946768E0,1.819143414E0
3.653244400E-2,9.477970123E0,-1.156331539E0,1.847259045E0
3.876858900E-2,9.521040916E0,-1.142572761E0,1.876571178E0
4.100577100E-2,9.521040916E0,-1.128215909E0,1.905285001E0
4.324222200E-2,9.535398483E0,-1.119242787E0,1.929213285E0
4.547885500E-2,9.535996437E0,-1.100100160E0,1.910070658E0
4.771561000E-2,9.483354568E0,-1.118046403E0,1.847259045E0
4.995291500E-2,9.512666702E0,-1.098903775E0,1.814357758E0
5.218857200E-2,9.550951958E0,-1.109073281E0,1.781456470E0
5.442520500E-2,9.565906525E0,-1.104287624E0,1.752742529E0
5.666098400E-2,9.570692062E0,-1.089930773E0,1.757528186E0
5.889847200E-2,9.556335449E0,-1.089930773E0,1.719243050E0
6.113473900E-2,9.576076508E0,-1.075573802E0,1.705484390E0
6.337143300E-2,9.600004196E0,-1.057029366E0,1.719841242E0
6.560800500E-2,9.614361763E0,-1.033699393E0,1.782054663E0
6.784592000E-2,9.628718376E0,-1.014556766E0,1.815554142E0
7.008084500E-2,9.623932838E0,-1.005583763E0,1.862812400E0
7.231772200E-2,9.609575272E0,-9.667003751E-1,1.881955028E0
7.455398900E-2,9.586245537E0,-9.379864931E-1,1.900499344E0
7.679135500E-2,9.562317848E0,-9.134600163E-1,1.881356835E0
7.902768300E-2,9.558130264E0,-9.086744189E-1,1.871785522E0
8.126517100E-2,9.548559189E0,-8.943174481E-1,1.886142492E0
8.350509900E-2,9.558130264E0,-8.943174481E-1,1.886142492E0
8.575876100E-2,9.529416084E0,-8.895317912E-1,1.909472466E0
8.798776500E-2,9.538987160E0,-8.895317912E-1,1.904686809E0
9.022092000E-2,9.543772697E0,-8.703892231E-1,1.909472466E0
9.244089100E-2,9.538987160E0,-8.847461939E-1,1.914258122E0
9.469516300E-2,9.562915802E0,-8.805587292E-1,1.929213285E0
9.693167500E-2,9.552745819E0,-8.997012973E-1,1.947757602E0
9.917221400E-2,9.557532310E0,-9.092726111E-1,1.938186288E0
1.014050630E-1,9.567103386E0,-9.236295223E-1,1.924427629E0
1.036423070E-1,9.557532310E0,-9.182456732E-1,1.914856315E0
1.058777200E-1,9.561718941E0,-9.373882413E-1,1.914856315E0
1.081145360E-1,9.566504478E0,-9.565308690E-1,1.886142492E0
1.103483610E-1,9.576076508E0,-9.619147182E-1,1.890928149E0
1.125777320E-1,9.580862045E0,-9.804590940E-1,1.853241086E0
1.148242530E-1,9.566504478E0,-9.948160052E-1,1.847857237E0
1.170607640E-1,9.537791252E0,-1.003789067E0,1.833500385E0
1.192998990E-1,9.542576790E0,-1.003789067E0,1.847857237E0
1.215349460E-1,9.537791252E0,-1.008574724E0,1.847857237E0
1.237704810E-1,9.513862610E0,-1.003789067E0,1.852642894E0
1.260069310E-1,9.518648148E0,-9.894321561E-1,1.847857237E0
1.282404510E-1,9.518648148E0,-9.942178130E-1,1.843071699E0
1.304682960E-1,9.528220177E0,-9.846464992E-1,1.847857237E0
1.327168310E-1,9.500103951E0,-9.840483069E-1,1.800000787E0
1.349502290E-1,9.490532875E0,-9.834501147E-1,1.771286964E0
1.371814920E-1,9.475577354E0,-1.026520967E0,1.761715651E0
1.394245330E-1,9.466006279E0,-1.021735311E0,1.761117458E0
1.416512180E-1,9.461220741E0,-1.025922656E0,1.746760488E0
1.439025600E-1,9.451649666E0,-1.040279627E0,1.737189293E0
1.461357760E-1,9.475577354E0,-1.045663476E0,1.737787485E0
1.483758280E-1,9.489934921E0,-1.045663476E0,1.742573142E0
1.506097140E-1,9.475577354E0,-1.021735311E0,1.747358680E0
1.528472020E-1,9.485149384E0,-1.016949654E0,1.790429592E0
1.550796230E-1,9.504291534E0,-9.840483069E-1,1.847259045E0
1.573053320E-1,9.552147865E0,-9.708877802E-1,1.886142492E0
1.595431860E-1,9.571290970E0,-9.427721500E-1,1.924427629E0
1.617923920E-1,9.585647583E0,-9.475577474E-1,1.933998942E0
1.640317720E-1,9.575477600E0,-9.667003751E-1,1.938784599E0
1.662684670E-1,9.585049629E0,-9.762716293E-1,1.938784599E0
1.685019870E-1,9.585049629E0,-1.000199914E0,1.933998942E0
1.707384980E-1,9.628120422E0,-1.015154958E0,1.925025821E0
1.729753760E-1,9.594022751E0,-1.033699393E0,1.896311998E0
1.752126810E-1,9.589237213E0,-1.062413216E0,1.872383714E0
1.774482760E-1,9.594022751E0,-1.062413216E0,1.843669891E0
1.796848490E-1,9.598808289E0,-1.081555843E0,1.858026743E0
1.819211770E-1,9.598808289E0,-1.091127157E0,1.858026743E0
1.841579930E-1,9.594022751E0,-1.086341500E0,1.872383714E0
1.863946260E-1,9.564710617E0,-1.104885817E0,1.872383714E0
1.886313820E-1,9.574281693E0,-1.091127157E0,1.905285001E0
1.908679540E-1,9.555138588E0,-1.076171994E0,1.957927108E0
1.931052590E-1,9.593423843E0,-1.034297585E0,2.039283037E0
1.953374360E-1,9.613164902E0,-9.774680734E-1,2.072782516E0
1.975639990E-1,9.632308006E0,-9.445667267E-1,2.082353830E0
1.998137550E-1,9.594022751E0,-9.577272534E-1,2.053041935E0
2.020505710E-1,9.575477600E0,-9.714859724E-1,1.991426587E0
2.042905000E-1,9.537193298E0,-9.948160052E-1,1.938186288E0
2.065237160E-1,9.546764374E0,-1.004387259E0,1.866999865E0
2.087606540E-1,9.580264091E0,-1.033101201E0,1.819741607E0
2.109983250E-1,9.600004196E0,-1.023529887E0,1.805384636E0
2.132334330E-1,9.608977318E0,-1.028913736E0,1.838884234E0
2.154700050E-1,9.618548393E0,-1.028913736E0,1.848455548E0
2.177062110E-1,9.643074989E0,-9.864411354E-1,1.867598057E0
2.199431490E-1,9.638289452E0,-9.529415965E-1,1.905883193E0
2.221800270E-1,9.624530792E0,-9.194421172E-1,1.925025821E0
2.244142190E-1,9.634101868E0,-9.098708034E-1,1.920240164E0
2.266370580E-1,9.591629982E0,-8.949156404E-1,1.871785522E0
2.288760710E-1,9.562915802E0,-9.086744189E-1,1.838286042E0
2.311114840E-1,9.520442963E0,-9.122636318E-1,1.747358680E0
2.333522680E-1,9.525827408E0,-9.026923180E-1,1.690529227E0
2.355890840E-1,9.477970123E0,-9.158528447E-1,1.646860242E0
