"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.311304700E-2,4.917465150E-2,-3.054326167E-3,-9.162978968E-4
2.534961100E-2,4.917465150E-2,-6.719517522E-3,3.054326226E-4
2.758621200E-2,4.657847434E-2,-9.010262787E-3,-4.581489135E-3
2.982303600E-2,4.535674304E-2,-1.389718428E-2,-7.177666761E-3
3.206021800E-2,4.031710699E-2,-1.740965992E-2,-9.621127509E-3
3.429544400E-2,3.787364438E-2,-1.740965992E-2,-1.328631863E-2
3.653244400E-2,3.665191308E-2,-1.863138936E-2,-1.328631863E-2
3.876858900E-2,3.543018550E-2,-2.107485011E-2,-1.939497143E-2
4.100577100E-2,3.298672289E-2,-2.214386500E-2,-2.321287990E-2
4.324222200E-2,3.298672289E-2,-2.092213556E-2,-2.565634064E-2
4.547885500E-2,2.916881628E-2,-2.458732575E-2,-2.565634064E-2
4.771561000E-2,2.794708498E-2,-2.809980139E-2,-2.443460934E-2
4.995291500E-2,2.306016348E-2,-2.687807009E-2,-2.321287990E-2
5.218857200E-2,1.817324013E-2,-2.550362423E-2,-2.336559631E-2
5.442520500E-2,1.206458826E-2,-2.061670274E-2,-2.214386500E-2
5.666098400E-2,7.024950348E-3,-2.168571576E-2,-2.214386500E-2
5.889847200E-2,-3.054326226E-4,-2.031126991E-2,-1.970040426E-2
6.113473900E-2,-5.192354787E-3,-1.649336144E-2,-1.863138936E-2
6.337143300E-2,-1.237002108E-2,-7.941247895E-3,-1.985312067E-2
6.560800500E-2,-1.970040426E-2,-5.345070735E-3,-1.863138936E-2
6.784592000E-2,-1.970040426E-2,-6.566801574E-3,-1.496619824E-2
7.008084500E-2,-1.970040426E-2,-5.345070735E-3,-1.740965992E-2
7.231772200E-2,-1.603521220E-2,-5.497787148E-3,-1.618792862E-2
7.455398900E-2,-1.970040426E-2,-4.123340361E-3,-1.496619824E-2
7.679135500E-2,-1.725694351E-2,-1.832595794E-3,-1.374446787E-2
7.902768300E-2,-1.710422710E-2,-6.108652451E-4,-1.252273750E-2
8.126517100E-2,-1.725694351E-2,-1.832595794E-3,-8.857546374E-3
8.350509900E-2,-1.603521220E-2,-3.054326167E-3,-1.007927675E-2
8.575876100E-2,-1.481348183E-2,-3.054326167E-3,-8.857546374E-3
8.798776500E-2,-1.359175146E-2,-6.719517522E-3,-6.414085161E-3
9.022092000E-2,-1.481348183E-2,-3.054326167E-3,-5.192354787E-3
9.244089100E-2,-8.704829961E-3,-3.207042580E-3,-5.039638374E-3
9.469516300E-2,-7.483099122E-3,-6.872233935E-3,-5.039638374E-3
9.693167500E-2,-7.483099122E-3,-4.428773187E-3,-6.261368748E-3
9.917221400E-2,-4.886921961E-3,-3.207042580E-3,-8.704829961E-3
1.014050630E-1,-1.221730490E-3,3.054326226E-4,-6.261368748E-3
1.036423070E-1,1.374446787E-3,1.527163084E-3,-7.483099122E-3
1.058777200E-1,2.443460980E-3,-9.162978968E-4,-8.704829961E-3
1.081145360E-1,5.039638374E-3,1.374446787E-3,-8.552113548E-3
1.103483610E-1,5.039638374E-3,1.374446787E-3,-9.773843922E-3
1.125777320E-1,5.039638374E-3,6.261368748E-3,-8.552113548E-3
1.148242530E-1,2.596177394E-3,7.483099122E-3,-8.552113548E-3
1.170607640E-1,6.414085161E-3,9.926560335E-3,-9.773843922E-3
1.192998990E-1,7.788531948E-3,1.466076635E-2,-1.099557430E-2
1.215349460E-1,9.010262787E-3,1.343903504E-2,-9.773843922E-3
1.237704810E-1,8.857546374E-3,1.099557430E-2,-1.099557430E-2
1.260069310E-1,1.007927675E-2,9.773843922E-3,-1.221730467E-2
1.282404510E-1,1.252273750E-2,7.330383174E-3,-1.343903504E-2
1.304682960E-1,1.252273750E-2,6.108652335E-3,-1.466076635E-2
1.327168310E-1,1.130100712E-2,4.886921961E-3,-1.343903504E-2
1.349502290E-1,1.114829071E-2,2.596177394E-3,-1.343903504E-2
1.371814920E-1,7.483099122E-3,1.527163113E-4,-1.343903504E-2
1.394245330E-1,3.665191587E-3,-4.581489135E-3,-1.237002108E-2
1.416512180E-1,-2.443460980E-3,-9.162978968E-4,-1.237002108E-2
1.439025600E-1,-2.290744567E-3,2.748893574E-3,-1.237002108E-2
1.461357760E-1,-4.886921961E-3,-3.207042580E-3,-9.926560335E-3
1.483758280E-1,-1.099557430E-2,-3.054326167E-3,-1.252273750E-2
1.506097140E-1,-1.588249579E-2,1.832595794E-3,-1.130100712E-2
1.528472020E-1,-1.710422710E-2,3.054326167E-3,-1.130100712E-2
1.550796230E-1,-1.481348183E-2,-1.832595794E-3,-1.007927675E-2
1.573053320E-1,-1.603521220E-2,-5.497787148E-3,-8.857546374E-3
1.595431860E-1,-1.618792862E-2,-1.023199316E-2,-1.007927675E-2
1.617923920E-1,-1.130100712E-2,-1.404990070E-2,-1.007927675E-2
1.640317720E-1,-1.130100712E-2,-1.771509275E-2,-1.130100712E-2
1.662684670E-1,-1.023199316E-2,-2.015855350E-2,-1.007927675E-2
1.685019870E-1,-9.010262787E-3,-2.015855350E-2,-1.007927675E-2
1.707384980E-1,-6.566801574E-3,-2.015855350E-2,-1.007927675E-2
1.729753760E-1,-6.414085161E-3,-1.771509275E-2,-1.007927675E-2
1.752126810E-1,-8.857546374E-3,-1.649336144E-2,-1.252273750E-2
1.774482760E-1,-7.483099122E-3,-1.160643995E-2,-1.374446787E-2
1.796848490E-1,-5.192354787E-3,-1.542434748E-2,-1.252273750E-2
1.819211770E-1,-3.970623948E-3,-1.542434748E-2,-1.359175146E-2
1.841579930E-1,-6.261368748E-3,-1.282817032E-2,-1.496619824E-2
1.863946260E-1,-5.039638374E-3,-1.175915636E-2,-1.603521220E-2
1.886313820E-1,-3.817907767E-3,-1.175915636E-2,-1.725694351E-2
1.908679540E-1,-1.374446787E-3,-1.298088674E-2,-1.603521220E-2
1.931052590E-1,4.734205548E-3,-1.435533352E-2,-1.847867295E-2
1.953374360E-1,9.621127509E-3,-1.802052557E-2,-1.970040426E-2
1.975639990E-1,1.572977938E-2,-1.817324013E-2,-2.092213556E-2
1.998137550E-1,2.199114859E-2,-1.221730467E-2,-1.832595654E-2
2.020505710E-1,2.336559631E-2,-7.483099122E-3,-2.076941915E-2
2.042905000E-1,2.718350291E-2,2.290744567E-3,-1.817324013E-2
2.065237160E-1,2.871066704E-2,1.069014147E-2,-1.695151068E-2
2.087606540E-1,2.641992271E-2,1.924225502E-2,-1.695151068E-2
2.109983250E-1,2.275473066E-2,2.412917651E-2,-1.817324013E-2
2.132334330E-1,1.924225502E-2,3.023782931E-2,-1.817324013E-2
2.154700050E-1,1.939497143E-2,3.512475267E-2,-2.183843218E-2
2.177062110E-1,2.183843218E-2,4.001167417E-2,-2.183843218E-2
2.199431490E-1,2.443460934E-2,3.985895589E-2,-2.428189293E-2
2.221800270E-1,2.428189293E-2,3.741549700E-2,-2.794708498E-2
2.244142190E-1,2.672535367E-2,3.375030309E-2,-2.916881628E-2
2.266370580E-1,2.550362423E-2,3.252857551E-2,-2.794708498E-2
2.288760710E-1,2.794708498E-2,3.252857551E-2,-2.428189293E-2
2.311114840E-1,2.535090782E-2,3.023782931E-2,-2.306016348E-2
2.333522680E-1,1.786780916E-2,2.672535367E-2,-2.183843218E-2
2.355890840E-1,1.175915636E-2,3.039054573E-2,-1.817324013E-2
2.378279750E-1,4.428773187E-3,2.687807009E-2,-1.710422710E-2
2.400679040E-1,-3.054326167E-3,2.458732575E-2,-1.588249579E-2
2.423094210E-1,-8.093964309E-3,2.474004216E-2,-1.237002108E-2
2.445341530E-1,-1.298088674E-2,2.122756653E-2,-9.926560335E-3
2.467723730E-1,-1.420261711E-2,2.489275858E-2,-8.704829961E-3
2.490062600E-1,-1.664607786E-2,2.489275858E-2,-7.483099122E-3
2.512456400E-1,-1.802052557E-2,2.122756653E-2,-8.704829961E-3
2.534800150E-1,-1.679879427E-2,1.771509275E-2,-6.261368748E-3
2.557172580E-1,-1.084285788E-2,9.010262787E-3,-6.261368748E-3
2.579546240E-1,-7.330383174E-3,4.123340361E-3,-3.817907767E-3
2.601907080E-1,-1.221730490E-3,3.054326226E-4,-2.596177394E-3
2.624260590E-1,2.443460980E-3,-3.359758761E-3,-2.596177394E-3
2.646644020E-1,1.221730490E-3,3.054326226E-4,-1.527163113E-4
2.669003640E-1,3.817907767E-3,6.261368748E-3,-0.000000000E0
2.691372410E-1,3.970623948E-3,1.237002108E-2,-1.221730490E-3
2.713729590E-1,5.345070735E-3,1.970040426E-2,-2.443460980E-3
2.736106910E-1,5.345070735E-3,2.321287990E-2,-2.443460980E-3
2.758478120E-1,7.941247895E-3,2.687807009E-2,-6.108652335E-3
2.780827980E-1,1.175915636E-2,2.794708498E-2,-8.399397135E-3
2.803197970E-1,1.527163107E-2,2.428189293E-2,-1.084285788E-2
2.825583230E-1,2.626720630E-2,1.802052557E-2,-1.328631863E-2
2.847952000E-1,2.993239649E-2,1.313360315E-2,-1.328631863E-2
2.870340310E-1,3.604105115E-2,9.315694682E-3,-1.572977938E-2
2.892652310E-1,3.970624134E-2,1.160643995E-2,-1.313360315E-2
2.915014380E-1,4.337143153E-2,9.162978269E-3,-1.069014147E-2
2.937372160E-1,4.214970022E-2,1.038470957E-2,-7.024950348E-3
2.959767800E-1,3.726277873E-2,1.298088674E-2,-3.359758761E-3
2.982122530E-1,3.481931984E-2,1.420261711E-2,3.054326226E-4
3.004498020E-1,3.222314268E-2,1.298088674E-2,1.527163113E-4
3.026852150E-1,2.855795063E-2,1.069014147E-2,-1.069014193E-3
3.049214820E-1,2.962696366E-2,4.581489135E-3,-4.734205548E-3
3.071572610E-1,2.718350291E-2,2.290744567E-3,-7.177666761E-3
3.093947480E-1,2.718350291E-2,1.069014193E-3,-8.399397135E-3
3.116318700E-1,2.825251780E-2,-2.596177394E-3,-8.399397135E-3
3.138691750E-1,2.580905706E-2,-2.596177394E-3,-7.177666761E-3
3.161056860E-1,2.458732575E-2,-3.817907767E-3,-8.552113548E-3
3.183447000E-1,1.847867295E-2,-4.886921961E-3,-9.773843922E-3
3.205776100E-1,1.466076635E-2,-7.177666761E-3,-6.108652335E-3
3.228155240E-1,1.221730467E-2,-8.399397135E-3,-7.330383174E-3
3.250522190E-1,3.665191587E-3,-7.024950348E-3,-7.483099122E-3
3.272857390E-1,-5.192354787E-3,-1.542434748E-2,-7.635815535E-3
3.295190770E-1,-8.857546374E-3,-1.771509275E-2,-1.252273750E-2
3.317598610E-1,-1.511891466E-2,-1.878410578E-2,-1.618792862E-2
3.339981420E-1,-2.122756653E-2,-2.107485011E-2,-1.756237634E-2
3.362359350E-1,-2.244929783E-2,-2.351831272E-2,-1.756237634E-2
3.384722630E-1,-2.748893574E-2,-2.336559631E-2,-1.756237634E-2
3.407085910E-1,-3.115412779E-2,-2.214386500E-2,-2.122756653E-2
3.429445530E-1,-3.115412779E-2,-2.336559631E-2,-2.367102914E-2
3.451849100E-1,-3.466660157E-2,-1.970040426E-2,-2.367102914E-2
3.474156230E-1,-3.588833287E-2,-1.481348183E-2,-2.367102914E-2
3.496526220E-1,-3.817907721E-2,-1.099557430E-2,-2.489275858E-2
3.518897430E-1,-4.062253982E-2,-7.330383174E-3,-2.611448988E-2
3.541279640E-1,-4.291328415E-2,-2.443460980E-3,-2.489275858E-2
3.563628880E-1,-4.535674304E-2,1.221730490E-3,-2.504547499E-2
3.585996440E-1,-4.413501546E-2,2.443460980E-3,-2.977968007E-2
3.608357280E-1,-4.764748737E-2,7.330383174E-3,-2.871066704E-2
3.630735810E-1,-4.642575979E-2,7.330383174E-3,-2.733621933E-2
3.653102760E-1,-4.627304152E-2,1.099557430E-2,-3.100141138E-2
3.675468480E-1,-4.505131021E-2,1.206458826E-2,-2.977968007E-2
3.697828090E-1,-4.627304152E-2,1.572977938E-2,-2.977968007E-2
3.720224950E-1,-4.382958263E-2,1.572977938E-2,-2.855795063E-2
3.742550390E-1,-4.382958263E-2,1.572977938E-2,-2.611448988E-2
3.764916110E-1,-4.612032697E-2,2.183843218E-2,-2.611448988E-2
3.787272680E-1,-4.367686436E-2,2.428189293E-2,-2.489275858E-2
3.809669530E-1,-4.001167417E-2,2.412917651E-2,-2.244929783E-2
3.832023660E-1,-3.863722831E-2,3.023782931E-2,-1.863138936E-2
3.854389990E-1,-3.604105115E-2,3.497203439E-2,-1.740965992E-2
3.876749610E-1,-3.481931984E-2,3.741549700E-2,-1.618792862E-2
3.899125710E-1,-2.855795063E-2,4.092797264E-2,-1.725694351E-2
3.921481660E-1,-2.611448988E-2,3.970624134E-2,-1.481348183E-2
3.943846170E-1,-2.122756653E-2,4.199698567E-2,-1.359175146E-2
3.966203350E-1,-2.107485011E-2,4.688390717E-2,-1.481348183E-2
3.988579440E-1,-1.618792862E-2,4.917465150E-2,-1.481348183E-2
4.010954930E-1,-1.130100712E-2,4.550946131E-2,-1.343903504E-2
4.033313940E-1,-8.857546374E-3,4.657847434E-2,-1.099557430E-2
4.055682710E-1,-6.414085161E-3,4.535674304E-2,-1.099557430E-2
4.078042940E-1,-3.970623948E-3,4.657847434E-2,-7.330383174E-3
4.100412940E-1,-3.054326226E-4,4.520402849E-2,-4.886921961E-3
4.122785370E-1,9.162978968E-4,4.276056588E-2,-6.108652335E-3
4.145150490E-1,3.359758761E-3,3.909537569E-2,-4.886921961E-3
4.167508880E-1,3.207042580E-3,3.665191308E-2,-3.665191587E-3
4.189894750E-1,4.428773187E-3,3.298672289E-2,-3.665191587E-3
4.212233620E-1,4.276056774E-3,3.054326214E-2,-3.665191587E-3
4.234615210E-1,1.832595794E-3,2.825251780E-2,-2.443460980E-3
4.256969940E-1,3.054326167E-3,2.703078650E-2,-1.221730490E-3
4.279328950E-1,5.497787148E-3,2.687807009E-2,-2.443460980E-3
4.301698340E-1,4.276056774E-3,2.443460934E-2,-3.665191587E-3
4.324080540E-1,4.581489484E-4,1.970040426E-2,-0.000000000E0
4.346445040E-1,4.581489484E-4,2.336559631E-2,-1.221730490E-3
4.368803440E-1,-1.985311974E-3,2.336559631E-2,-0.000000000E0
4.391174050E-1,-4.428773187E-3,2.107485011E-2,-0.000000000E0
4.413537320E-1,-5.650503561E-3,2.229658142E-2,1.221730490E-3
4.435932960E-1,-4.428773187E-3,2.474004216E-2,-1.221730490E-3
4.458260230E-1,-9.315694682E-3,2.596177347E-2,-2.596177394E-3
4.480632050E-1,-1.298088674E-2,2.855795063E-2,-2.596177394E-3
4.502982510E-1,-1.053742506E-2,2.840523422E-2,-3.817907767E-3
4.525364720E-1,-1.160643995E-2,3.084869497E-2,-3.817907767E-3
