"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.488870600E-2,-4.352959824E1,3.575819778E1,1.012599945E1
4.488773000E-2,-4.313919830E1,3.519699860E1,1.026019955E1
5.488699700E-2,-4.296839905E1,3.539220047E1,1.095559978E1
6.488724100E-2,-4.316360092E1,3.529459763E1,1.074819946E1
7.488699700E-2,-4.294400024E1,3.528239822E1,9.955200195E0
8.489920400E-2,-4.413959885E1,3.509939957E1,1.080919933E1
9.489017100E-2,-4.343199921E1,3.480659866E1,1.015040016E1
1.048992040E-1,-4.294400024E1,3.528239822E1,1.016259956E1
1.148901710E-1,-4.326119995E1,3.529459763E1,1.074819946E1
1.248989600E-1,-4.345639801E1,3.491640091E1,1.065059948E1
1.348992040E-1,-4.327339935E1,3.483099747E1,1.116300011E1
1.448989600E-1,-4.344419861E1,3.538000107E1,1.054080009E1
1.548992040E-1,-4.304159927E1,3.519699860E1,1.026019955E1
1.648987160E-1,-4.343199921E1,3.518479919E1,1.013819981E1
1.748992040E-1,-4.304159927E1,3.557519913E1,1.024800014E1
1.848938330E-1,-4.315139771E1,3.509939957E1,1.045539951E1
1.948989600E-1,-4.363940048E1,3.481879807E1,1.044320011E1
2.048874860E-1,-4.334659958E1,3.509939957E1,1.034560013E1
2.148992040E-1,-4.371260071E1,3.498960114E1,9.833199501E0
2.248872410E-1,-4.323679733E1,3.500180054E1,1.026019955E1
2.348874860E-1,-4.362719727E1,3.480659866E1,9.942999840E0
2.448869970E-1,-4.334659958E1,3.462360001E1,1.035779953E1
2.548877300E-1,-4.333440018E1,3.424539948E1,1.006499958E1
2.648869970E-1,-4.344419861E1,3.472119904E1,1.024800014E1
2.748869970E-1,-4.344419861E1,3.462360001E1,1.045539951E1
2.848869970E-1,-4.334659958E1,3.453820038E1,1.056519985E1
2.948855320E-1,-4.344419861E1,3.500180054E1,1.024800014E1
3.048894390E-1,-4.313919830E1,3.546540070E1,1.004059982E1
3.148874860E-1,-4.285860062E1,3.520919800E1,1.066279984E1
3.248887060E-1,-4.304159927E1,3.538000107E1,1.024800014E1
3.348877300E-1,-4.344419861E1,3.509939957E1,1.034560013E1
3.448879740E-1,-4.285860062E1,3.539220047E1,1.056519985E1
3.548869970E-1,-4.324900055E1,3.490419769E1,1.035779953E1
3.648877300E-1,-4.277320099E1,3.483099747E1,1.078479958E1
3.748874860E-1,-4.316360092E1,3.483099747E1,1.096780014E1
3.848896830E-1,-4.343199921E1,3.518479919E1,1.013819981E1
3.948872410E-1,-4.365159988E1,3.472119904E1,1.065059948E1
4.048896830E-1,-4.293180084E1,3.508720016E1,9.662400246E0
4.148869970E-1,-4.333440018E1,3.538000107E1,1.013819981E1
4.248877300E-1,-4.313919830E1,3.509939957E1,1.005280018E1
4.348877300E-1,-4.315139771E1,3.472119904E1,1.027239990E1
4.448879740E-1,-4.343199921E1,3.518479919E1,1.023579979E1
4.548962750E-1,-4.313919830E1,3.452600098E1,9.967399597E0
4.648992040E-1,-4.321239853E1,3.489199829E1,9.454999924E0
4.749067730E-1,-4.304159927E1,3.546540070E1,9.955200195E0
4.848989600E-1,-4.294400024E1,3.490419769E1,1.017479992E1
4.948992040E-1,-4.371260071E1,3.498960114E1,9.735599518E0
5.048989600E-1,-4.333440018E1,3.508720016E1,9.942999840E0
5.148992040E-1,-4.343199921E1,3.470899963E1,1.015040016E1
5.248992040E-1,-4.323679733E1,3.434299850E1,1.017479992E1
5.348992040E-1,-4.382239914E1,3.452600098E1,1.013819981E1
5.448872410E-1,-4.304159927E1,3.452600098E1,9.979599953E0
5.548874860E-1,-4.304159927E1,3.490419769E1,1.016259956E1
5.648874860E-1,-4.304159927E1,3.509939957E1,1.006499958E1
5.748992040E-1,-4.334659958E1,3.500180054E1,1.055299950E1
5.848869970E-1,-4.323679733E1,3.528239822E1,9.942999840E0
5.948992040E-1,-4.316360092E1,3.519699860E1,1.076039982E1
6.048869970E-1,-4.316360092E1,3.530680084E1,1.095559978E1
6.148877300E-1,-4.295619965E1,3.472119904E1,1.047980022E1
6.248869970E-1,-4.277320099E1,3.577040100E1,1.076039982E1
6.348877300E-1,-4.293180084E1,3.508720016E1,9.869799614E0
6.449026220E-1,-4.305379868E1,3.509939957E1,1.035779953E1
6.548879740E-1,-4.305379868E1,3.539220047E1,1.065059948E1
6.648989600E-1,-4.298059845E1,3.522140121E1,1.126060009E1
6.748916360E-1,-4.307819748E1,3.492860031E1,1.116300011E1
6.848989600E-1,-4.356620026E1,3.548979950E1,1.133379936E1
6.948826030E-1,-4.367599869E1,3.492860031E1,1.134599972E1
7.048867530E-1,-4.367599869E1,3.492860031E1,1.134599972E1
7.148877300E-1,-4.335879898E1,3.501399994E1,1.095559978E1
7.248989600E-1,-4.309040070E1,3.551419830E1,1.176079941E1
7.348874860E-1,-4.338319778E1,3.530680084E1,1.144359970E1
7.448992040E-1,-4.307819748E1,3.502619934E1,1.126060009E1
7.548874860E-1,-4.356620026E1,3.530680084E1,1.123619938E1
7.648992040E-1,-4.367599869E1,3.502619934E1,1.154119968E1
7.748965190E-1,-4.356620026E1,3.502619934E1,1.134599972E1
7.848874860E-1,-4.395660019E1,3.539220047E1,1.132159996E1
7.948979840E-1,-4.356620026E1,3.558739853E1,1.133379936E1
8.049001810E-1,-4.356620026E1,3.463579941E1,1.115079975E1
8.149011570E-1,-4.327339935E1,3.511159897E1,1.105319977E1
8.248869970E-1,-4.318799973E1,3.550199890E1,1.174860001E1
8.348992040E-1,-4.348080063E1,3.568499756E1,1.152899933E1
8.448989600E-1,-4.366379929E1,3.511159897E1,1.123619938E1
8.548992040E-1,-4.377359772E1,3.520919800E1,1.143139935E1
8.648918800E-1,-4.349300003E1,3.503839874E1,1.184619999E1
8.748989600E-1,-4.327339935E1,3.520919800E1,1.135820007E1
8.848811380E-1,-4.389559937E1,3.494079971E1,1.213899994E1
8.948992040E-1,-4.381019974E1,3.495299911E1,1.263920021E1
9.048874860E-1,-4.360279846E1,3.485540009E1,1.215119934E1
9.148992040E-1,-4.359059906E1,3.559959793E1,1.202919960E1
9.248869970E-1,-4.359059906E1,3.541659927E1,1.183399963E1
9.348989600E-1,-4.407859802E1,3.559959793E1,1.180959988E1
