"Time (s)","Pressure (hPa)"
5.445096200E-2,1.002686340E3
7.458719300E-2,1.002699951E3
9.409280800E-2,1.002705322E3
1.140930520E-1,1.002717896E3
1.340932960E-1,1.002738464E3
1.540930520E-1,1.002750610E3
1.740986670E-1,1.002763916E3
1.941379740E-1,1.002753540E3
2.143342630E-1,1.002733948E3
2.345298190E-1,1.002720703E3
2.545417820E-1,1.002708740E3
2.746477390E-1,1.002703003E3
2.949258160E-1,1.002657349E3
3.149438820E-1,1.002648987E3
3.342634620E-1,1.002647339E3
3.540859720E-1,1.002642334E3
3.740625340E-1,1.002655823E3
3.943457370E-1,1.002669006E3
4.140661960E-1,1.002669067E3
4.340705910E-1,1.002642212E3
4.540652200E-1,1.002654785E3
4.740932960E-1,1.002645264E3
4.940928080E-1,1.002631287E3
5.140764500E-1,1.002605164E3
5.344764500E-1,1.002588745E3
5.546140480E-1,1.002541992E3
5.743794290E-1,1.002494324E3
5.946343120E-1,1.002454407E3
6.147598000E-1,1.002406982E3
6.347761570E-1,1.002370117E3
6.549282570E-1,1.002319153E3
6.751138040E-1,1.002221313E3
6.955138040E-1,1.002246704E3
7.154670750E-1,1.002307434E3
7.345002780E-1,1.002328430E3
7.540932960E-1,1.002324707E3
7.740928080E-1,1.002305725E3
7.942580910E-1,1.002314514E3
8.140937840E-1,1.002328430E3
8.340925640E-1,1.002334473E3
8.540935400E-1,1.002345276E3
8.741033060E-1,1.002327820E3
8.942348980E-1,1.002341736E3
9.143743020E-1,1.002362488E3
9.344958840E-1,1.002343933E3
9.546462750E-1,1.002382141E3
9.748205910E-1,1.002377686E3
9.949341160E-1,1.002425110E3
1.015334116E0,1.002411682E3
1.034100376E0,1.002443787E3
1.054106968E0,1.002451050E3
1.074092808E0,1.002437805E3
1.094127720E0,1.002433838E3
1.114093540E0,1.002449524E3
1.134493540E0,1.002450378E3
1.154738560E0,1.002431580E3
1.174058384E0,1.002455322E3
1.194126987E0,1.002470398E3
1.214242710E0,1.002473755E3
1.234443150E0,1.002505005E3
1.254386997E0,1.002507874E3
1.274564243E0,1.002510620E3
1.294757114E0,1.002511169E3
1.314860142E0,1.002524170E3
1.334999302E0,1.002539062E3
1.355359165E0,1.002558044E3
1.374116489E0,1.002551636E3
1.394149937E0,1.002567810E3
1.414092808E0,1.002585632E3
1.434093296E0,1.002614319E3
1.454092808E0,1.002611938E3
1.474093052E0,1.002599487E3
1.494164097E0,1.002607666E3
1.514288609E0,1.002619385E3
1.534108189E0,1.002623596E3
1.554508189E0,1.002615234E3
1.574337925E0,1.002610229E3
1.594476109E0,1.002606995E3
1.614608433E0,1.002612183E3
1.634966343E0,1.002611877E3
1.654968052E0,1.002616211E3
1.675028843E0,1.002647522E3
1.695086704E0,1.002637451E3
1.715110630E0,1.002679871E3
1.734124302E0,1.002688110E3
1.754297642E0,1.002701599E3
1.774092075E0,1.002710999E3
1.794093052E0,1.002711975E3
1.814092808E0,1.002764160E3
1.834092808E0,1.002765503E3
1.854094028E0,1.002777039E3
1.874093052E0,1.002797607E3
1.894071568E0,1.002836670E3
1.914271519E0,1.002876526E3
1.934255894E0,1.002886047E3
1.954470493E0,1.002895508E3
1.974622105E0,1.002896545E3
1.995022105E0,1.002926514E3
2.014867954E0,1.002949158E3
2.035039585E0,1.002987732E3
2.055147251E0,1.003004639E3
2.074101109E0,1.002989563E3
2.094069370E0,1.002993713E3
2.114093052E0,1.003005432E3
2.134069126E0,1.003001160E3
2.154093784E0,1.002986633E3
2.174093540E0,1.002990173E3
2.194085239E0,1.002990417E3
2.214092564E0,1.003005249E3
2.234087437E0,1.003001526E3
2.254118443E0,1.002997437E3
2.274242466E0,1.002994507E3
2.294422886E0,1.003007263E3
2.314570591E0,1.002993042E3
2.334657993E0,1.002978821E3
2.354821079E0,1.002984863E3
2.375037632E0,1.002988464E3
2.395039341E0,1.002936584E3
2.414125034E0,1.002938049E3
2.434115757E0,1.002915833E3
2.454127720E0,1.002909363E3
2.474092319E0,1.002928040E3
2.494093052E0,1.002911011E3
2.514093052E0,1.002922974E3
2.534093052E0,1.002909363E3
2.554263706E0,1.002889709E3
2.574067905E0,1.002876526E3
2.594205112E0,1.002874329E3
2.614205112E0,1.002852173E3
2.634394321E0,1.002866333E3
2.654534458E0,1.002844482E3
2.674727329E0,1.002834534E3
2.694820103E0,1.002817261E3
2.714958775E0,1.002819702E3
2.735122349E0,1.002795166E3
2.755208042E0,1.002775757E3
2.774118198E0,1.002739929E3
2.794092564E0,1.002735779E3
2.814092808E0,1.002714783E3
2.834093540E0,1.002719055E3
2.854093052E0,1.002737610E3
2.874095249E0,1.002717407E3
2.894093784E0,1.002695557E3
2.914080112E0,1.002694153E3
2.934148960E0,1.002673523E3
2.954275669E0,1.002684204E3
2.974392124E0,1.002664795E3
2.994535923E0,1.002654785E3
3.014748081E0,1.002647644E3
3.035111851E0,1.002645142E3
3.055182896E0,1.002655945E3
3.074988071E0,1.002631348E3
3.095264683E0,1.002634094E3
3.114098667E0,1.002622803E3
3.134069126E0,1.002640930E3
3.154093296E0,1.002609070E3
3.174092808E0,1.002613770E3
3.194092319E0,1.002613770E3
3.214093052E0,1.002621582E3
3.234112583E0,1.002618713E3
3.254092564E0,1.002622986E3
3.274128452E0,1.002601440E3
3.294166050E0,1.002614807E3
3.314341099E0,1.002602600E3
