"Time (s)","Distance (cm)"
3.584958322E-3,5.000000000E0
1.927166671E-2,0.000000000E0
4.963775002E-2,5.000000000E0
8.876457500E-1,0.000000000E0
1.100696542E0,5.000000000E0
2.940582208E0,0.000000000E0
8.211633000E2,5.000000000E0
8.214234271E2,0.000000000E0
8.218732225E2,5.000000000E0
8.220907193E2,0.000000000E0
8.231949073E2,5.000000000E0
8.235195922E2,0.000000000E0
8.247389741E2,5.000000000E0
8.248077390E2,0.000000000E0
8.251617896E2,5.000000000E0
8.253625848E2,0.000000000E0
8.258143726E2,5.000000000E0
8.280060024E2,0.000000000E0
8.283575026E2,5.000000000E0
8.284409974E2,0.000000000E0
8.287755272E2,5.000000000E0
8.294782168E2,0.000000000E0
8.297124532E2,5.000000000E0
8.298966172E2,0.000000000E0
8.302478830E2,5.000000000E0
8.304822355E2,0.000000000E0
8.309170002E2,5.000000000E0
8.309841476E2,0.000000000E0
8.312184041E2,5.000000000E0
8.314693258E2,0.000000000E0
8.317034227E2,5.000000000E0
8.325230469E2,0.000000000E0
8.339618540E2,5.000000000E0
8.342390798E2,0.000000000E0
8.356419058E2,5.000000000E0
