"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.776041685E-3,1.795216827E0,2.067500610E0,9.165739746E0
1.273404167E-2,1.708846436E0,2.011966095E0,9.542206879E0
2.269204170E-2,1.719174957E0,1.941911774E0,9.808203735E0
3.265004168E-2,1.819915466E0,1.887425079E0,9.821226654E0
4.260704166E-2,1.808090057E0,1.879641266E0,9.759105835E0
5.256504170E-2,1.574575653E0,1.928888855E0,9.755513306E0
6.252304168E-2,1.482966156E0,1.960922241E0,9.780361633E0
7.248104166E-2,1.515598297E0,2.027533722E0,9.671837311E0
8.243904170E-2,1.488205261E0,2.076332245E0,9.420360260E0
9.239704168E-2,1.481169891E0,2.113305359E0,9.259893951E0
1.023550417E-1,1.568588104E0,2.207908630E0,9.291927338E0
1.123130417E-1,1.698966980E0,2.290536804E0,9.287286987E0
1.222710417E-1,1.716181183E0,2.334694977E0,9.181606750E0
1.322290417E-1,1.482966156E0,2.310894470E0,9.157656555E0
1.421870417E-1,1.305135956E0,2.231709137E0,9.227112122E0
1.521440417E-1,1.225052490E0,2.241438904E0,9.265731812E0
1.621020417E-1,1.227896576E0,2.291135559E0,9.247170410E0
1.720600417E-1,1.198407898E0,2.230661316E0,9.118737488E0
1.820180417E-1,1.050216064E0,2.200573883E0,8.966953125E0
1.919760417E-1,1.013093262E0,2.240540771E0,9.026678925E0
2.019340417E-1,1.077609100E0,2.238894196E0,9.130263519E0
2.118920417E-1,9.789642334E-1,2.130818939E0,9.172026672E0
2.218500417E-1,8.174501038E-1,2.019600220E0,9.308243408E0
2.318080417E-1,7.595205688E-1,1.971101074E0,9.452393646E0
2.417660417E-1,7.583230591E-1,1.977537689E0,9.377998352E0
2.517240417E-1,7.191046143E-1,2.024240570E0,9.296867065E0
2.616810417E-1,7.068301392E-1,2.188748474E0,9.101074219E0
2.716390417E-1,7.207511902E-1,2.346071320E0,8.905431061E0
2.815970417E-1,6.583309937E-1,2.413131866E0,8.777746582E0
2.915550417E-1,6.599775696E-1,2.421963501E0,8.808283081E0
3.015130417E-1,6.809339905E-1,2.350561981E0,9.002579041E0
3.114710417E-1,4.249662781E-1,2.256258087E0,9.014853516E0
3.214290417E-1,3.486250305E-1,2.146536255E0,8.916208649E0
3.313870417E-1,6.912625122E-1,2.110910339E0,8.610095215E0
3.413450417E-1,9.386979675E-1,2.168540497E0,8.325986023E0
3.513030417E-1,7.795788574E-1,2.299218750E0,8.486452332E0
3.612610417E-1,4.679269409E-1,2.478695526E0,9.586514740E0
3.712190417E-1,4.685256958E-2,2.508034515E0,1.035995636E1
3.811770417E-1,-3.326083374E-1,2.462978210E0,1.051638107E1
3.911340417E-1,-4.108955383E-1,2.479593658E0,1.028735733E1
4.010920417E-1,-1.483415222E-1,2.501298523E0,9.979896698E0
4.110500417E-1,5.463638306E-2,2.508483582E0,9.758357391E0
4.210080417E-1,3.697311401E-2,2.406545563E0,9.399553528E0
4.309660417E-1,-1.157093811E-1,2.223326569E0,8.850345612E0
4.409240417E-1,1.734892273E-1,1.751358032E0,8.209528198E0
4.508820417E-1,3.947291565E-1,1.547182617E0,7.767497406E0
4.608400417E-1,-1.333726501E-1,2.236948242E0,8.886869659E0
4.707980417E-1,-8.566685486E-1,2.478994904E0,9.958042145E0
4.807560417E-1,-1.142124939E0,2.151475983E0,9.973460083E0
4.907140417E-1,-9.605525208E-1,1.651066589E0,9.541159058E0
5.006720417E-1,-4.942721558E-1,1.311422882E0,9.071286163E0
5.106290417E-1,-5.116360474E-1,1.300046539E0,9.008267212E0
5.205870417E-1,-4.704716492E-1,1.623673553E0,8.707392883E0
5.305450417E-1,-3.122506714E-1,2.169588318E0,7.998018036E0
5.405030417E-1,-2.977308655E-1,2.642305298E0,7.338639221E0
5.504610417E-1,6.286926270E-3,2.628533936E0,6.513704681E0
5.604190417E-1,6.756948853E-1,2.147883453E0,6.198011169E0
5.703770417E-1,9.395960999E-1,1.664688263E0,6.564598846E0
5.803350417E-1,1.950444031E-1,1.246907043E0,7.253166962E0
5.902930417E-1,-1.143322449E0,4.337979126E-1,7.959548035E0
6.002510417E-1,-2.176174622E0,-5.950126648E-1,7.906109161E0
6.102090417E-1,-3.019371185E0,-1.092128906E0,7.156468048E0
6.201670417E-1,-3.527863770E0,-9.457333374E-1,5.537434845E0
6.301250417E-1,-3.407064972E0,8.307723999E-2,2.341730347E0
6.400820417E-1,-2.794089661E0,2.186802521E0,3.117866364E0
6.500400417E-1,-7.322772217E-1,2.967129822E0,2.776725769E0
6.599980417E-1,2.499801636E-1,1.861678619E0,1.680405579E0
6.699560417E-1,-5.057981873E-1,1.327738953E-1,1.798210602E0
6.799140417E-1,-3.882925415E0,-7.720944214E-1,3.665278015E0
6.898720417E-1,-2.992876282E0,-2.023492126E0,6.884483643E0
6.998300417E-1,-3.427871704E0,-2.537523193E0,8.918903046E0
7.097880417E-1,-3.074756012E0,-1.514999542E0,9.937534790E0
7.197460417E-1,-2.151176605E0,-3.129991150E-1,1.111438751E1
7.297047083E-1,-1.245110779E0,-3.441343689E-1,1.141690842E1
7.396627084E-1,-8.637039185E-1,-8.348139954E-1,1.093326416E1
7.496207083E-1,-3.989204407E-1,-1.157692566E0,1.031460068E1
7.595787083E-1,-7.692503357E-1,-1.656455383E0,1.017524048E1
7.695357084E-1,-2.671494598E0,-2.431393890E0,1.016551071E1
7.794937083E-1,-4.929099884E0,-2.556683350E0,1.060724213E1
7.894517084E-1,-6.181096344E0,-2.841241608E0,1.096365097E1
7.994097084E-1,-5.969885559E0,-3.516936493E0,1.089494385E1
8.093677083E-1,-5.093009033E0,-4.029320984E0,1.039797729E1
8.193257084E-1,-4.582869873E0,-3.447031860E0,9.775122528E0
8.292837084E-1,-4.190086670E0,-2.815644836E0,9.485175476E0
8.392417083E-1,-3.549868011E0,-2.775528259E0,9.401499481E0
8.491997084E-1,-3.345093842E0,-3.274141388E0,9.005423126E0
8.591577084E-1,-2.205513611E0,-4.859644318E0,4.758903809E0
8.691157083E-1,-2.194736023E0,-4.279001770E0,6.310726776E0
8.790737084E-1,-4.793182526E0,-4.253554688E0,1.024484573E1
8.890317084E-1,-5.656587067E0,-4.802014160E0,9.676327972E0
8.989897083E-1,-6.264323273E0,-5.785618744E0,8.309071198E0
9.089467084E-1,-6.987768860E0,-6.159840546E0,7.572602692E0
9.189047083E-1,-7.260052643E0,-5.533992004E0,7.786807251E0
9.288627083E-1,-6.831194458E0,-6.034251709E0,8.204438782E0
9.388207084E-1,-6.853647766E0,-6.720424805E0,8.489895172E0
9.487787083E-1,-5.580096130E0,-6.400989075E0,9.568851471E0
9.587367083E-1,-2.714455261E0,-5.943839722E0,1.146435974E1
9.686947084E-1,-3.769760742E0,-5.762866058E0,1.255319550E1
9.786527083E-1,-5.388943634E0,-5.397026825E0,1.208631638E1
9.886107083E-1,-6.336024170E0,-5.173541565E0,1.113459549E1
9.985687084E-1,-6.826853485E0,-5.558840332E0,9.841584320E0
