"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.397804171E-2,3.687154353E-1,1.349023432E-1,1.561571807E-1
2.393604169E-2,4.332749844E-1,1.668176651E-1,1.330462694E-1
3.389404167E-2,4.599662125E-1,1.888440549E-1,9.807192534E-2
4.385104170E-2,4.606064260E-1,2.067522109E-1,7.558046281E-2
5.380904168E-2,4.396778643E-1,2.335239351E-1,6.833897531E-2
6.376704166E-2,4.023051858E-1,2.575041056E-1,5.518508703E-2
7.372504170E-2,3.247253001E-1,2.934024930E-1,5.010049045E-2
8.368304168E-2,2.056007683E-1,3.254040778E-1,5.816907063E-2
9.364104166E-2,8.317603171E-2,3.748476803E-1,6.126919389E-2
1.035990417E-1,-1.272626035E-2,4.401952624E-1,4.690010846E-2
1.135570417E-1,-9.587845206E-2,4.892129004E-1,2.276713587E-2
1.235150417E-1,-1.614867598E-1,5.001987219E-1,2.191279456E-2
1.334730417E-1,-2.029175460E-1,5.102593303E-1,5.783670768E-2
1.434310417E-1,-2.183838636E-1,5.198909044E-1,1.062971801E-1
1.533880417E-1,-2.010232061E-1,5.355306864E-1,1.475871503E-1
1.633460417E-1,-1.679041386E-1,5.147354007E-1,1.672045290E-1
1.733040417E-1,-1.341102272E-1,4.737679958E-1,1.753972173E-1
1.832620417E-1,-7.721339166E-2,4.556800723E-1,1.768217385E-1
1.932200417E-1,1.851062663E-2,4.574288130E-1,1.584770530E-1
2.031780417E-1,1.306214482E-1,4.244929850E-1,1.321487874E-1
2.131360417E-1,2.359403968E-1,3.974050581E-1,1.246721670E-1
2.230940417E-1,3.519767225E-1,4.174570441E-1,1.389480382E-1
2.330520417E-1,4.422158301E-1,4.465925694E-1,1.618628800E-1
2.430100417E-1,5.042011738E-1,4.416167140E-1,1.806709319E-1
2.529680417E-1,5.259820819E-1,4.262179136E-1,2.001677901E-1
2.629250417E-1,5.336027145E-1,4.099433124E-1,2.014410496E-1
2.728830417E-1,5.451695919E-1,4.210757315E-1,2.056820244E-1
2.828410417E-1,5.512929559E-1,3.926344812E-1,2.007440031E-1
2.927990417E-1,5.583714843E-1,4.150954783E-1,1.946909279E-1
3.027570417E-1,5.358102322E-1,4.557731450E-1,2.541523874E-1
3.127150417E-1,4.143719971E-1,5.822750926E-1,3.994081020E-1
3.226730417E-1,1.679760665E-1,9.279973507E-1,5.745537877E-1
3.326310417E-1,-1.680380553E-1,1.319511533E0,7.742127180E-1
3.425890417E-1,-5.121536851E-1,1.716109514E0,9.461245537E-1
3.525470417E-1,-7.328758836E-1,1.690451026E0,1.017898679E0
