"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.397804171E-2,1.225525238E-1,8.195515931E-2,5.564619720E-2
2.393604169E-2,1.443468507E-1,-2.384362981E-2,3.270739478E-1
3.389404167E-2,2.597052526E-1,-1.187892558E-1,3.461563361E-1
4.385104170E-2,2.647930612E-1,-1.688241725E-1,2.903084099E-1
5.380904168E-2,5.063118652E-2,-1.609250227E-1,2.926186448E-1
6.376704166E-2,-1.933352619E-2,-1.679387578E-1,3.227113402E-1
7.372504170E-2,3.813612521E-2,-1.351354395E-1,2.179456079E-1
8.368304168E-2,3.867845446E-2,-1.106847225E-1,-3.225441098E-2
9.364104166E-2,6.309993535E-2,-8.619117469E-2,-1.945965064E-1
1.035990417E-1,1.875533889E-1,5.902764201E-3,-1.674601632E-1
1.135570417E-1,3.612035608E-1,9.405933425E-2,-1.796013218E-1
1.235150417E-1,4.246109135E-1,1.506937109E-1,-2.945786315E-1
1.334730417E-1,2.383243239E-1,1.447719432E-1,-3.289070499E-1
1.434310417E-1,1.072559883E-1,8.658235341E-2,-2.702360880E-1
1.533880417E-1,7.448482968E-2,1.176199588E-1,-2.422483903E-1
1.633460417E-1,1.240339158E-1,1.866004390E-1,-2.706296057E-1
1.733040417E-1,1.377144270E-1,1.423101193E-1,-4.075328046E-1
1.832620417E-1,2.976956360E-2,1.244191012E-1,-5.663765109E-1
1.932200417E-1,3.248120986E-2,1.689298609E-1,-5.118184805E-1
2.031780417E-1,1.363125571E-1,1.616022764E-1,-4.109586883E-1
2.131360417E-1,7.385172240E-2,3.728477061E-2,-3.691464186E-1
2.230940417E-1,-5.206083074E-2,-1.006862761E-1,-2.303329343E-1
2.330520417E-1,-7.174877129E-2,-1.858761151E-1,-8.136459053E-2
2.430100417E-1,-3.446509704E-2,-2.232522485E-1,-1.490221381E-1
2.529680417E-1,-3.660108492E-2,-2.241302079E-1,-2.220532769E-1
2.629250417E-1,-1.421808958E-2,-1.083502217E-1,-4.088957906E-1
2.728830417E-1,3.435918935E-2,-6.233131886E-4,-5.949898607E-1
2.828410417E-1,5.338727161E-3,1.585984156E-2,-7.123949343E-1
2.927990417E-1,4.020494319E-2,-2.648876399E-2,-6.710136044E-1
3.027570417E-1,9.693620089E-2,-1.484593436E-1,-4.657862753E-1
3.127150417E-1,-1.194028480E-1,-2.864287823E-1,-4.442433786E-1
3.226730417E-1,-1.380023659E-1,-4.219084767E-1,-5.390752763E-1
3.326310417E-1,2.937949219E-1,-4.547742140E-1,-8.501044643E-1
3.425890417E-1,6.628425591E-1,-3.621329758E-1,-1.147962214E0
3.525470417E-1,6.426616251E-1,-1.697016934E-1,-1.006797565E0
3.625050417E-1,4.510492818E-1,8.298997030E-2,7.355446458E-2
3.724630417E-1,1.128442089E-1,1.828455032E-1,8.297286719E-1
3.824210417E-1,-2.202541617E-1,1.983340466E-1,9.720183259E-1
3.923780417E-1,-2.762209873E-1,2.654266070E-1,7.314463323E-1
4.023360417E-1,1.268114895E-3,3.307859065E-1,4.141980457E-1
4.122940417E-1,2.227912503E-1,3.771623665E-1,1.841580570E-1
4.222520417E-1,2.270660583E-1,3.113811904E-1,-1.822132730E-1
4.322100417E-1,1.097315533E-1,1.613724808E-1,-7.378566349E-1
4.421680417E-1,4.806717514E-1,-2.774669011E-1,-1.383469934E0
4.521260417E-1,8.096424629E-1,-4.447151028E-1,-1.829183888E0
4.620840417E-1,3.687822101E-1,2.783590400E-1,-7.124990147E-1
4.720420417E-1,-3.031111810E-1,5.397722644E-1,3.575689316E-1
4.820000417E-1,-5.601853693E-1,2.177582046E-1,3.735546345E-1
4.919580417E-1,-3.443811214E-1,-2.846433350E-1,-5.620869935E-2
