"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.397804171E-2,2.436370087E1,-1.500475311E1,-3.895689392E1
2.393604169E-2,2.431152344E1,-1.510166168E1,-3.895967102E1
3.389404167E-2,2.442344666E1,-1.519861603E1,-3.900605774E1
4.385104170E-2,2.478699493E1,-1.558745575E1,-3.899015808E1
5.380904168E-2,2.480516052E1,-1.564798355E1,-3.862879944E1
6.376704166E-2,2.493669128E1,-1.585002899E1,-3.850221252E1
7.372504170E-2,2.470048523E1,-1.617892838E1,-3.780181885E1
8.368304168E-2,2.494128418E1,-1.623238754E1,-3.833064270E1
9.364104166E-2,2.503422546E1,-1.639163971E1,-3.828273010E1
1.035990417E-1,2.528798676E1,-1.673810196E1,-3.821520996E1
1.135570417E-1,2.539356995E1,-1.670415497E1,-3.800971985E1
1.235150417E-1,2.543128204E1,-1.654957199E1,-3.800317383E1
1.334730417E-1,2.600801849E1,-1.648509979E1,-3.794190979E1
1.434310417E-1,2.618132019E1,-1.627713013E1,-3.792428589E1
1.533880417E-1,2.650090027E1,-1.637626266E1,-3.760899353E1
1.633460417E-1,2.646627808E1,-1.650096512E1,-3.718922424E1
1.733040417E-1,2.671487427E1,-1.634124374E1,-3.717773438E1
1.832620417E-1,2.667124939E1,-1.630236816E1,-3.713011169E1
1.932200417E-1,2.683374023E1,-1.620428085E1,-3.719067383E1
2.031780417E-1,2.707703400E1,-1.624592209E1,-3.671640015E1
2.131360417E-1,2.701941681E1,-1.641750717E1,-3.699861145E1
2.230940417E-1,2.722910309E1,-1.658964920E1,-3.670204163E1
2.330520417E-1,2.723284912E1,-1.651668930E1,-3.672602844E1
2.430100417E-1,2.742565155E1,-1.691102600E1,-3.629321289E1
2.529680417E-1,2.760285950E1,-1.732908249E1,-3.651634216E1
2.629250417E-1,2.777805328E1,-1.744124222E1,-3.597462463E1
2.728830417E-1,2.833760834E1,-1.763703537E1,-3.559126282E1
2.828410417E-1,2.832602692E1,-1.784547424E1,-3.514215088E1
2.927990417E-1,2.839093018E1,-1.788841248E1,-3.477549744E1
3.027570417E-1,2.863636017E1,-1.798836517E1,-3.503778076E1
3.127150417E-1,2.857926178E1,-1.854284286E1,-3.491387939E1
3.226730417E-1,2.865675354E1,-1.883304214E1,-3.474163818E1
3.326310417E-1,2.904882812E1,-1.912466431E1,-3.460061646E1
3.425890417E-1,2.914891052E1,-1.927120590E1,-3.370610046E1
3.525470417E-1,2.973727417E1,-1.933813858E1,-3.359678650E1
3.625050417E-1,2.989327240E1,-1.946517181E1,-3.331040955E1
3.724630417E-1,3.023948669E1,-1.941032028E1,-3.291842651E1
3.824210417E-1,3.046994019E1,-1.954639816E1,-3.246102905E1
3.923780417E-1,3.054193878E1,-1.952056885E1,-3.243090820E1
4.023360417E-1,3.026213074E1,-1.959541321E1,-3.283912659E1
4.122940417E-1,3.041854095E1,-1.961497879E1,-3.290283203E1
4.222520417E-1,3.047528076E1,-1.962766647E1,-3.285148621E1
4.322100417E-1,3.070657349E1,-1.976447296E1,-3.250793457E1
4.421680417E-1,3.088404846E1,-1.966853333E1,-3.197958374E1
4.521260417E-1,3.112203217E1,-1.959210587E1,-3.223844910E1
4.620840417E-1,3.141838074E1,-1.956076813E1,-3.216867065E1
4.720420417E-1,3.119582367E1,-1.942855453E1,-3.185139465E1
4.820000417E-1,3.144033813E1,-1.962825012E1,-3.153263855E1
4.919580417E-1,3.142667389E1,-2.003489685E1,-3.139080811E1
5.019160417E-1,3.141390228E1,-2.005808640E1,-3.118707275E1
5.118730417E-1,3.164286804E1,-2.013951874E1,-3.127101135E1
5.218310417E-1,3.194960022E1,-2.058016586E1,-3.091206360E1
5.317890417E-1,3.234902954E1,-2.080174637E1,-3.022850037E1
5.417470417E-1,3.256253052E1,-2.097298813E1,-2.960484314E1
5.517050417E-1,3.337662506E1,-2.153731918E1,-2.890470886E1
5.616630417E-1,3.423068237E1,-2.148127365E1,-2.811253357E1
5.716210417E-1,3.481229401E1,-2.171261215E1,-2.679122925E1
5.815790417E-1,3.528703308E1,-2.215224075E1,-2.590606689E1
5.915370417E-1,3.568267822E1,-2.276866913E1,-2.499482727E1
6.014950417E-1,3.585612488E1,-2.336431122E1,-2.420298767E1
6.114530417E-1,3.572928619E1,-2.395595932E1,-2.437022400E1
6.214110417E-1,3.536709595E1,-2.435074615E1,-2.393576050E1
6.313690417E-1,3.483647156E1,-2.500071716E1,-2.439012146E1
6.413260417E-1,3.421839142E1,-2.567102051E1,-2.445133972E1
6.512840417E-1,3.389653015E1,-2.608239365E1,-2.459126282E1
6.612420417E-1,3.370875549E1,-2.615554047E1,-2.517665100E1
6.712000417E-1,3.382617188E1,-2.573062515E1,-2.519503784E1
6.811580417E-1,3.412947083E1,-2.557433319E1,-2.527474976E1
6.911160417E-1,3.407675934E1,-2.459696960E1,-2.573931885E1
7.010740417E-1,3.448757172E1,-2.367270660E1,-2.629577637E1
7.110320417E-1,3.481086731E1,-2.307500076E1,-2.644331360E1
7.209900417E-1,3.538658142E1,-2.208963776E1,-2.612092590E1
7.309487084E-1,3.600493622E1,-2.119100189E1,-2.638496399E1
7.409067083E-1,3.660068512E1,-2.025724792E1,-2.583131409E1
7.508647083E-1,3.742099762E1,-1.920747375E1,-2.565617371E1
7.608227084E-1,3.816822815E1,-1.841297150E1,-2.527134705E1
7.707797083E-1,3.861682892E1,-1.725911713E1,-2.497709656E1
7.807377083E-1,3.954297638E1,-1.613951874E1,-2.515327454E1
7.906957084E-1,3.983801270E1,-1.518270111E1,-2.540357971E1
8.006537083E-1,4.002488708E1,-1.455924606E1,-2.550827026E1
8.106117083E-1,4.029976654E1,-1.393890762E1,-2.581658936E1
8.205697084E-1,4.018996429E1,-1.340089417E1,-2.610464478E1
8.305277083E-1,4.039666748E1,-1.312168884E1,-2.579156494E1
8.404857083E-1,4.034291077E1,-1.273839951E1,-2.578807068E1
8.504437084E-1,4.071559906E1,-1.240407181E1,-2.602348328E1
8.604017083E-1,4.080913544E1,-1.167096710E1,-2.643341064E1
8.703597083E-1,4.086326599E1,-1.060153961E1,-2.652272034E1
8.803177084E-1,4.121285248E1,-9.327938080E0,-2.671757507E1
8.902757083E-1,4.138881683E1,-8.187477112E0,-2.681317139E1
9.002337083E-1,4.165524292E1,-7.099544525E0,-2.695533752E1
9.101907084E-1,4.194728088E1,-6.261226654E0,-2.664480591E1
9.201487083E-1,4.217956543E1,-5.187122345E0,-2.640907288E1
9.301067084E-1,4.250225830E1,-4.404830933E0,-2.620278931E1
9.400647084E-1,4.278200531E1,-3.427234650E0,-2.605828857E1
9.500227083E-1,4.342011261E1,-2.547004700E0,-2.520545959E1
9.599807084E-1,4.380682373E1,-1.581275940E0,-2.442861938E1
9.699387084E-1,4.447492218E1,-1.932411194E-1,-2.299636841E1
9.798967083E-1,4.491005707E1,1.123760223E0,-2.219358826E1
9.898547084E-1,4.535945892E1,1.750740051E0,-2.078691101E1
9.998127084E-1,4.589380646E1,2.964084625E0,-1.972455597E1
1.009770708E0,4.653797913E1,3.647888184E0,-1.842410278E1
1.019728708E0,4.686870575E1,4.407299042E0,-1.727923584E1
1.029686708E0,4.692516327E1,4.961120605E0,-1.648974609E1
1.039644708E0,4.718996429E1,5.379096985E0,-1.558650970E1
1.049602708E0,4.754400253E1,5.890769958E0,-1.508440399E1
1.059559708E0,4.760462570E1,5.961654663E0,-1.456836700E1
1.069517708E0,4.788443375E1,5.975685120E0,-1.353060913E1
1.079475708E0,4.810109711E1,6.213546753E0,-1.272198486E1
1.089433708E0,4.813021088E1,6.428977966E0,-1.233969879E1
1.099391708E0,4.791474152E1,6.462936401E0,-1.199877930E1
1.109349708E0,4.803645325E1,6.810203552E0,-1.141778564E1
1.119307708E0,4.840280914E1,7.125961304E0,-1.067263031E1
1.129265708E0,4.835746384E1,7.860054016E0,-9.842353821E0
1.139223708E0,4.843951797E1,8.511039734E0,-8.797935486E0
1.149181708E0,4.852029800E1,8.777473450E0,-7.854064941E0
1.159139708E0,4.851630402E1,9.206146240E0,-7.027626038E0
1.169097708E0,4.845044708E1,9.555679321E0,-6.115707397E0
1.179055708E0,4.845873260E1,9.747009277E0,-5.503242493E0
1.189013708E0,4.845057678E1,9.823776245E0,-5.236999512E0
1.198971708E0,4.846253586E1,1.017563629E1,-4.964767456E0
1.208928708E0,4.855542755E1,1.026892090E1,-4.375122070E0
1.218886708E0,4.871619797E1,1.041883850E1,-4.358139038E0
1.228844708E0,4.855952835E1,1.047522736E1,-3.764625549E0
1.238802708E0,4.866636658E1,1.040544128E1,-3.663482666E0
1.248760708E0,4.852565384E1,1.061291504E1,-4.026573181E0
1.258718708E0,4.847977829E1,1.074811554E1,-4.292221069E0
1.268676708E0,4.844847870E1,1.105242920E1,-4.557411194E0
1.278634708E0,4.849228287E1,1.114141083E1,-4.835296631E0
1.288592708E0,4.835210419E1,1.129793549E1,-5.042297363E0
1.298550708E0,4.824891663E1,1.116589355E1,-5.493171692E0
1.308508708E0,4.841326141E1,1.127762604E1,-5.720260620E0
1.318466708E0,4.845853043E1,1.153892517E1,-5.855476379E0
1.328424708E0,4.814947891E1,1.147834778E1,-6.514099121E0
1.338382708E0,4.824623108E1,1.150109863E1,-6.530944824E0
1.348340708E0,4.858049393E1,1.163835907E1,-6.685287476E0
1.358298708E0,4.837718582E1,1.192858124E1,-6.320594788E0
1.368255708E0,4.830757904E1,1.180339813E1,-5.841964722E0
1.378213708E0,4.813152695E1,1.211616516E1,-5.490119934E0
1.388171708E0,4.802397919E1,1.221035004E1,-4.598983765E0
1.398129708E0,4.845123291E1,1.225135803E1,-3.920555115E0
1.408087708E0,4.844079208E1,1.190882874E1,-3.308929443E0
1.418045708E0,4.888018036E1,1.203019714E1,-2.964477539E0
1.428003708E0,4.849858093E1,1.207634735E1,-2.593811035E0
1.437961708E0,4.852830124E1,1.187407684E1,-2.770507812E0
1.447919708E0,4.877212906E1,1.192709351E1,-2.589561462E0
1.457877708E0,4.869686508E1,1.155886841E1,-2.756027222E0
1.467835708E0,4.867317581E1,1.131626892E1,-2.531768799E0
1.477793708E0,4.879262161E1,1.109899902E1,-2.259864807E0
1.487751708E0,4.886800003E1,1.095291901E1,-1.809532166E0
1.497709708E0,4.886064529E1,1.100382233E1,-1.324035645E0
1.507667708E0,4.886064529E1,1.100382233E1,-1.324035645E0
1.517625708E0,4.881156921E1,1.078075409E1,-9.037628174E-1
1.527582708E0,4.884267426E1,1.063218689E1,1.560211182E-2
1.537540708E0,4.872962952E1,1.055213165E1,6.596603394E-1
1.547498708E0,4.873698044E1,1.042163849E1,1.293449402E0
1.557456708E0,4.867882919E1,1.038519287E1,2.096076965E0
1.567414708E0,4.882143402E1,1.035218811E1,2.803436279E0
1.577372708E0,4.857437134E1,1.056018829E1,3.496932983E0
1.587330708E0,4.825330353E1,1.073450470E1,4.646499634E0
1.597288708E0,4.806883240E1,1.137595367E1,6.481315613E0
1.607246708E0,4.794380569E1,1.147451782E1,8.462997437E0
1.617204708E0,4.742652130E1,1.196279907E1,1.040322876E1
1.627162708E0,4.673186111E1,1.190332031E1,1.240755463E1
1.637120708E0,4.611412048E1,1.238401031E1,1.457971954E1
1.647078708E0,4.522298431E1,1.289886475E1,1.667684174E1
1.657036708E0,4.451959991E1,1.326840210E1,1.813316345E1
1.666994708E0,4.397659302E1,1.365011597E1,1.972114563E1
