"Time (s)","X (hPa)"
-5.720717917E-1,1.008744965E3
4.357502083E-1,1.008750610E3
1.443520208E0,1.008756180E3
2.451273208E0,1.008756256E3
3.459010208E0,1.008762131E3
3.807582208E0,1.008762817E3
4.882485208E0,1.008762970E3
5.957418208E0,1.008763199E3
7.032332208E0,1.008765106E3
8.107237208E0,1.008765182E3
9.182079208E0,1.008766632E3
1.025695721E1,1.008767471E3
1.133186021E1,1.008769379E3
1.240674921E1,1.008770447E3
1.348163821E1,1.008772964E3
1.455651621E1,1.008777542E3
1.563138821E1,1.008779907E3
1.670624221E1,1.008781509E3
1.778114521E1,1.008782806E3
1.885607221E1,1.008783417E3
1.993095921E1,1.008784332E3
2.100582321E1,1.008787689E3
2.208073221E1,1.008793488E3
2.315567221E1,1.008799286E3
2.423069121E1,1.008804474E3
2.530562421E1,1.008809586E3
2.638054221E1,1.008813934E3
2.745547121E1,1.008817520E3
2.853041121E1,1.008819046E3
2.960538821E1,1.008820343E3
3.068033321E1,1.008820343E3
3.175530321E1,1.008819275E3
3.283026221E1,1.008818436E3
3.390523121E1,1.008817825E3
3.498017221E1,1.008817139E3
3.605512621E1,1.008816681E3
3.713002321E1,1.008816681E3
3.820492721E1,1.008816681E3
3.927987421E1,1.008815231E3
4.035484421E1,1.008815231E3
4.142976921E1,1.008815613E3
4.250471921E1,1.008817520E3
4.357964521E1,1.008819199E3
4.465458421E1,1.008820724E3
4.572958621E1,1.008823013E3
4.680455121E1,1.008823471E3
4.787948121E1,1.008823471E3
4.895433521E1,1.008824463E3
5.002919521E1,1.008824234E3
5.110410621E1,1.008824539E3
5.217902421E1,1.008824234E3
5.325394321E1,1.008823853E3
5.432885521E1,1.008822556E3
5.540381121E1,1.008822556E3
5.647875021E1,1.008822556E3
5.755369521E1,1.008822632E3
5.862865521E1,1.008824768E3
5.970362421E1,1.008825531E3
6.077858321E1,1.008825760E3
6.185350621E1,1.008825531E3
6.292845621E1,1.008825073E3
6.400341421E1,1.008824234E3
6.507835521E1,1.008822403E3
6.615333221E1,1.008820267E3
6.722830021E1,1.008816452E3
6.830330021E1,1.008814163E3
6.937828821E1,1.008810272E3
7.045326821E1,1.008806229E3
7.152829421E1,1.008802338E3
7.260322721E1,1.008798752E3
7.367814821E1,1.008794861E3
7.475308721E1,1.008790970E3
7.582810921E1,1.008788910E3
7.690311121E1,1.008788300E3
7.797808721E1,1.008788300E3
7.905315421E1,1.008789139E3
8.012812921E1,1.008791656E3
8.120308921E1,1.008795624E3
8.227803521E1,1.008795700E3
8.335301921E1,1.008796768E3
8.442798921E1,1.008797607E3
8.550292821E1,1.008797989E3
8.657782221E1,1.008797989E3
8.765269721E1,1.008800507E3
8.872765521E1,1.008802185E3
8.980261021E1,1.008802338E3
9.087755321E1,1.008802338E3
9.195248021E1,1.008799896E3
9.302748121E1,1.008799820E3
9.410243721E1,1.008799820E3
9.517738821E1,1.008803024E3
9.625237721E1,1.008805771E3
9.732739921E1,1.008810120E3
9.840243221E1,1.008814545E3
9.947739621E1,1.008818359E3
1.005523512E2,1.008821106E3
1.016273852E2,1.008825073E3
1.027023402E2,1.008829498E3
1.037772452E2,1.008829575E3
1.048521852E2,1.008829575E3
1.059271562E2,1.008828506E3
1.070021022E2,1.008827591E3
1.080770752E2,1.008827591E3
1.091520492E2,1.008829498E3
1.102270082E2,1.008831177E3
1.113019652E2,1.008835068E3
1.123769842E2,1.008837585E3
1.134519202E2,1.008839264E3
1.145268852E2,1.008840942E3
1.156018272E2,1.008843613E3
1.166767672E2,1.008845749E3
1.177516922E2,1.008847885E3
1.188266662E2,1.008848495E3
1.199016512E2,1.008849945E3
1.209766312E2,1.008849945E3
1.220516252E2,1.008848877E3
1.231265942E2,1.008848877E3
1.242015712E2,1.008848114E3
1.252765602E2,1.008847427E3
1.263515402E2,1.008846970E3
1.274265382E2,1.008846970E3
1.285015242E2,1.008847809E3
1.295764452E2,1.008848495E3
1.306513832E2,1.008849106E3
1.317263062E2,1.008849716E3
1.328012462E2,1.008850555E3
1.338762472E2,1.008850555E3
1.349511962E2,1.008849564E3
1.360261532E2,1.008848724E3
1.371011132E2,1.008847656E3
1.381760682E2,1.008845749E3
1.392510732E2,1.008845749E3
1.403260642E2,1.008846207E3
1.414010092E2,1.008847656E3
1.424759642E2,1.008849487E3
1.435509072E2,1.008850555E3
1.446258692E2,1.008852692E3
1.457007912E2,1.008853531E3
1.467757852E2,1.008854980E3
1.478507542E2,1.008855438E3
1.489257032E2,1.008856277E3
1.500006862E2,1.008857346E3
1.510756682E2,1.008857574E3
1.521505992E2,1.008857574E3
1.532256172E2,1.008857117E3
1.543006422E2,1.008854828E3
1.553756572E2,1.008853531E3
1.564506782E2,1.008851852E3
1.575256902E2,1.008849945E3
1.586007112E2,1.008847504E3
1.596757352E2,1.008846970E3
1.607508182E2,1.008846436E3
1.618258362E2,1.008845062E3
1.629008752E2,1.008844299E3
1.639758522E2,1.008842392E3
