"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.339602470E-2,3.564352796E1,1.397938236E2,5.957146883E0,NaN,NaN,3.500000000E1,2.315434456E1
1.339602470E-2,3.564352787E1,1.397938235E2,5.956754684E0,NaN,NaN,3.500000000E1,1.832980347E1
2.097576499E1,3.564351509E1,1.397938084E2,2.054391861E0,NaN,NaN,4.168694294E2,4.083324432E1
2.724996996E1,3.564351201E1,1.397938047E2,2.054391861E0,NaN,NaN,4.546717574E2,4.083324432E1
4.134887695E1,3.564352102E1,1.397938611E2,1.468754482E1,NaN,NaN,3.500000000E1,2.439772797E1
5.894498694E1,3.564352308E1,1.397938875E2,1.078512096E1,NaN,NaN,4.912937976E2,4.107880402E1
6.247969294E1,3.564353415E1,1.397938324E2,8.843888283E0,NaN,NaN,3.500000000E1,2.455157852E1
8.514993894E1,3.564353387E1,1.397938327E2,6.836140633E0,NaN,NaN,3.500000000E1,2.501530457E1
9.337752199E1,3.564351851E1,1.397938268E2,6.327668428E0,NaN,NaN,3.500000000E1,2.247947502E1
1.005809400E2,3.564353879E1,1.397938607E2,6.123364210E0,NaN,NaN,3.500000000E1,2.158695602E1
1.155872610E2,3.564351818E1,1.397938374E2,6.014043331E0,NaN,NaN,3.500000000E1,2.349090958E1
1.237717400E2,3.564351746E1,1.397938361E2,5.986710787E0,NaN,NaN,3.500000000E1,2.213603592E1
1.310348210E2,3.564353346E1,1.397938330E2,5.975883245E0,NaN,NaN,3.500000000E1,2.152452087E1
1.316792510E2,3.564353400E1,1.397938326E2,5.972220898E0,NaN,NaN,3.500000000E1,1.798060799E1
1.619338220E2,3.564352192E1,1.397938374E2,5.967894554E0,NaN,NaN,3.500000000E1,2.537002182E1
1.739830750E2,3.564350828E1,1.397938413E2,2.065493584E0,NaN,NaN,2.628641885E2,3.687445831E1
1.812305460E2,3.564350123E1,1.397938433E2,2.065493584E0,NaN,NaN,3.300863318E2,3.687445831E1
2.058459439E2,3.564352481E1,1.397938406E2,5.965637922E0,NaN,NaN,3.500000000E1,2.430797386E1
2.131117070E2,3.564353381E1,1.397938325E2,5.964070082E0,NaN,NaN,3.500000000E1,2.204235649E1
2.915722799E2,3.564337231E1,1.397944005E2,2.061680555E0,NaN,NaN,1.938215131E3,7.397145081E1
2.975993580E2,3.564325274E1,1.397947456E2,2.061680555E0,NaN,NaN,1.948410691E3,7.397145081E1
3.091830630E2,3.564318433E1,1.397949441E2,2.061680555E0,NaN,NaN,1.987494595E3,7.397145081E1
3.155232949E2,3.564315662E1,1.397950229E2,2.061680555E0,NaN,NaN,2.000000000E3,7.397145081E1
3.268419080E2,3.564351966E1,1.397938314E2,5.956162453E0,NaN,NaN,2.000000000E1,3.000000000E1
3.505759240E2,3.564351934E1,1.397938366E2,5.974013090E0,NaN,NaN,3.500000000E1,2.561149979E1
3.812432370E2,3.564353704E1,1.397938706E2,5.967430592E0,NaN,NaN,3.500000000E1,2.588046455E1
3.894927430E2,3.564354110E1,1.397938305E2,5.967778206E0,NaN,NaN,3.500000000E1,2.266881371E1
3.968104340E2,3.564352537E1,1.397938394E2,5.965160370E0,NaN,NaN,3.500000000E1,2.167150688E1
4.050520099E2,3.564352462E1,1.397938406E2,5.962649107E0,NaN,NaN,3.500000000E1,2.174938774E1
4.123732100E2,3.564353366E1,1.397938327E2,5.962306499E0,NaN,NaN,3.500000000E1,2.145141792E1
4.205057250E2,3.564352846E1,1.397938268E2,5.958835602E0,NaN,NaN,3.500000000E1,2.166325188E1
4.280573740E2,3.564352163E1,1.397938373E2,5.961588621E0,NaN,NaN,3.500000000E1,2.151225471E1
4.369483600E2,3.564352915E1,1.397938541E2,5.958343267E0,NaN,NaN,3.500000000E1,2.192491722E1
4.633166920E2,3.564353387E1,1.397938322E2,5.953356743E0,NaN,NaN,3.500000000E1,2.521920204E1
4.706752890E2,3.564352207E1,1.397938342E2,5.954245567E0,NaN,NaN,3.500000000E1,2.228013039E1
4.858700420E2,3.564353221E1,1.397938394E2,5.961314917E0,NaN,NaN,3.500000000E1,2.362339020E1
4.941007000E2,3.564352013E1,1.397938327E2,5.966069937E0,NaN,NaN,3.500000000E1,2.217890739E1
5.014599540E2,3.564352750E1,1.397938303E2,5.969170332E0,NaN,NaN,3.500000000E1,2.156833649E1
5.391934880E2,3.564350237E1,1.397940057E2,2.066780806E0,NaN,NaN,8.322162975E2,5.292753220E1
5.402448289E2,3.564353782E1,1.397938631E2,5.958364010E0,NaN,NaN,3.500000000E1,2.617377853E1
5.552748400E2,3.564352547E1,1.397938230E2,5.956402540E0,NaN,NaN,3.500000000E1,2.412420273E1
5.634087380E2,3.564352205E1,1.397938364E2,5.956949711E0,NaN,NaN,3.500000000E1,2.226016617E1
5.707247540E2,3.564351966E1,1.397938333E2,5.959688187E0,NaN,NaN,3.500000000E1,2.157290077E1
5.788553079E2,3.564352179E1,1.397938342E2,5.958126068E0,NaN,NaN,3.500000000E1,2.169012833E1
5.861731679E2,3.564350939E1,1.397938458E2,5.957641602E0,NaN,NaN,3.500000000E1,2.143586731E1
5.943034689E2,3.564352122E1,1.397938351E2,5.958079338E0,NaN,NaN,3.500000000E1,2.165897751E1
6.016276879E2,3.564351994E1,1.397938360E2,5.958428860E0,NaN,NaN,3.500000000E1,2.143059349E1
6.097581480E2,3.564352460E1,1.397938408E2,5.958399773E0,NaN,NaN,3.500000000E1,2.165783501E1
6.170756670E2,3.564353247E1,1.397938391E2,5.960041523E0,NaN,NaN,3.500000000E1,2.142791748E1
6.252058320E2,3.564353405E1,1.397938325E2,5.961171150E0,NaN,NaN,3.500000000E1,2.165712738E1
6.325225980E2,3.564352267E1,1.397938188E2,5.962448835E0,NaN,NaN,3.500000000E1,2.142747498E1
6.406555320E2,3.564352119E1,1.397938381E2,5.963659525E0,NaN,NaN,3.500000000E1,2.165796471E1
6.479753960E2,3.564352436E1,1.397938270E2,5.967835665E0,NaN,NaN,3.500000000E1,2.142878723E1
6.561036360E2,3.564352801E1,1.397938301E2,5.968744516E0,NaN,NaN,3.500000000E1,2.165667343E1
6.634198999E2,3.564352207E1,1.397938373E2,5.970262766E0,NaN,NaN,3.500000000E1,2.142718506E1
6.715512180E2,3.564352427E1,1.397938266E2,5.963528156E0,NaN,NaN,3.500000000E1,2.165735245E1
6.788720189E2,3.564350987E1,1.397938161E2,5.951196432E0,NaN,NaN,3.500000000E1,2.142897415E1
6.870019670E2,3.564352414E1,1.397938401E2,5.941956043E0,NaN,NaN,3.500000000E1,2.165729332E1
6.943196340E2,3.564352237E1,1.397938381E2,5.939791441E0,NaN,NaN,3.500000000E1,2.142783737E1
7.023952870E2,3.564352776E1,1.397938234E2,5.938214302E0,NaN,NaN,3.500000000E1,2.163859749E1
7.096403750E2,3.564351352E1,1.397938296E2,5.929669142E0,NaN,NaN,3.500000000E1,2.139718819E1
7.323060200E2,3.564351972E1,1.397938327E2,5.924079657E0,NaN,NaN,3.500000000E1,2.473021889E1
7.405362320E2,3.564351988E1,1.397938328E2,5.943473101E0,NaN,NaN,3.500000000E1,2.241904068E1
7.477458739E2,3.564352450E1,1.397938407E2,5.953149796E0,NaN,NaN,3.500000000E1,2.157447052E1
7.705843890E2,3.564352820E1,1.397938306E2,5.963681936E0,NaN,NaN,3.500000000E1,2.476872444E1
