"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.463048800E-2,-1.277767301E0,8.690732002E0,4.159324169E0
1.682400400E-2,-1.263410330E0,8.675776482E0,4.140779495E0
1.901608400E-2,-1.262812138E0,8.690732002E0,4.107280254E0
2.120776500E-2,-1.223928809E0,8.709276199E0,4.079164505E0
2.340748000E-2,-1.195214868E0,8.727820396E0,4.064807415E0
2.564295300E-2,-1.146760225E0,8.746364594E0,4.036691666E0
2.787909800E-2,-1.084546804E0,8.750552177E0,4.027718544E0
3.011579300E-2,-1.074377418E0,8.760123253E0,3.999004841E0
3.235236500E-2,-1.025922656E0,8.783453941E0,3.975674868E0
3.459009700E-2,-9.972088337E-1,8.773283958E0,3.976273060E0
3.682483900E-2,-9.583254457E-1,8.782257080E0,3.947559118E0
3.906183800E-2,-9.439685345E-1,8.767900467E0,3.919443607E0
4.129767800E-2,-9.583254457E-1,8.772686005E0,3.895515203E0
4.353357900E-2,-9.391828775E-1,8.767900467E0,3.866801500E0
4.577216500E-2,-9.433703423E-1,8.768498421E0,3.847658873E0
4.800770000E-2,-9.631111026E-1,8.749356270E0,3.828516245E0
5.024408900E-2,-9.577272534E-1,8.744570732E0,3.799802303E0
5.248206500E-2,-9.816554785E-1,8.745168686E0,3.790230989E0
5.471924800E-2,-9.625129104E-1,8.749954224E0,3.766302824E0
5.695081500E-2,-9.816554785E-1,8.721240044E0,3.732803345E0
5.918360300E-2,-9.720842242E-1,8.726025581E0,3.733401537E0
6.142292200E-2,-9.912267923E-1,8.731410027E0,3.713660717E0
6.366150800E-2,-1.010369420E0,8.740981102E0,3.732803345E0
6.589960600E-2,-1.005583763E0,8.755337715E0,3.751945972E0
6.813367600E-2,-1.005583763E0,8.764909744E0,3.775874138E0
7.037085900E-2,-1.019940615E0,8.760123253E0,3.823132277E0
7.260724800E-2,-1.020538807E0,8.754739761E0,3.856631994E0
7.484363700E-2,-1.030110121E0,8.764310837E0,3.880560160E0
7.708100300E-2,-1.025922656E0,8.769096375E0,3.928416491E0
7.931916300E-2,-1.054636598E0,8.778668404E0,4.004388809E0
8.155060800E-2,-1.060020447E0,8.802596092E0,4.080360889E0
8.378644700E-2,-1.080359459E0,8.773283958E0,4.156332970E0
8.602277500E-2,-1.104287624E0,8.787641525E0,4.227519512E0
8.826270500E-2,-1.143171072E0,8.783453941E0,4.289134502E0
9.050226800E-2,-1.144367456E0,8.782855988E0,4.384847641E0
9.273237000E-2,-1.163509965E0,8.778069496E0,4.436891556E0
9.496857700E-2,-1.168893814E0,8.778069496E0,4.508676052E0
9.720490400E-2,-1.179063320E0,8.773283958E0,4.560719967E0
9.944434500E-2,-1.189232826E0,8.758927345E0,4.599005222E0
1.016794520E-1,-1.199402332E0,8.743971825E0,4.651647091E0
1.039119960E-1,-1.209571838E0,8.724829674E0,4.689334393E0
1.061464330E-1,-1.209571838E0,8.729615211E0,4.718048096E0
1.083876440E-1,-1.248455167E0,8.715856552E0,4.741377831E0
1.106239720E-1,-1.249053478E0,8.701499939E0,4.755734921E0
1.128603600E-1,-1.273579836E0,8.668000221E0,4.774877548E0
1.150966890E-1,-1.292124271E0,8.702097893E0,4.812564373E0
1.173321020E-1,-1.311266780E0,8.697312355E0,4.798207760E0
1.195684910E-1,-1.316052437E0,8.716454506E0,4.826921463E0
1.218048800E-1,-1.320838094E0,8.706883430E0,4.817350388E0
1.240418800E-1,-1.369292736E0,8.697910309E0,4.811966419E0
1.262769870E-1,-1.373480201E0,8.708079338E0,4.797609329E0
1.285132540E-1,-1.378265858E0,8.717651367E0,4.802394867E0
1.307505590E-1,-1.392622828E0,8.722436905E0,4.783252239E0
1.329874360E-1,-1.415952802E0,8.742177963E0,4.730610371E0
1.352208950E-1,-1.396211982E0,8.766105652E0,4.735395908E0
1.374539880E-1,-1.381855130E0,8.770891190E0,4.706682205E0
1.396941010E-1,-1.390828133E0,8.766105652E0,4.687539577E0
1.419320160E-1,-1.405185103E0,8.780462265E0,4.677968502E0
1.441687100E-1,-1.371087432E0,8.785248756E0,4.635495663E0
1.464033910E-1,-1.362114310E0,8.770891190E0,4.630710125E0
1.486414890E-1,-1.371087432E0,8.770891190E0,4.601995945E0
1.508901460E-1,-1.356730461E0,8.770891190E0,4.578067780E0
