"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.515210900E-2,2.992659950E1,-2.106939888E1,-1.019919968E1
4.515259800E-2,3.068299866E1,-2.133779907E1,-9.552599907E0
5.515210900E-2,3.012179947E1,-2.116699982E1,-1.039439964E1
6.515235300E-2,3.040239906E1,-2.125239944E1,-9.869799614E0
7.515821300E-2,3.030480003E1,-2.124020004E1,-9.772199631E0
8.515333000E-2,2.982899857E1,-2.126459885E1,-1.019919968E1
9.514991200E-2,3.024379921E1,-2.155739975E1,-1.117519951E1
1.051530860E-1,3.001199913E1,-2.077659988E1,-1.000399971E1
1.151618750E-1,3.030480003E1,-2.115480042E1,-9.784399986E0
1.251523530E-1,3.041459846E1,-2.115480042E1,-1.007719994E1
1.351535740E-1,2.991440010E1,-2.095960045E1,-9.698999405E0
1.451516210E-1,3.012179947E1,-2.106939888E1,-1.008939934E1
1.551640720E-1,3.031699944E1,-2.135000038E1,-1.017479992E1
1.651523530E-1,3.012179947E1,-2.154520035E1,-1.017479992E1
1.751638280E-1,3.029259872E1,-2.076440048E1,-9.491600037E0
1.851523530E-1,3.021939850E1,-2.097179985E1,-1.039439964E1
1.951640720E-1,3.040239906E1,-2.124020004E1,-9.772199631E0
2.051521090E-1,3.050000000E1,-2.124020004E1,-9.772199631E0
2.151638280E-1,3.051219940E1,-2.105719948E1,-1.007719994E1
2.251518650E-1,3.048779869E1,-2.152079964E1,-9.662400246E0
2.351640720E-1,2.963379860E1,-2.126459885E1,-1.030900002E1
2.451518650E-1,3.021939850E1,-2.144759941E1,-1.017479992E1
2.551638280E-1,3.023159981E1,-2.106939888E1,-1.058959961E1
2.651547950E-1,3.021939850E1,-2.135000038E1,-1.017479992E1
2.751640720E-1,3.012179947E1,-2.126459885E1,-1.028460026E1
2.851518650E-1,2.991440010E1,-2.115480042E1,-9.894199371E0
2.951638280E-1,3.041459846E1,-2.125239944E1,-1.036999989E1
3.051523530E-1,3.002419853E1,-2.116699982E1,-1.029679966E1
3.151640720E-1,2.971920013E1,-2.164279938E1,-1.008939934E1
3.251638280E-1,3.041459846E1,-2.135000038E1,-1.036999989E1
