"Time (s)","Temperature (°C)"
5.248206500E-2,2.422656250E1
7.037085900E-2,2.421875000E1
8.826270500E-2,2.423437500E1
1.061464330E-1,2.422656250E1
1.240418800E-1,2.421875000E1
1.419320160E-1,2.425000000E1
1.598339330E-1,2.424218750E1
1.777241300E-1,2.425781250E1
1.956144500E-1,2.423437500E1
2.135046480E-1,2.421875000E1
2.313976530E-1,2.423437500E1
2.492854100E-1,2.418359375E1
2.671728000E-1,2.422265625E1
2.850659880E-1,2.421875000E1
3.029534390E-1,2.423437500E1
3.208377780E-1,2.418359375E1
3.387370090E-1,2.422265625E1
3.566269020E-1,2.421875000E1
3.745127050E-1,2.422656250E1
3.924077240E-1,2.423437500E1
4.102982880E-1,2.421875000E1
4.281885470E-1,2.423437500E1
4.460788670E-1,2.419531250E1
4.639691870E-1,2.423437500E1
4.818535250E-1,2.422656250E1
4.997497650E-1,2.422656250E1
5.176460670E-1,2.421093750E1
5.355301610E-1,2.421875000E1
5.534083960E-1,2.425000000E1
5.713110450E-1,2.422656250E1
5.892013640E-1,2.418750000E1
6.070945530E-1,2.424218750E1
6.249821870E-1,2.420312500E1
6.428703710E-1,2.423437500E1
6.607627050E-1,2.426562500E1
6.786528410E-1,2.423437500E1
6.965431000E-1,2.424218750E1
7.144336640E-1,2.418750000E1
7.323269140E-1,2.422656250E1
7.501897050E-1,2.421875000E1
7.680927220E-1,2.422656250E1
7.859948210E-1,2.424218750E1
8.038852630E-1,2.421875000E1
8.217754000E-1,2.423437500E1
8.396657200E-1,2.421875000E1
8.575442600E-1,2.421875000E1
8.754465430E-1,2.420312500E1
8.933366180E-1,2.425000000E1
9.112243130E-1,2.421093750E1
9.291171970E-1,2.422656250E1
9.470107520E-1,2.422656250E1
9.648979590E-1,2.424218750E1
9.827880340E-1,2.420312500E1
1.000678659E0,2.423437500E1
1.018571725E0,2.420312500E1
1.036459177E0,2.425781250E1
1.054345285E0,2.425000000E1
1.072239816E0,2.423437500E1
1.090130136E0,2.421875000E1
1.108023508E0,2.423437500E1
1.125898752E0,2.421875000E1
1.143789072E0,2.422656250E1
1.161680368E0,2.421093750E1
1.179581491E0,2.422656250E1
1.197464060E0,2.423437500E1
1.215359628E0,2.421093750E1
1.233252634E0,2.422656250E1
1.251143076E0,2.424218750E1
1.269033274E0,2.425000000E1
1.286924692E0,2.422656250E1
1.304814218E0,2.421093750E1
1.322704172E0,2.421875000E1
1.340594797E0,2.426562500E1
1.358484873E0,2.424218750E1
1.376375193E0,2.421093750E1
1.394268625E0,2.423437500E1
1.412155832E0,2.424218750E1
1.430042917E0,2.427343750E1
1.447936533E0,2.425000000E1
1.465826609E0,2.425000000E1
1.483719920E0,2.425781250E1
1.501607492E0,2.420312500E1
1.519497751E0,2.421875000E1
1.537387888E0,2.425000000E1
1.555271920E0,2.423437500E1
1.573157297E0,2.421875000E1
1.591047739E0,2.425000000E1
1.608938852E0,2.423437500E1
1.626827402E0,2.425781250E1
1.644718759E0,2.425000000E1
1.662609934E0,2.424218750E1
1.680498423E0,2.425781250E1
1.698392099E0,2.425781250E1
1.716280588E0,2.423437500E1
1.734173716E0,2.423437500E1
1.752060984E0,2.424218750E1
1.769962168E0,2.426562500E1
1.787852548E0,2.425000000E1
1.805742868E0,2.426562500E1
1.823633066E0,2.429296875E1
1.841523447E0,2.425000000E1
1.859413462E0,2.425000000E1
1.877304331E0,2.421093750E1
1.895197458E0,2.426562500E1
1.913084726E0,2.426562500E1
1.930977243E0,2.428125000E1
1.948865427E0,2.425781250E1
1.966755625E0,2.427343750E1
1.984647288E0,2.430078125E1
2.002536142E0,2.426562500E1
2.020424875E0,2.431250000E1
2.038316660E0,2.425390625E1
2.056195078E0,2.426562500E1
2.074097422E0,2.423437500E1
2.091987986E0,2.425781250E1
2.109878427E0,2.427343750E1
2.127771982E0,2.431250000E1
